"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","23077","28470","146086"
"11/30/2019, 11:59:00 PM","15225","30070","90974"
"10/31/2019, 11:59:00 PM","33907","31973","78038"
"9/30/2019, 11:59:00 PM","","27753","112386"
"8/31/2019, 11:59:00 PM","","26332","126836"
"7/31/2019, 11:59:00 PM","","27915","86227"
"6/30/2019, 11:59:00 PM","19282","30231","30040"
"5/31/2019, 11:59:00 PM","33132","34846","48921"
"4/30/2019, 11:59:00 PM","10075","34869","47000"
"3/31/2019, 11:59:00 PM","11092","32120","74142"
"2/28/2019, 11:59:00 PM","6550","30872","111623"
"1/31/2019, 11:59:00 PM","5946","31119","112158"
"12/31/2018, 11:59:00 PM","3788","29462","111775"
"11/30/2018, 11:59:00 PM","26068","29865","88664"
"10/31/2018, 11:59:00 PM","41838","32019","58206"
"9/30/2018, 11:59:00 PM","47375","27210","44736"
"8/31/2018, 11:59:00 PM","61708","26607","35205"
"7/31/2018, 11:59:00 PM","91801","29650","35982"
"6/30/2018, 11:59:00 PM","69216","29688","32706"
"5/31/2018, 11:59:00 PM","47031","32833","36481"
"4/30/2018, 11:59:00 PM","25539","31380","45603"
"3/31/2018, 11:59:00 PM","10756","31792","72934"
"2/28/2018, 11:59:00 PM","7368","30466","76434"
"1/31/2018, 11:59:00 PM","5928","31869","99966"
"12/31/2017, 11:59:00 PM","9816","29786","123995"
"11/30/2017, 11:59:00 PM","14839","32634","76703"
"10/31/2017, 11:59:00 PM","45580","36908","39744"
"9/30/2017, 11:59:00 PM","41592","29505","32708"
"8/31/2017, 11:59:00 PM","11268","29002","28740"
"7/31/2017, 11:59:00 PM","27759","30462","23183"
"6/30/2017, 11:59:00 PM","56616","29674","25275"
"5/31/2017, 11:59:00 PM","57976","35104","36286"
"4/30/2017, 11:59:00 PM","25328","35981","62022"
"3/31/2017, 11:59:00 PM","21469","35581","99157"
"2/28/2017, 11:59:00 PM","7357","33189","107012"
"1/31/2017, 11:59:00 PM","9567","36394","153680"
"12/31/2016, 11:59:00 PM","9962","33964","72679"
"11/30/2016, 11:59:00 PM","24217","38124","11872"
"10/31/2016, 11:59:00 PM","41526","38820","16924"
