"","Date","Chilled_water","Electricity","Steam","Natural_gas","Solar"
"1",2014-01-31,199970.424295665,344487.264238629,14723.3852665346,70844.561775,0
"2",2015-01-31,267830.395447776,383862.585308621,164436.583569938,75657.57521875,0
"3",2016-01-31,293557.878009278,371452.538474395,174707.942257235,24930.42475625,0
"4",2017-01-31,288568.138676988,395545.114871278,328102.355856919,145563.751039844,0
"5",2018-01-31,65113.4461291051,390100.358902094,370921.875373952,117044.483858594,9775.9331
"6",2019-01-31,72683.6950913367,365086.778857474,746516.49796784,129011.643648437,3839.9667975
"7",2013-10-31,194156.520363408,376361.700610013,97219.4630590731,35688.48715625,0
"8",2014-10-31,104221.050463996,338104.038727135,12910.5401472234,42354.622389375,0
"9",2015-10-31,204449.326392832,380878.240623059,93128.4863003163,39149.2989007031,0
"10",2016-10-31,248118.477904033,272336.987913041,136655.259686396,81284.884248125,0
"11",2017-10-31,325454.259459716,388156.155063346,157791.960614166,68651.3134089375,20659.313975
"12",2018-10-31,316259.991229203,379648.562771912,352678.545496315,73801.2451761875,6185.6074225
"13",2019-10-31,302316.004463339,386625.35099168,461815.416468343,78769.4354396875,7157.255875
"14",2013-11-30,159526.150623995,333183.795377221,10475.7282439477,40127.879375,0
"15",2014-11-30,158753.460744631,326495.435229338,22855.3810668871,57710.932103125,0
"16",2015-11-30,266923.502337438,361443.404590097,158424.407886958,62745.7148832813,0
"17",2016-11-30,284776.623003592,387810.282014963,207707.570172618,104525.213450938,0
"18",2017-11-30,215649.381496467,389999.374457599,357150.298514822,252277.664370938,12990.510025
"19",2018-11-30,143382.323049005,359723.159111517,588385.221283373,97348.6489884375,3480.4980475
"20",2019-11-30,212638.451725987,362355.962564611,633276.800808787,90804.8693635938,4678.25390625
"21",2013-12-31,262022.247902019,336219.615813822,15773.6935341204,83739.775153125,0
"22",2014-12-31,248573.64184062,378416.180077589,150479.252202063,73463.642946875,0
"23",2015-12-31,294504.61160267,365491.736595879,193697.704733836,12278.0386125,0
"24",2016-12-31,299355.612302055,384671.692468444,325113.52713979,147174.337467109,0
"25",2017-12-31,107614.80976517,392034.487135586,451881.141073522,128041.105339063,14345.854225
"26",2018-12-31,63131.501365053,361196.719016346,771208.747993758,134864.537413281,3768.07421875
"27",2019-12-31,164355.741002199,363747.951016643,854753.458000112,124350.026290625,1296.0449225
"28",2013-02-28,222370.762424873,357867.945438904,103324.749285929,56688.4628625,0
"29",2014-02-28,169721.415277553,316009.443485539,12515.9516156017,60045.576784375,0
"30",2015-02-28,194587.501903324,346127.461070684,127775.520070844,54068.552028125,0
"31",2017-02-28,265939.578247804,317518.753659058,262112.973532043,109763.134138516,0
"32",2018-02-28,83815.9638737389,353874.52968683,403674.379780615,99291.8522476563,20590.52025
"33",2019-02-28,42057.6750640749,333968.769917371,776059.660802064,126974.893392187,4364.20703125
"34",2016-02-29,276520.298937785,369733.552100131,132699.909606771,53621.8076729687,0
"35",2013-03-31,192257.993142335,387912.742541184,82629.3399083233,30144.794784375,0
"36",2014-03-31,129311.857363229,174843.094877356,10087.5990610521,51396.441315625,0
"37",2015-03-31,189485.592434324,376885.574226677,117008.224578019,46190.26996875,0
"38",2016-03-31,302588.512604772,395887.57065525,129475.659236658,47419.7646875,0
"39",2017-03-31,245024.352115905,387680.80467555,233734.425977331,94898.8045625,25371.6668625
