"","Date","Electricity","Chilled Water","Steam","Natural Gas"
"1","1-31-2014",126301.425857544,11366.5078125,8160.640625,69831.469
"2","1-31-2015",121641.077415466,7091.7734375,69490.1875,74676.35
"3","1-31-2016",117826.644821167,5248.671875,68516.21875,26989.3837
"4","1-31-2017",122245.778366089,5914.96875,115355.8984375,104309.586
"5","1-31-2018",122961.591278076,5804.373046875,324464.1171875,79993.22731875
"6","1-31-2019",117734.036888123,24449.1875,417503.8046875,101578.31250625
"7","10-31-2013",128850.831199646,29527.875,3586.25,35408.21
"8","10-31-2014",115447.889640222,33970.85333125,28321.984375,42113.4825
"9","10-31-2015",121207.791877747,41021.25,20369.46875,39220.193893125
"10","10-31-2016",116213.306190491,28124.5625,48057,44821.848325
"11","10-31-2017",125687.056747437,38575.296875,49221.0703125,44780.120067625
"12","10-31-2018",121021.125930786,80956.443359375,133286.7421875,52869.9280935
"13","10-31-2019",122086.886947632,90658.859375,132281.125,62004.234620625
"14","11-30-2013",122488.417129517,13689.5,5776.453125,39545.72
"15","11-30-2014",104438.106422385,7318.786010625,46688.015625,57896.1565
"16","11-30-2015",112791.077041626,7198.28125,52882.375,63852.81958125
"17","11-30-2016",111988.857078552,16201.3125,60786.328125,65867.843385
"18","11-30-2017",118776.129760742,11227.669921875,206063.8671875,66231.045468125
"19","11-30-2018",107231.722892761,30248.41796875,289472.921875,75276.88189125
"20","11-30-2019",114583.670791626,38432.443359375,189661.640625,70541.468066875
"21","12-31-2013",116214.882904053,8057.28125,10473.515625,82354.9065
"22","12-31-2014",116753.269432068,7908.9765625,66202.03125,73897.5235
"23","12-31-2015",109087.635246277,5665.265625,81222.78125,15046.7867375
"24","12-31-2016",111667.850074768,6341.09375,111787.1875,102763.76175625
"25","12-31-2017",115849.964920044,8209.431640625,353140.5,92537.733125
"26","12-31-2018",107584.000335693,20019.0546875,416842.5390625,117940.596225
"27","12-31-2019",112756.935951233,10719.40234375,300611.625,93357.4935875
"28","2-28-2013",130261.093177795,8958.515625,15169.125,55847.09
"29","2-28-2014",113725.320114136,10098.25,7422.03125,59247.9845
"30","2-28-2015",110098.488121033,11055.78125,45226.609375,53614.367
"31","2-28-2017",111870.469619751,7318.6796875,85693.796875,73527.9204625
"32","2-28-2018",113491.261230469,17888.05078125,254507.2421875,63548.03451875
"33","2-28-2019",110434.765518188,28852.234375,431363.1640625,100490.30765625
