"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","22463","458675","728346"
"11/30/2019, 11:59:00 PM","299890","530855","392509"
"10/31/2019, 11:59:00 PM","723282","624608","343776"
"9/30/2019, 11:59:00 PM","1175007","562219","267848"
"8/31/2019, 11:59:00 PM","1634605","607107","203692"
"7/31/2019, 11:59:00 PM","1507403","604922","246402"
"6/30/2019, 11:59:00 PM","1589052","603971","254707"
"5/31/2019, 11:59:00 PM","665067","610422","446353"
"4/30/2019, 11:59:00 PM","689032","604631","403734"
"3/31/2019, 11:59:00 PM","245135","617524","762842"
"2/28/2019, 11:59:00 PM","52976","647936","1048975"
"1/31/2019, 11:59:00 PM","181363","701687","928013"
"12/31/2018, 11:59:00 PM","104915","657965","731723"
"11/30/2018, 11:59:00 PM","288055","620867","634622"
"10/31/2018, 11:59:00 PM","1002467","676547","528049"
"9/30/2018, 11:59:00 PM","1180285","567828","353906"
"8/31/2018, 11:59:00 PM","1399507","589966","347901"
"7/31/2018, 11:59:00 PM","330300","593053","336293"
"6/30/2018, 11:59:00 PM","112272","591309","303896"
"5/31/2018, 11:59:00 PM","0","599250","467890"
"4/30/2018, 11:59:00 PM","65676","559501","537430"
"3/31/2018, 11:59:00 PM","0","564939","803727"
"2/28/2018, 11:59:00 PM","0","504138","754264"
"1/31/2018, 11:59:00 PM","0","494209","845706"
"12/31/2017, 11:59:00 PM","41100","488044","879929"
"11/30/2017, 11:59:00 PM","181863","483267","641740"
"10/31/2017, 11:59:00 PM","818674","582766","534510"
"9/30/2017, 11:59:00 PM","1291850","568155","238097"
"8/31/2017, 11:59:00 PM","1280130","584525","108782"
"7/31/2017, 11:59:00 PM","1314766","569239","157971"
"6/30/2017, 11:59:00 PM","1291814","588592","292488"
"5/31/2017, 11:59:00 PM","897401","604465","431021"
"4/30/2017, 11:59:00 PM","332844","576099","591821"
"3/31/2017, 11:59:00 PM","232848","584596","691933"
"2/28/2017, 11:59:00 PM","7932","534992","656159"
"1/31/2017, 11:59:00 PM","420","607095","1123958"
"12/31/2016, 11:59:00 PM","792","557729","1123776"
"11/30/2016, 11:59:00 PM","169236","569989","691751"
"10/31/2016, 11:59:00 PM","435947","603444","434763"
"9/30/2016, 11:59:00 PM","906407","575420","278617"
"8/31/2016, 11:59:00 PM","1039126","591246","266023"
"7/31/2016, 11:59:00 PM","732112","590517","206430"
"6/30/2016, 11:59:00 PM","1179982","579322","116174"
"5/31/2016, 11:59:00 PM","793258","605108","266114"
"4/30/2016, 11:59:00 PM","486900","588535","407476"
"3/31/2016, 11:59:00 PM","29016","573277","609069"
"2/29/2016, 11:59:00 PM","151812","578983","457943"
"1/31/2016, 11:59:00 PM","708","617816","752895"
"12/31/2015, 11:59:00 PM","1956","598666","977030"
"11/30/2015, 11:59:00 PM","32496","580933","702702"
"10/31/2015, 11:59:00 PM","688353","603485","267483"
"9/30/2015, 11:59:00 PM","911994","567610","190003"
"8/31/2015, 11:59:00 PM","1114839","584434","157880"
"7/31/2015, 11:59:00 PM","1250702","578021","162839"
"6/30/2015, 11:59:00 PM","1146887","568942","192650"
"5/31/2015, 11:59:00 PM","1160788","595017","391414"
"4/30/2015, 11:59:00 PM","915073","579185","556230"
"3/31/2015, 11:59:00 PM","650571","581363","549938"
"2/28/2015, 11:59:00 PM","0","541132","522002"
"1/31/2015, 11:59:00 PM","768","589469","924190"
"12/31/2014, 11:59:00 PM","9585","580429","456756"
"11/30/2014, 11:59:00 PM","86289","598330","2740"
"10/31/2014, 11:59:00 PM","584059","686615","7300"
"9/30/2014, 11:59:00 PM","809372","746184","0"
"8/31/2014, 11:59:00 PM","933955","780410","6390"
"7/31/2014, 11:59:00 PM","1133976","796576","0"
"6/30/2014, 11:59:00 PM","862987","754949","0"
"5/31/2014, 11:59:00 PM","703193","790591","107690"
"4/30/2014, 11:59:00 PM","409848","754946","504670"
"3/31/2014, 11:59:00 PM","182856","755395","304810"
"2/28/2014, 11:59:00 PM","57732","695671","265570"
"1/31/2014, 11:59:00 PM","0","754567","484590"
"12/31/2013, 11:59:00 PM","126144","717849","1079610"
"11/30/2013, 11:59:00 PM","240900","715099","398810"
"10/31/2013, 11:59:00 PM","784908","754116","256440"
"9/30/2013, 11:59:00 PM","71015","718395","113160"
"8/31/2013, 11:59:00 PM","759393","771518","149670"
"7/31/2013, 11:59:00 PM","903412","789022","178870"
"6/30/2013, 11:59:00 PM","1232712","733784","141540"
"5/31/2013, 11:59:00 PM","618510","724145","351350"
"4/30/2013, 11:59:00 PM","585895","714351","250960"
"3/31/2013, 11:59:00 PM","222035","718096","230890"
"2/28/2013, 11:59:00 PM","34452","658827","327620"
