"Date Time","Electricity"
"12/31/2019, 11:59:00 PM","58897"
"11/30/2019, 11:59:00 PM","58960"
"10/31/2019, 11:59:00 PM","66621"
"9/30/2019, 11:59:00 PM","79032"
"8/31/2019, 11:59:00 PM","95024"
"7/31/2019, 11:59:00 PM","88341"
"6/30/2019, 11:59:00 PM","73946"
"5/31/2019, 11:59:00 PM","64959"
"4/30/2019, 11:59:00 PM","61319"
"3/31/2019, 11:59:00 PM","58874"
"2/28/2019, 11:59:00 PM","55996"
"11/30/2018, 11:59:00 PM","57481"
"10/31/2018, 11:59:00 PM","64478"
"9/30/2018, 11:59:00 PM","61695"
"8/31/2018, 11:59:00 PM","75629"
"7/31/2018, 11:59:00 PM","77225"
"6/30/2018, 11:59:00 PM","72382"
"5/31/2018, 11:59:00 PM","64504"
"4/30/2018, 11:59:00 PM","57171"
"3/31/2018, 11:59:00 PM","58426"
"2/28/2018, 11:59:00 PM","60738"
"1/31/2018, 11:59:00 PM","68843"
"12/31/2017, 11:59:00 PM","62906"
"11/30/2017, 11:59:00 PM","62214"
"10/31/2017, 11:59:00 PM","78496"
"9/30/2017, 11:59:00 PM","87045"
"8/31/2017, 11:59:00 PM","99146"
"7/31/2017, 11:59:00 PM","92239"
"6/30/2017, 11:59:00 PM","95074"
"5/31/2017, 11:59:00 PM","81688"
"4/30/2017, 11:59:00 PM","69779"
"3/31/2017, 11:59:00 PM","71673"
"2/28/2017, 11:59:00 PM","57040"
"1/31/2017, 11:59:00 PM","60292"
"12/31/2016, 11:59:00 PM","55925"
"11/30/2016, 11:59:00 PM","56197"
"10/31/2016, 11:59:00 PM","59538"
"9/30/2016, 11:59:00 PM","75021"
"8/31/2016, 11:59:00 PM","85421"
"7/31/2016, 11:59:00 PM","90308"
"6/30/2016, 11:59:00 PM","84297"
"5/31/2016, 11:59:00 PM","70614"
"4/30/2016, 11:59:00 PM","59620"
"3/31/2016, 11:59:00 PM","55875"
"2/29/2016, 11:59:00 PM","51412"
"1/31/2016, 11:59:00 PM","54130"
"12/31/2015, 11:59:00 PM","56247"
"11/30/2015, 11:59:00 PM","53443"
"10/31/2015, 11:59:00 PM","74313"
"9/30/2015, 11:59:00 PM","79370"
"8/31/2015, 11:59:00 PM","90829"
"7/31/2015, 11:59:00 PM","87304"
"6/30/2015, 11:59:00 PM","82576"
"5/31/2015, 11:59:00 PM","70000"
"4/30/2015, 11:59:00 PM","60455"
"3/31/2015, 11:59:00 PM","59501"
"2/28/2015, 11:59:00 PM","51806"
"1/31/2015, 11:59:00 PM","57451"
"12/31/2014, 11:59:00 PM","56884"
"11/30/2014, 11:59:00 PM","56326"
"10/31/2014, 11:59:00 PM","71127"
"9/30/2014, 11:59:00 PM","84150"
"8/31/2014, 11:59:00 PM","90614"
"7/31/2014, 11:59:00 PM","102907"
"6/30/2014, 11:59:00 PM","82713"
"5/31/2014, 11:59:00 PM","81890"
"4/30/2014, 11:59:00 PM","67075"
"3/31/2014, 11:59:00 PM","60400"
"2/28/2014, 11:59:00 PM","50236"
"1/31/2014, 11:59:00 PM","56496"
"12/31/2013, 11:59:00 PM","55457"
"11/30/2013, 11:59:00 PM","53839"
"10/31/2013, 11:59:00 PM","64160"
"9/30/2013, 11:59:00 PM","73897"
"8/31/2013, 11:59:00 PM","85207"
"7/31/2013, 11:59:00 PM","88648"
"6/30/2013, 11:59:00 PM","81587"
"5/31/2013, 11:59:00 PM","73484"
"4/30/2013, 11:59:00 PM","64957"
"3/31/2013, 11:59:00 PM","57763"
"2/28/2013, 11:59:00 PM","51708"
