"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","186465","409612","485412"
"11/30/2019, 11:59:00 PM","","479623",""
"10/31/2019, 11:59:00 PM","249052","444558","206248"
"9/30/2019, 11:59:00 PM","350396","440489","123475"
"8/31/2019, 11:59:00 PM","491168","464044","19986"
"7/31/2019, 11:59:00 PM","496178","461379","715205"
"6/30/2019, 11:59:00 PM","490836","456925","2083831"
"5/31/2019, 11:59:00 PM","225157","481333","2042673"
"4/30/2019, 11:59:00 PM","209228","472368","1698622"
"3/31/2019, 11:59:00 PM","51840","123800","1547770"
"2/28/2019, 11:59:00 PM","2532","117937","647307"
"1/31/2019, 11:59:00 PM","8136","125707","547834"
"12/31/2018, 11:59:00 PM","7380","101469","420800"
"11/30/2018, 11:59:00 PM","97328","100145","387399"
"10/31/2018, 11:59:00 PM","284757","140245","353906"
"9/30/2018, 11:59:00 PM","334374","109095","176953"
"8/31/2018, 11:59:00 PM","427780","114159","1429223"
"7/31/2018, 11:59:00 PM","559622","110059","0"
"6/30/2018, 11:59:00 PM","460408","119916","0"
"5/31/2018, 11:59:00 PM","322229","135665","365"
"4/30/2018, 11:59:00 PM","185304","133301","944379"
"3/31/2018, 11:59:00 PM","74592","128057","1034250"
"2/28/2018, 11:59:00 PM","57300","121478","779031"
"1/31/2018, 11:59:00 PM","7956","129979","736914"
"12/31/2017, 11:59:00 PM","10992","110582","564352"
"11/30/2017, 11:59:00 PM","56113","124536","408571"
"10/31/2017, 11:59:00 PM","291206","144378","334194"
"9/30/2017, 11:59:00 PM","409428","115741","818511"
"8/31/2017, 11:59:00 PM","452301","121957","3162050"
"7/31/2017, 11:59:00 PM","579019","110040","2796296"
"6/30/2017, 11:59:00 PM","553141","123095","2115224"
"5/31/2017, 11:59:00 PM","408868","137381","1621143"
"4/30/2017, 11:59:00 PM","134733","133166","842695"
"3/31/2017, 11:59:00 PM","96432","131350","705805"
"2/28/2017, 11:59:00 PM","25848","118183","587714"
"1/31/2017, 11:59:00 PM","1836","122211","673042"
"12/31/2016, 11:59:00 PM","2880","98226","430565"
"11/30/2016, 11:59:00 PM","93051","122440","225047"
"10/31/2016, 11:59:00 PM","239436","136789","264837"
"9/30/2016, 11:59:00 PM","433529","118822","158245"
"8/31/2016, 11:59:00 PM","494888","113285","181425"
"7/31/2016, 11:59:00 PM","475038","109318","213275"
"6/30/2016, 11:59:00 PM","361930","119335","217381"
"5/31/2016, 11:59:00 PM","401278","135920","259817"
"4/30/2016, 11:59:00 PM","268703","133312","305356"
"3/31/2016, 11:59:00 PM","122738","124472","390136"
"2/29/2016, 11:59:00 PM","92798","123327","390319"
"1/31/2016, 11:59:00 PM","12038","124335","482127"
"12/31/2015, 11:59:00 PM","19031","103897","510508"
"11/30/2015, 11:59:00 PM","79330","120147","426367"
"10/31/2015, 11:59:00 PM","452979","139403","242569"
"9/30/2015, 11:59:00 PM","521452","117489","196392"
"8/31/2015, 11:59:00 PM","604008","113809","191098"
"7/31/2015, 11:59:00 PM","641509","114052","199677"
"6/30/2015, 11:59:00 PM","610203","118378","213183"
"5/31/2015, 11:59:00 PM","291012","127569","291028"
"4/30/2015, 11:59:00 PM","206938","132362","392601"
"3/31/2015, 11:59:00 PM","194954","122766","361298"
"2/28/2015, 11:59:00 PM","136684","117390","383840"
"1/31/2015, 11:59:00 PM","27980","123499","116630"
"12/31/2014, 11:59:00 PM","0","108728","0"
"11/30/2014, 11:59:00 PM","0","115510","0"
"10/31/2014, 11:59:00 PM","122448","132645","48003"
"9/30/2014, 11:59:00 PM","378191","99946","133513"
"8/31/2014, 11:59:00 PM","453321","105147","172208"
"7/31/2014, 11:59:00 PM","498060","108866","115809"
"6/30/2014, 11:59:00 PM","395192","104778","118821"
"5/31/2014, 11:59:00 PM","377475","128904","154047"
"4/30/2014, 11:59:00 PM","217704","122921","170839"
"3/31/2014, 11:59:00 PM","28092","119011","178961"
"2/28/2014, 11:59:00 PM","53748","112727","334103"
"1/31/2014, 11:59:00 PM","50460","118660","420526"
"12/31/2013, 11:59:00 PM","20047","96531","327897"
"11/30/2013, 11:59:00 PM","146549","110792","212727"
"10/31/2013, 11:59:00 PM","251121","127592","209624"
"9/30/2013, 11:59:00 PM","363203","100813","153043"
"8/31/2013, 11:59:00 PM","414403","103609","141636"
"7/31/2013, 11:59:00 PM","456002","101375","141179"
"6/30/2013, 11:59:00 PM","472296","108221","152952"
"5/31/2013, 11:59:00 PM","388840","127994","212453"
"4/30/2013, 11:59:00 PM","316678","124982","236090"
"3/31/2013, 11:59:00 PM","134194","110044","212453"
"2/28/2013, 11:59:00 PM","30908","108807","227794"
