"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","202209","290107","920606"
"11/30/2019, 11:59:00 PM","326565","422511","699651"
"10/31/2019, 11:59:00 PM","505598","451617","491694"
"9/30/2019, 11:59:00 PM","577176","255335","225118"
"8/31/2019, 11:59:00 PM","684875","189352","179849"
"7/31/2019, 11:59:00 PM","662510","238511","191644"
"6/30/2019, 11:59:00 PM","753562","307769","238318"
"5/31/2019, 11:59:00 PM","478079","441706","515011"
"4/30/2019, 11:59:00 PM","488451","433363","502417"
"3/31/2019, 11:59:00 PM","263541","404501","759689"
"2/28/2019, 11:59:00 PM","196397","407768","905148"
"1/31/2019, 11:59:00 PM","230859","409420","907998"
"12/31/2018, 11:59:00 PM","165323","308344","833405"
"11/30/2018, 11:59:00 PM","224883","401763","657013"
"10/31/2018, 11:59:00 PM","413798","462382","394379"
"9/30/2018, 11:59:00 PM","351992","258735","229398"
"8/31/2018, 11:59:00 PM","348985","207873","185491"
"7/31/2018, 11:59:00 PM","622822","213857","126289"
"6/30/2018, 11:59:00 PM","740577","301155","234782"
"5/31/2018, 11:59:00 PM","638633","432991","446397"
"4/30/2018, 11:59:00 PM","446890","424768","590852"
"3/31/2018, 11:59:00 PM","270209","393045","747341"
"2/28/2018, 11:59:00 PM","252962","391655","792094"
"1/31/2018, 11:59:00 PM","210132","387340","925782"
"12/31/2017, 11:59:00 PM","191194","316947","916763"
"11/30/2017, 11:59:00 PM","304491","405355","610686"
"10/31/2017, 11:59:00 PM","589513","447073","311801"
"9/30/2017, 11:59:00 PM","637420","234908","189344"
"8/31/2017, 11:59:00 PM","673053","176742","142285"
"7/31/2017, 11:59:00 PM","793124","220230","151594"
"6/30/2017, 11:59:00 PM","846948","313276","232646"
"5/31/2017, 11:59:00 PM","777911","432849","382803"
"4/30/2017, 11:59:00 PM","417971","409878","540083"
"3/31/2017, 11:59:00 PM","355349","405532","641166"
"2/28/2017, 11:59:00 PM","254804","413616","793249"
"1/31/2017, 11:59:00 PM","234183","396508","1120964"
"12/31/2016, 11:59:00 PM","228092","256202","960723"
"11/30/2016, 11:59:00 PM","376249","412382","691697"
"10/31/2016, 11:59:00 PM","561085","457617","468015"
"9/30/2016, 11:59:00 PM","655180","278142","233580"
"8/31/2016, 11:59:00 PM","504309","161465","175972"
"7/31/2016, 11:59:00 PM","672127","177713","145947"
"6/30/2016, 11:59:00 PM","703924","234209","185159"
"5/31/2016, 11:59:00 PM","720543","420985","397705"
"4/30/2016, 11:59:00 PM","495911","411487","479822"
"3/31/2016, 11:59:00 PM","308791","379138","631864"
"2/29/2016, 11:59:00 PM","307784","394422","714468"
"1/31/2016, 11:59:00 PM","246366","413659","1040756"
"12/31/2015, 11:59:00 PM","197645","281380","848809"
"11/30/2015, 11:59:00 PM","255326","399744","864660"
"10/31/2015, 11:59:00 PM","686467","433569","377627"
"9/30/2015, 11:59:00 PM","605679","254739","264488"
"8/31/2015, 11:59:00 PM","898076","181037","5"
"7/31/2015, 11:59:00 PM","602347","166593","2"
"6/30/2015, 11:59:00 PM","623529","256853","2"
"5/31/2015, 11:59:00 PM","467162","419835","5"
"4/30/2015, 11:59:00 PM","401389","415137","5"
"3/31/2015, 11:59:00 PM","337434","379407","5"
"2/28/2015, 11:59:00 PM","258250","381946",""
"1/31/2015, 11:59:00 PM","247363","394633",""
"12/31/2014, 11:59:00 PM","","341635",""
"11/30/2014, 11:59:00 PM","","396346",""
"10/31/2014, 11:59:00 PM","","430877",""
