"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","42936","276174","353906"
"11/30/2019, 11:59:00 PM","1307","315132","101025"
"10/31/2019, 11:59:00 PM","265810","337399","71183"
"9/30/2019, 11:59:00 PM","361955","266191","31941"
"8/31/2019, 11:59:00 PM","445576","254017","28473"
"7/31/2019, 11:59:00 PM","412807","269074","23089"
"6/30/2019, 11:59:00 PM","450853","289798","35135"
"5/31/2019, 11:59:00 PM","251361","341483","65160"
"4/30/2019, 11:59:00 PM","191568","332950","76202"
"3/31/2019, 11:59:00 PM","0","328869","194840"
"2/28/2019, 11:59:00 PM","0","308503","278343"
"1/31/2019, 11:59:00 PM","0","331118","263833"
"12/31/2018, 11:59:00 PM","0","293541","261369"
"11/30/2018, 11:59:00 PM","44127","324178","146290"
"10/31/2018, 11:59:00 PM","226922","343882","65251"
"9/30/2018, 11:59:00 PM","241582","268108","37143"
"8/31/2018, 11:59:00 PM","247971","251771","13689"
"7/31/2018, 11:59:00 PM","224633","250850","17887"
"6/30/2018, 11:59:00 PM","198757","276276","32032"
"5/31/2018, 11:59:00 PM","133211","325129","58589"
"4/30/2018, 11:59:00 PM","26448","320087","151035"
"3/31/2018, 11:59:00 PM","0","319957","314847"
"2/28/2018, 11:59:00 PM","0","302907","322695"
"1/31/2018, 11:59:00 PM","0","319305","412459"
"12/31/2017, 11:59:00 PM","12","282841","449582"
"11/30/2017, 11:59:00 PM","12","315637","55669"
"10/31/2017, 11:59:00 PM","113173","333069","62331"
"9/30/2017, 11:59:00 PM","182267","253454","23271"
"8/31/2017, 11:59:00 PM","208482","238004","18252"
"7/31/2017, 11:59:00 PM","249604","276246","28838"
"6/30/2017, 11:59:00 PM","241731","287509","35865"
"5/31/2017, 11:59:00 PM","172142","328197","62057"
"4/30/2017, 11:59:00 PM","46668","312850","65433"
"3/31/2017, 11:59:00 PM","1500","310492","185440"
"2/28/2017, 11:59:00 PM","0","295674","267392"
"1/31/2017, 11:59:00 PM","0","297042","439707"
"12/31/2016, 11:59:00 PM","0","237165","406475"
"11/30/2016, 11:59:00 PM","70677","305702","63243"
"10/31/2016, 11:59:00 PM","175232","321885","41158"
"9/30/2016, 11:59:00 PM","325283","252566","13415"
"8/31/2016, 11:59:00 PM","325927","222729","20442"
"7/31/2016, 11:59:00 PM","389715","233869","33766"
"6/30/2016, 11:59:00 PM","387341","242354","50923"
"5/31/2016, 11:59:00 PM","323596","323226","86058"
"4/30/2016, 11:59:00 PM","113772","308131","119642"
"3/31/2016, 11:59:00 PM","0","307462","210446"
"2/29/2016, 11:59:00 PM","0","301785","226234"
"1/31/2016, 11:59:00 PM","0","318950","353267"
"12/31/2015, 11:59:00 PM","0","259803","409027"
"11/30/2015, 11:59:00 PM","11727","313413","230249"
"10/31/2015, 11:59:00 PM","352391","326883","79761"
"9/30/2015, 11:59:00 PM","331589","252952","53752"
"8/31/2015, 11:59:00 PM","317184","213348","30298"
"7/31/2015, 11:59:00 PM","181959","216272","30207"
"6/30/2015, 11:59:00 PM","265723","248999","50284"
"5/31/2015, 11:59:00 PM","119657","317957","91351"
"4/30/2015, 11:59:00 PM","98833","314166","109695"
"3/31/2015, 11:59:00 PM","83453","310874","89051"
"2/28/2015, 11:59:00 PM","13662","289033","120828"
"1/31/2015, 11:59:00 PM","0","323477","344963"
"12/31/2014, 11:59:00 PM","13059","296122","168557"
"11/30/2014, 11:59:00 PM","34740","318132","53843"
"10/31/2014, 11:59:00 PM","152394","326518","105953"
"9/30/2014, 11:59:00 PM","146511","","67350"
"6/30/2014, 11:59:00 PM","164742","","74651"
"5/31/2014, 11:59:00 PM","185379","","137894"
"4/30/2014, 11:59:00 PM","99852","","148936"
"3/31/2014, 11:59:00 PM","34284","","179691"
"2/28/2014, 11:59:00 PM","0","","207397"
"1/31/2014, 11:59:00 PM","0","","9"
"12/31/2013, 11:59:00 PM","1812","","0"
"11/30/2013, 11:59:00 PM","48324","","0"
"10/31/2013, 11:59:00 PM","112436","","0"
"9/30/2013, 11:59:00 PM","137773","","0"
"8/31/2013, 11:59:00 PM","147445","","35685"
"7/31/2013, 11:59:00 PM","186509","","115788"
"6/30/2013, 11:59:00 PM","206181","","107153"
"5/31/2013, 11:59:00 PM","161709","","110868"
"4/30/2013, 11:59:00 PM","90227","","223766"
"3/31/2013, 11:59:00 PM","0","","313437"
"2/28/2013, 11:59:00 PM","0","","430189"
