"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","5300","577426","394243"
"11/30/2019, 11:59:00 PM","152449","579081","221762"
"10/31/2019, 11:59:00 PM","390861","624515","110425"
"9/30/2019, 11:59:00 PM","693628","620250","71183"
"8/31/2019, 11:59:00 PM","977246","624358","83959"
"7/31/2019, 11:59:00 PM","889842","635809","58406"
"6/30/2019, 11:59:00 PM","892932","614010","38329"
"5/31/2019, 11:59:00 PM","368363","641360","1825"
"4/30/2019, 11:59:00 PM","354215","633643","25553"
"3/31/2019, 11:59:00 PM","85334","659188","86697"
"2/28/2019, 11:59:00 PM","11217","594991","126851"
"1/31/2019, 11:59:00 PM","45070","666688","121376"
"12/31/2018, 11:59:00 PM","38629","630449","116813"
"11/30/2018, 11:59:00 PM","147240","641988","75746"
"10/31/2018, 11:59:00 PM","460921","669585","66620"
"9/30/2018, 11:59:00 PM","586398","629456","58406"
"8/31/2018, 11:59:00 PM","739812","658833","59319"
"7/31/2018, 11:59:00 PM","963874","649532","52931"
"6/30/2018, 11:59:00 PM","737331","631732","57494"
"5/31/2018, 11:59:00 PM","433180","663880","81221"
"4/30/2018, 11:59:00 PM","243156","634287","87610"
"3/31/2018, 11:59:00 PM","114301","667728","125939"
"2/28/2018, 11:59:00 PM","93848","602061","135065"
"1/31/2018, 11:59:00 PM","20259","645619","155142"
"12/31/2017, 11:59:00 PM","283499","617633","280168"
"11/30/2017, 11:59:00 PM","6861","591439","271042"
"10/31/2017, 11:59:00 PM","","640951","102211"
"9/30/2017, 11:59:00 PM","","623168","20077"
"8/31/2017, 11:59:00 PM","","674754","73921"
"7/31/2017, 11:59:00 PM","","648676","66620"
"6/30/2017, 11:59:00 PM","","629964","73921"
"5/31/2017, 11:59:00 PM","","661232","128677"
"4/30/2017, 11:59:00 PM","","627170","184345"
"3/31/2017, 11:59:00 PM","","642234","260091"
"2/28/2017, 11:59:00 PM","","580460","305721"
"1/31/2017, 11:59:00 PM","","635693","657985"
"12/31/2016, 11:59:00 PM","","607181","492804"
"11/30/2016, 11:59:00 PM","","610629",""
"10/31/2016, 11:59:00 PM","","639223",""
"9/30/2016, 11:59:00 PM","","622161",""
"8/31/2016, 11:59:00 PM","","642036",""
"7/31/2016, 11:59:00 PM","","646182",""
"6/30/2016, 11:59:00 PM","","627617",""
"5/31/2016, 11:59:00 PM","","661846",""
"4/30/2016, 11:59:00 PM","","621567",""
"3/31/2016, 11:59:00 PM","","600915",""
"2/29/2016, 11:59:00 PM","","572445",""
"1/31/2016, 11:59:00 PM","","613662",""
"12/31/2015, 11:59:00 PM","","586762",""
"11/30/2015, 11:59:00 PM","","573803",""
"10/31/2015, 11:59:00 PM","","621874",""
"9/30/2015, 11:59:00 PM","","618459",""
"8/31/2015, 11:59:00 PM","","676217",""
"7/31/2015, 11:59:00 PM","","677366",""
"6/30/2015, 11:59:00 PM","","648531",""
"5/31/2015, 11:59:00 PM","","687620",""
"4/30/2015, 11:59:00 PM","","660346",""
"3/31/2015, 11:59:00 PM","","646666",""
"2/28/2015, 11:59:00 PM","","595003",""
"1/31/2015, 11:59:00 PM","","643084",""
"12/31/2014, 11:59:00 PM","","649474",""
"11/30/2014, 11:59:00 PM","","643979",""
"10/31/2014, 11:59:00 PM","","677246",""
"9/30/2014, 11:59:00 PM","","883937",""
"8/31/2014, 11:59:00 PM","","500520",""
"7/31/2014, 11:59:00 PM","","730420",""
"6/30/2014, 11:59:00 PM","","666221",""
"5/31/2014, 11:59:00 PM","","735623",""
"4/30/2014, 11:59:00 PM","","696758",""
"3/31/2014, 11:59:00 PM","","737351",""
"2/28/2014, 11:59:00 PM","","656025",""
"1/31/2014, 11:59:00 PM","","750848",""
"12/31/2013, 11:59:00 PM","","721302",""
"11/30/2013, 11:59:00 PM","","717018",""
"10/31/2013, 11:59:00 PM","","753103",""
"9/30/2013, 11:59:00 PM","","749493",""
"8/31/2013, 11:59:00 PM","","849910",""
"7/31/2013, 11:59:00 PM","","886579",""
"6/30/2013, 11:59:00 PM","","850771",""
"5/31/2013, 11:59:00 PM","","889979",""
"4/30/2013, 11:59:00 PM","","882935",""
"3/31/2013, 11:59:00 PM","","885522",""
"2/28/2013, 11:59:00 PM","","797479",""
