"Date Time","Electricity"
"12/31/2019, 11:59:00 PM","160495"
"11/30/2019, 11:59:00 PM","270954"
"10/31/2019, 11:59:00 PM","287886"
"9/30/2019, 11:59:00 PM","260064"
"8/31/2019, 11:59:00 PM","285294"
"7/31/2019, 11:59:00 PM","177081"
"6/30/2019, 11:59:00 PM","210474"
"5/31/2019, 11:59:00 PM","208386"
"4/30/2019, 11:59:00 PM","244482"
"3/31/2019, 11:59:00 PM","224446"
"2/28/2019, 11:59:00 PM","292050"
"1/31/2019, 11:59:00 PM","281362"
"12/31/2018, 11:59:00 PM","216561"
"11/30/2018, 11:59:00 PM","310866"
"10/31/2018, 11:59:00 PM","289167"
"9/30/2018, 11:59:00 PM","252983"
"8/31/2018, 11:59:00 PM","250507"
"7/31/2018, 11:59:00 PM","195789"
"6/30/2018, 11:59:00 PM","183359"
"5/31/2018, 11:59:00 PM","156534"
"4/30/2018, 11:59:00 PM","157169"
"3/31/2018, 11:59:00 PM","160657"
"2/28/2018, 11:59:00 PM","157423"
"1/31/2018, 11:59:00 PM","161732"
"12/31/2017, 11:59:00 PM","151822"
"11/30/2017, 11:59:00 PM","169885"
"10/31/2017, 11:59:00 PM","224324"
"9/30/2017, 11:59:00 PM","239908"
"8/31/2017, 11:59:00 PM","262809"
"7/31/2017, 11:59:00 PM","182211"
"6/30/2017, 11:59:00 PM","175049"
"5/31/2017, 11:59:00 PM","163377"
"4/30/2017, 11:59:00 PM","140325"
"3/31/2017, 11:59:00 PM","151593"
"2/28/2017, 11:59:00 PM","157022"
"1/31/2017, 11:59:00 PM","169283"
"12/31/2016, 11:59:00 PM","126640"
"11/30/2016, 11:59:00 PM","168601"
"10/31/2016, 11:59:00 PM","161734"
"9/30/2016, 11:59:00 PM","194933"
"8/31/2016, 11:59:00 PM","207160"
"7/31/2016, 11:59:00 PM","171296"
"6/30/2016, 11:59:00 PM","159228"
"5/31/2016, 11:59:00 PM","153741"
"4/30/2016, 11:59:00 PM","138659"
"3/31/2016, 11:59:00 PM","135559"
"2/29/2016, 11:59:00 PM","126293"
"1/31/2016, 11:59:00 PM","149843"
"12/31/2015, 11:59:00 PM","133670"
"11/30/2015, 11:59:00 PM","152472"
"10/31/2015, 11:59:00 PM","202746"
"9/30/2015, 11:59:00 PM","194437"
"8/31/2015, 11:59:00 PM","194020"
"7/31/2015, 11:59:00 PM","176027"
"6/30/2015, 11:59:00 PM","228306"
"5/31/2015, 11:59:00 PM","150755"
"4/30/2015, 11:59:00 PM","161986"
"3/31/2015, 11:59:00 PM","167901"
"2/28/2015, 11:59:00 PM","166512"
"1/31/2015, 11:59:00 PM","189753"
"12/31/2014, 11:59:00 PM","151198"
"11/30/2014, 11:59:00 PM","197195"
"10/31/2014, 11:59:00 PM","209154"
"9/30/2014, 11:59:00 PM","217531"
"8/31/2014, 11:59:00 PM","206225"
"7/31/2014, 11:59:00 PM","152573"
"6/30/2014, 11:59:00 PM","138448"
"5/31/2014, 11:59:00 PM","134491"
"4/30/2014, 11:59:00 PM","157101"
"3/31/2014, 11:59:00 PM","150362"
"2/28/2014, 11:59:00 PM","147588"
"1/31/2014, 11:59:00 PM","89359.82"
"12/31/2013, 11:59:00 PM","145946"
"11/30/2013, 11:59:00 PM","181144"
"10/31/2013, 11:59:00 PM","179694"
"9/30/2013, 11:59:00 PM","196472"
"8/31/2013, 11:59:00 PM","202963"
"7/31/2013, 11:59:00 PM","154731"
"6/30/2013, 11:59:00 PM","148179"
"5/31/2013, 11:59:00 PM","126021"
"4/30/2013, 11:59:00 PM","144518"
"3/31/2013, 11:59:00 PM","131918"
"2/28/2013, 11:59:00 PM","128185"
