"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","6673","127645","844976"
"11/30/2019, 11:59:00 PM","59053","125330","675271"
"10/31/2019, 11:59:00 PM","118920","137234","611898"
"9/30/2019, 11:59:00 PM","243234","128414","533871"
"8/31/2019, 11:59:00 PM","360507","140971","521277"
"7/31/2019, 11:59:00 PM","448072","145355","588627"
"6/30/2019, 11:59:00 PM","390020","139766","573478"
"5/31/2019, 11:59:00 PM","167304","134379","639276"
"4/30/2019, 11:59:00 PM","156567","130861","486325"
"3/31/2019, 11:59:00 PM","63332","132191","659992"
"2/28/2019, 11:59:00 PM","20389","120082","748423"
"1/31/2019, 11:59:00 PM","14082","141434","738385"
"12/31/2018, 11:59:00 PM","17365","152611","778265"
"11/30/2018, 11:59:00 PM","46817","162215","680737"
"10/31/2018, 11:59:00 PM","155067","139713","504230"
"9/30/2018, 11:59:00 PM","200646","135656","356462"
"8/31/2018, 11:59:00 PM","291242","152491","446444"
"7/31/2018, 11:59:00 PM","401337","178373","396798"
"6/30/2018, 11:59:00 PM","312518","156902","335437"
"5/31/2018, 11:59:00 PM","178267","137264","475972"
"4/30/2018, 11:59:00 PM","188577","138107","570101"
"3/31/2018, 11:59:00 PM","270870","139646","833295"
"2/28/2018, 11:59:00 PM","276494","135255","811484"
"1/31/2018, 11:59:00 PM","25019","161259","742765"
"12/31/2017, 11:59:00 PM","138504","176030","899853"
"11/30/2017, 11:59:00 PM","401446","176673","893393"
"10/31/2017, 11:59:00 PM","232790","201461","512972"
"9/30/2017, 11:59:00 PM","346482","189330","298785"
"8/31/2017, 11:59:00 PM","390467","220526","134243"
"7/31/2017, 11:59:00 PM","353817","204793","183"
"6/30/2017, 11:59:00 PM","314066","173308","132418"
"5/31/2017, 11:59:00 PM","209126","168120","294405"
"4/30/2017, 11:59:00 PM","52955","150263","396342"
"3/31/2017, 11:59:00 PM","24309","158465","449380"
"2/28/2017, 11:59:00 PM","10335","145913","515893"
"1/31/2017, 11:59:00 PM","8855","167797","772242"
"12/31/2016, 11:59:00 PM","16101","179636","781355"
"11/30/2016, 11:59:00 PM","60082","171001","432792"
"10/31/2016, 11:59:00 PM","92702","161515","333555"
"9/30/2016, 11:59:00 PM","271873","158355","280442"
"8/31/2016, 11:59:00 PM","333677","173470","293310"
"7/31/2016, 11:59:00 PM","385565","196745","266570"
"6/30/2016, 11:59:00 PM","359194","171504","286830"
"5/31/2016, 11:59:00 PM","230422","179499","234812"
"4/30/2016, 11:59:00 PM","156270","184611","307364"
"3/31/2016, 11:59:00 PM","62718","214345","418792"
"2/29/2016, 11:59:00 PM","","220326",""
"1/31/2016, 11:59:00 PM","","234880",""
"12/31/2015, 11:59:00 PM","","247846",""
"11/30/2015, 11:59:00 PM","","236433",""
"10/31/2015, 11:59:00 PM","","260660",""
"9/30/2015, 11:59:00 PM","","254998",""
"8/31/2015, 11:59:00 PM","","269951",""
"7/31/2015, 11:59:00 PM","","277582",""
"6/30/2015, 11:59:00 PM","","271380",""
"5/31/2015, 11:59:00 PM","","240107",""
"4/30/2015, 11:59:00 PM","","174064",""
"3/31/2015, 11:59:00 PM","","183382",""
"2/28/2015, 11:59:00 PM","","175901",""
"1/31/2015, 11:59:00 PM","","259801",""
"12/31/2014, 11:59:00 PM","","242293",""
"11/30/2014, 11:59:00 PM","","192981",""
"10/31/2014, 11:59:00 PM","","272858",""
"9/30/2014, 11:59:00 PM","","269264",""
"8/31/2014, 11:59:00 PM","","278387",""
"7/31/2014, 11:59:00 PM","","257244",""
"6/30/2014, 11:59:00 PM","","256372",""
"5/31/2014, 11:59:00 PM","","203471",""
"4/30/2014, 11:59:00 PM","","187864",""
"3/31/2014, 11:59:00 PM","","204534",""
"2/28/2014, 11:59:00 PM","","229550",""
"1/31/2014, 11:59:00 PM","","266799",""
