"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","87159","794924","1522483"
"11/30/2019, 11:59:00 PM","157865","812752","2601823"
"10/31/2019, 11:59:00 PM","401951","846012","2106000"
"9/30/2019, 11:59:00 PM","1090372","816046","1595955"
"8/31/2019, 11:59:00 PM","1465126","859553","1330114"
"7/31/2019, 11:59:00 PM","1323294","846307","620200"
"6/30/2019, 11:59:00 PM","1287616","814127","694278"
"5/31/2019, 11:59:00 PM","702696","835194","1094116"
"4/30/2019, 11:59:00 PM","581601","795946","62239"
"3/31/2019, 11:59:00 PM","211897","819286","1185102"
"2/28/2019, 11:59:00 PM","26103","774985","1419823"
"1/31/2019, 11:59:00 PM","85079","810370","872882"
"12/31/2018, 11:59:00 PM","66050","761140","1287314"
"11/30/2018, 11:59:00 PM","153585","748492","437044"
"10/31/2018, 11:59:00 PM","336791","821519","350073"
"9/30/2018, 11:59:00 PM","413671","767949","362504"
"8/31/2018, 11:59:00 PM","494441","818182","682004"
"7/31/2018, 11:59:00 PM","607053","831155","469168"
"6/30/2018, 11:59:00 PM","461565","795743","660961"
"5/31/2018, 11:59:00 PM","292016","830363","792137"
"4/30/2018, 11:59:00 PM","172773","775687","1117935"
"3/31/2018, 11:59:00 PM","108207","762651","1004"
"2/28/2018, 11:59:00 PM","87709","722526","639"
"1/31/2018, 11:59:00 PM","93828","777720","1660739"
"12/31/2017, 11:59:00 PM","82956","765035","2059008"
"11/30/2017, 11:59:00 PM","113814","757459","1132354"
"10/31/2017, 11:59:00 PM","269140","840045","699261"
"9/30/2017, 11:59:00 PM","527915","815400","518592"
"8/31/2017, 11:59:00 PM","605261","836500","514615"
"7/31/2017, 11:59:00 PM","545546","819967","477290"
"6/30/2017, 11:59:00 PM","855253","783765","545826"
"5/31/2017, 11:59:00 PM","855927","833299","804548"
"4/30/2017, 11:59:00 PM","386017","784048","1123776"
"3/31/2017, 11:59:00 PM","354990","805912","1338435"
"2/28/2017, 11:59:00 PM","214876","747849","1400020"
"1/31/2017, 11:59:00 PM","200909","805628","1965068"
"12/31/2016, 11:59:00 PM","197840","757897","2010190"
"11/30/2016, 11:59:00 PM","144986","760460","977942"
"10/31/2016, 11:59:00 PM","293848","804727","703250"
"9/30/2016, 11:59:00 PM","753869","781157","491344"
"8/31/2016, 11:59:00 PM","910931","826359","528852"
"7/31/2016, 11:59:00 PM","1072985","815226","252881"
"6/30/2016, 11:59:00 PM","992831","798507","140540"
"5/31/2016, 11:59:00 PM","653402","848332","91"
"4/30/2016, 11:59:00 PM","397777","836268","0"
"3/31/2016, 11:59:00 PM","228900","859595","0"
"2/29/2016, 11:59:00 PM","502714","796357","1004"
"1/31/2016, 11:59:00 PM","162396","848087","0"
"12/31/2015, 11:59:00 PM","0","818047","456"
"11/30/2015, 11:59:00 PM","0","807566","730"
"10/31/2015, 11:59:00 PM","625657","856653","365"
"9/30/2015, 11:59:00 PM","733949","814802",""
"8/31/2015, 11:59:00 PM","816908","814246",""
"7/31/2015, 11:59:00 PM","856614","813925",""
"6/30/2015, 11:59:00 PM","801027","814375",""
"5/31/2015, 11:59:00 PM","460853","815851",""
"4/30/2015, 11:59:00 PM","424150","811849",""
"3/31/2015, 11:59:00 PM","409409","812335",""
"2/28/2015, 11:59:00 PM","310447","804531",""
"1/31/2015, 11:59:00 PM","200166","790963",""
"12/31/2014, 11:59:00 PM","246369","854248","10425409"
"11/30/2014, 11:59:00 PM","299592","854248","7489330"
"10/31/2014, 11:59:00 PM","567856","854248","1813710"
"9/30/2014, 11:59:00 PM","717855","854248","1476979"
"8/31/2014, 11:59:00 PM","856941","854248","1557702"
"7/31/2014, 11:59:00 PM","1061777","821647","1704799"
"6/30/2014, 11:59:00 PM","809220","794341","1540283"
"5/31/2014, 11:59:00 PM","670656","836820","1428729"
"4/30/2014, 11:59:00 PM","390445","823923","3463714"
"3/31/2014, 11:59:00 PM","263143","849669","5117554"
"2/28/2014, 11:59:00 PM","140256","791764","8430086"
"1/31/2014, 11:59:00 PM","147729","869917","10858718"
"12/31/2013, 11:59:00 PM","116420","861424","15872810"
"11/30/2013, 11:59:00 PM","238919","847747","7562008"
"10/31/2013, 11:59:00 PM","558479","886107","2640839"
"9/30/2013, 11:59:00 PM","867382","843881","1448880"
"8/31/2013, 11:59:00 PM","1050025","889115","1517153"
"7/31/2013, 11:59:00 PM","1207068","896492","1646965"
"6/30/2013, 11:59:00 PM","1084051","863275","1581339"
"5/31/2013, 11:59:00 PM","782400","900372","1480553"
"4/30/2013, 11:59:00 PM","548112","845206","2610023"
"3/31/2013, 11:59:00 PM","299426","853172","5837190"
"2/28/2013, 11:59:00 PM","124983","817326","11022429"
