"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","248160","1476751","2224919"
"11/30/2019, 11:59:00 PM","","1791425",""
"10/31/2019, 11:59:00 PM","","1302688",""
"9/30/2019, 11:59:00 PM","2166473","1455136","567637"
"8/31/2019, 11:59:00 PM","2798280","1523994","538434"
"7/31/2019, 11:59:00 PM","2616236","1517211","564899"
"6/30/2019, 11:59:00 PM","2530080","1448619","560336"
"5/31/2019, 11:59:00 PM","1780440","2231868","1432782"
"4/30/2019, 11:59:00 PM","262041","695331","507406"
"3/31/2019, 11:59:00 PM","262660","1486445","1875393"
"2/28/2019, 11:59:00 PM","202920","1359221","735556"
"1/31/2019, 11:59:00 PM","215160","1493511","3206876"
"12/31/2018, 11:59:00 PM","216240","1463919","4372267"
"11/30/2018, 11:59:00 PM","753877","1509172","2954086"
"10/31/2018, 11:59:00 PM","1304880","1579817","1743979"
"9/30/2018, 11:59:00 PM","1734120","1485247","1460160"
"8/31/2018, 11:59:00 PM","2020440","1521196","1364337"
"7/31/2018, 11:59:00 PM","2664480","1523762","1252087"
"6/30/2018, 11:59:00 PM","2143301","1460554","1360687"
"5/31/2018, 11:59:00 PM","1382280","1516857","1901858"
"4/30/2018, 11:59:00 PM","831120","1465340","2506000"
"3/31/2018, 11:59:00 PM","526200","1515624","3649487"
"2/28/2018, 11:59:00 PM","350520","1392685","3215090"
"1/31/2018, 11:59:00 PM","240840","1520235","4209715"
"12/31/2017, 11:59:00 PM","343669","1511137","4440531"
"11/30/2017, 11:59:00 PM","342360","1515679","3060936"
"10/31/2017, 11:59:00 PM","1254240","1615029","1934227"
"9/30/2017, 11:59:00 PM","2280335","1493531","1344260"
"8/31/2017, 11:59:00 PM","2585640","1524038","1239515"
"7/31/2017, 11:59:00 PM","2739299","1512598","1196419"
"6/30/2017, 11:59:00 PM","2467524","1471271","1349735"
"5/31/2017, 11:59:00 PM","1685733","1528474","1633807"
"4/30/2017, 11:59:00 PM","763200","1471974","2328712"
"3/31/2017, 11:59:00 PM","587640","1534066","2780324"
"2/28/2017, 11:59:00 PM","244200","1400732","3308357"
"1/31/2017, 11:59:00 PM","235320","1547516","5032692"
"12/31/2016, 11:59:00 PM","235320","1533697","3579874"
"11/30/2016, 11:59:00 PM","463800","1504426","2606130"
"10/31/2016, 11:59:00 PM","866880","1559919","1766705"
"9/30/2016, 11:59:00 PM","1837800","1517149","2369606"
"8/31/2016, 11:59:00 PM","2024760","1560376","1438689"
"7/31/2016, 11:59:00 PM","2351400","1556563","2358026"
"6/30/2016, 11:59:00 PM","2183155","1517381","1160737"
"5/31/2016, 11:59:00 PM","1473240","1561456","1610394"
"4/30/2016, 11:59:00 PM","973920","1536391","1771024"
"3/31/2016, 11:59:00 PM","584880","1612248","2789513"
"2/29/2016, 11:59:00 PM","527760","1518986","2952231"
"1/31/2016, 11:59:00 PM","333000","1610880","4262765"
"12/31/2015, 11:59:00 PM","329520","1610318","4702835"
"11/30/2015, 11:59:00 PM","392520","1598358","3749780"
"10/31/2015, 11:59:00 PM","1647960","1754856","1439755"
"9/30/2015, 11:59:00 PM","2071816","1522963",""
"8/31/2015, 11:59:00 PM","2410042","1521607",""
"7/31/2015, 11:59:00 PM","2572720","1520964",""
"6/30/2015, 11:59:00 PM","2344975","1521865",""
"5/31/2015, 11:59:00 PM","969473","1527502",""
"4/30/2015, 11:59:00 PM","880241","1528513",""
"3/31/2015, 11:59:00 PM","814620","1528716",""
"2/28/2015, 11:59:00 PM","531551","1531152",""
"1/31/2015, 11:59:00 PM","285377","1534338",""
"12/31/2014, 11:59:00 PM","388513","1533004",""
"11/30/2014, 11:59:00 PM","507777","1531469",""
"10/31/2014, 11:59:00 PM","1407919","1525768",""
"9/30/2014, 11:59:00 PM","2004208","1523213",""
"8/31/2014, 11:59:00 PM","2125920","854248","1069121"
"7/31/2014, 11:59:00 PM","2295720","821647","887047"
"6/30/2014, 11:59:00 PM","2113080","794341","1036976"
"5/31/2014, 11:59:00 PM","1593231","836820","1240758"
"4/30/2014, 11:59:00 PM","935640","823923","1904298"
"3/31/2014, 11:59:00 PM","504240","849669","2142579"
"2/28/2014, 11:59:00 PM","309019","791764","2751038"
"1/31/2014, 11:59:00 PM","348120","869917","3233970"
"12/31/2013, 11:59:00 PM","256680","861424","4529839"
"11/30/2013, 11:59:00 PM","472560","847747","2465398"
"10/31/2013, 11:59:00 PM","969480","886107","1725422"
"9/30/2013, 11:59:00 PM","1573920","843881","1005681"
"8/31/2013, 11:59:00 PM","2017830","889115","992863"
"7/31/2013, 11:59:00 PM","2350320","896492","947227"
"6/30/2013, 11:59:00 PM","2098687","863275","853814"
"5/31/2013, 11:59:00 PM","1507320","900372","1267725"
"4/30/2013, 11:59:00 PM","1104240","845206","1600699"
"3/31/2013, 11:59:00 PM","595440","853172","2390568"
"2/28/2013, 11:59:00 PM","286800","817326","3217692"
