"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","6564","263641","6388"
"11/30/2019, 11:59:00 PM","95772","315508","82134"
"10/31/2019, 11:59:00 PM","182040","351541","81221"
"9/30/2019, 11:59:00 PM","384696","330844","162443"
"8/31/2019, 11:59:00 PM","530138","332896","726430"
"7/31/2019, 11:59:00 PM","483852","332840","705440"
"6/30/2019, 11:59:00 PM","469692","338622","657985"
"5/31/2019, 11:59:00 PM","154284","378844","633344"
"4/30/2019, 11:59:00 PM","111168","377883","622393"
"3/31/2019, 11:59:00 PM","12432","305601","625131"
"2/28/2019, 11:59:00 PM","1044","267915","59800"
"1/31/2019, 11:59:00 PM","9972","303128","63800"
"12/31/2018, 11:59:00 PM","216","293252","63500"
"11/30/2018, 11:59:00 PM","60060","336606","59500"
"10/31/2018, 11:59:00 PM","190983","437043","58100"
"9/30/2018, 11:59:00 PM","113032","392391","54200"
"8/31/2018, 11:59:00 PM","81065","421743","54300"
"7/31/2018, 11:59:00 PM","144750","512519","56000"
"6/30/2018, 11:59:00 PM","127726","462612","52700"
"5/31/2018, 11:59:00 PM","111372","426684","57000"
"4/30/2018, 11:59:00 PM","1440","358920","0"
"3/31/2018, 11:59:00 PM","384","320139","800"
"2/28/2018, 11:59:00 PM","22308","288630","100"
"1/31/2018, 11:59:00 PM","372","297107","1500"
"12/31/2017, 11:59:00 PM","2964","300280","11000"
"11/30/2017, 11:59:00 PM","27648","301599","31100"
"10/31/2017, 11:59:00 PM","81590","406076","3100"
"9/30/2017, 11:59:00 PM","104518","478643","800"
"8/31/2017, 11:59:00 PM","198057","550285","400"
"7/31/2017, 11:59:00 PM","135225","533085","100"
"6/30/2017, 11:59:00 PM","98160","372948","119400"
"5/31/2017, 11:59:00 PM","117834","392396","173500"
"4/30/2017, 11:59:00 PM","67152","344939","126600"
"3/31/2017, 11:59:00 PM","49068","388365","150400"
"2/28/2017, 11:59:00 PM","16512","328292","142200"
"1/31/2017, 11:59:00 PM","5208","360595","169100"
"12/31/2016, 11:59:00 PM","19008","366419","198400"
"11/30/2016, 11:59:00 PM","86484","396233","172500"
"10/31/2016, 11:59:00 PM","181319","462544","171900"
"9/30/2016, 11:59:00 PM","165509","489032","71500"
"8/31/2016, 11:59:00 PM","165946","537168","63204"
"7/31/2016, 11:59:00 PM","167985","555883","32719"
"6/30/2016, 11:59:00 PM","252677","557601","107000"
"5/31/2016, 11:59:00 PM","249417","525879","146200"
"4/30/2016, 11:59:00 PM","222396","467858","160700"
"3/31/2016, 11:59:00 PM","87191","411511","180700"
"2/29/2016, 11:59:00 PM","45984","368702","169800"
"1/31/2016, 11:59:00 PM","1176","364364","203800"
"12/31/2015, 11:59:00 PM","12792","369341","125800"
"11/30/2015, 11:59:00 PM","41177","367281","206700"
"10/31/2015, 11:59:00 PM","303032","389453","154800"
"9/30/2015, 11:59:00 PM","","373903","66031"
"8/31/2015, 11:59:00 PM","","462245","40094"
"7/31/2015, 11:59:00 PM","","590729","27570"
"6/30/2015, 11:59:00 PM","","572944","45103"
"5/31/2015, 11:59:00 PM","","440651","149894"
"4/30/2015, 11:59:00 PM","","429740","153068"
"3/31/2015, 11:59:00 PM","","435232","158435"
"2/28/2015, 11:59:00 PM","","","172829"
"1/31/2015, 11:59:00 PM","","","179350"
"12/31/2014, 11:59:00 PM","","","176618"
"11/30/2014, 11:59:00 PM","","","173408"
"10/31/2014, 11:59:00 PM","","","116138"
"9/30/2014, 11:59:00 PM","","","71337"
"8/31/2014, 11:59:00 PM","","","54038"
"7/31/2014, 11:59:00 PM","","","22514"
"6/30/2014, 11:59:00 PM","","","57770"
"5/31/2014, 11:59:00 PM","","","98269"
"4/30/2014, 11:59:00 PM","","","147543"
"3/31/2014, 11:59:00 PM","","","170374"
"2/28/2014, 11:59:00 PM","","","174489"
"1/31/2014, 11:59:00 PM","","","177080"
"12/31/2013, 11:59:00 PM","","","182429"
"11/30/2013, 11:59:00 PM","","","173563"
"10/31/2013, 11:59:00 PM","","","155289"
"9/30/2013, 11:59:00 PM","","","88990"
"8/31/2013, 11:59:00 PM","","","62728"
"7/31/2013, 11:59:00 PM","","","34908"
"6/30/2013, 11:59:00 PM","","","48972"
"5/31/2013, 11:59:00 PM","","","106842"
"4/30/2013, 11:59:00 PM","","","136011"
"3/31/2013, 11:59:00 PM","","","171260"
"2/28/2013, 11:59:00 PM","","","177255"
