"Date Time","Electricity"
"12/31/2019, 11:59:00 PM","26727"
"11/30/2019, 11:59:00 PM","24096"
"10/31/2019, 11:59:00 PM","29758"
"9/30/2019, 11:59:00 PM","42500"
"8/31/2019, 11:59:00 PM","51543"
"7/31/2019, 11:59:00 PM","48318"
"6/30/2019, 11:59:00 PM","45809"
"5/31/2019, 11:59:00 PM","35232"
"4/30/2019, 11:59:00 PM","32762"
"3/31/2019, 11:59:00 PM","30525"
"2/28/2019, 11:59:00 PM","26973"
"1/31/2019, 11:59:00 PM","30485"
"12/31/2018, 11:59:00 PM","30478"
"11/30/2018, 11:59:00 PM","30413"
"10/31/2018, 11:59:00 PM","35347"
"9/30/2018, 11:59:00 PM","39443"
"8/31/2018, 11:59:00 PM","42961"
"7/31/2018, 11:59:00 PM","50848"
"6/30/2018, 11:59:00 PM","42792"
"5/31/2018, 11:59:00 PM","35584"
"4/30/2018, 11:59:00 PM","30455"
"3/31/2018, 11:59:00 PM","31680"
"2/28/2018, 11:59:00 PM","27469"
"1/31/2018, 11:59:00 PM","32037"
"12/31/2017, 11:59:00 PM","33087"
"11/30/2017, 11:59:00 PM","27886"
"10/31/2017, 11:59:00 PM","36904"
"9/30/2017, 11:59:00 PM","46876"
"8/31/2017, 11:59:00 PM","52691"
"7/31/2017, 11:59:00 PM","55873"
"6/30/2017, 11:59:00 PM","53219"
"5/31/2017, 11:59:00 PM","43896"
"4/30/2017, 11:59:00 PM","32413"
"3/31/2017, 11:59:00 PM","33073"
"2/28/2017, 11:59:00 PM","29278"
"1/31/2017, 11:59:00 PM","32474"
"12/31/2016, 11:59:00 PM","31762"
"11/30/2016, 11:59:00 PM","33478"
"10/31/2016, 11:59:00 PM","37519"
"9/30/2016, 11:59:00 PM","48107"
"8/31/2016, 11:59:00 PM","53239"
"7/31/2016, 11:59:00 PM","56800"
"6/30/2016, 11:59:00 PM","52136"
"5/31/2016, 11:59:00 PM","43533"
"4/30/2016, 11:59:00 PM","35554"
"3/31/2016, 11:59:00 PM","33610"
"2/29/2016, 11:59:00 PM","32001"
"1/31/2016, 11:59:00 PM","33388"
"12/31/2015, 11:59:00 PM","33649"
"11/30/2015, 11:59:00 PM","32468"
"10/31/2015, 11:59:00 PM","40738"
"9/30/2015, 11:59:00 PM","46701"
"8/31/2015, 11:59:00 PM","52357"
"7/31/2015, 11:59:00 PM","55913"
"6/30/2015, 11:59:00 PM","51804"
"5/31/2015, 11:59:00 PM","38209"
"4/30/2015, 11:59:00 PM","36002"
"3/31/2015, 11:59:00 PM","34899"
"2/28/2015, 11:59:00 PM","27999"
"1/31/2015, 11:59:00 PM","30317"
"12/31/2014, 11:59:00 PM","1081.96448"
"11/30/2014, 11:59:00 PM","3622.86328"
"10/31/2014, 11:59:00 PM","6085.213"
"9/30/2014, 11:59:00 PM","8626.112"
"8/31/2014, 11:59:00 PM","11085.0459"
"7/31/2014, 11:59:00 PM","13625.9453"
"6/30/2014, 11:59:00 PM","16166.8438"
"5/31/2014, 11:59:00 PM","18625.78"
"4/30/2014, 11:59:00 PM","21166.6777"
"3/31/2014, 11:59:00 PM","23625.6113"
"2/28/2014, 11:59:00 PM","26163.0957"
"1/31/2014, 11:59:00 PM","28458.1016"
"12/31/2013, 11:59:00 PM","30999"
"11/30/2013, 11:59:00 PM","29175"
"10/31/2013, 11:59:00 PM","33813"
"9/30/2013, 11:59:00 PM","39429"
"8/31/2013, 11:59:00 PM","45201"
"7/31/2013, 11:59:00 PM","48615"
"6/30/2013, 11:59:00 PM","43449"
"5/31/2013, 11:59:00 PM","39710"
"4/30/2013, 11:59:00 PM","35415"
"3/31/2013, 11:59:00 PM","31658"
"2/28/2013, 11:59:00 PM","28925"
