"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","273628","417888.7"
"11/30/2019, 11:59:00 PM","278221","376345.438"
"10/31/2019, 11:59:00 PM","312979","378199.5"
"9/30/2019, 11:59:00 PM","338779","378587.531"
"8/31/2019, 11:59:00 PM","387238","390106.875"
"7/31/2019, 11:59:00 PM","385220","389420.1"
"6/30/2019, 11:59:00 PM","351631","385987.375"
"5/31/2019, 11:59:00 PM","317479","17629.5"
"4/30/2019, 11:59:00 PM","302707","21"
"3/31/2019, 11:59:00 PM","267997","438982.625"
"2/28/2019, 11:59:00 PM","227947","517989.6"
"1/31/2019, 11:59:00 PM","259371","531718.9"
"12/31/2018, 11:59:00 PM","259318","425006.531"
"11/30/2018, 11:59:00 PM","280016","401764.75"
"10/31/2018, 11:59:00 PM","313586","429861.6"
"9/30/2018, 11:59:00 PM","320598","443973.656"
"8/31/2018, 11:59:00 PM","351593","474717.4"
"7/31/2018, 11:59:00 PM","376074","471147.281"
"6/30/2018, 11:59:00 PM","389620","443228.5"
"5/31/2018, 11:59:00 PM","317044","471340.5"
"4/30/2018, 11:59:00 PM","278517","438724.2"
"3/31/2018, 11:59:00 PM","264107","423709.781"
"2/28/2018, 11:59:00 PM","232537","416721.8"
"1/31/2018, 11:59:00 PM","243703","419179.8"
"12/31/2017, 11:59:00 PM","256467","500294.531"
"11/30/2017, 11:59:00 PM","259988","20077040"
"10/31/2017, 11:59:00 PM","300134","4443.086"
"9/30/2017, 11:59:00 PM","347183","4533.919"
"8/31/2017, 11:59:00 PM","404122","4826.915"
"7/31/2017, 11:59:00 PM","394138","4690.885"
"6/30/2017, 11:59:00 PM","346651","4473.48242"
"5/31/2017, 11:59:00 PM","305125","4608.921"
"4/30/2017, 11:59:00 PM","300388","4532.498"
"3/31/2017, 11:59:00 PM","269723","4343.777"
"2/28/2017, 11:59:00 PM","224203","3074.84033"
"1/31/2017, 11:59:00 PM","246236","4455.28"
"12/31/2016, 11:59:00 PM","229606","4324.18359"
"11/30/2016, 11:59:00 PM","272121","4388.0293"
"10/31/2016, 11:59:00 PM","308645","4696.717"
"9/30/2016, 11:59:00 PM","302480","4239.7666"
"8/31/2016, 11:59:00 PM","369374","4487.517"
"7/31/2016, 11:59:00 PM","395203","4576.054"
"6/30/2016, 11:59:00 PM","347642","4093.59961"
"5/31/2016, 11:59:00 PM","301601","4352.894"
"4/30/2016, 11:59:00 PM","287965","4286.009"
"3/31/2016, 11:59:00 PM","267076","4375.43"
"2/29/2016, 11:59:00 PM","242255","4254.35254"
"1/31/2016, 11:59:00 PM","230191","4852.342"
"12/31/2015, 11:59:00 PM","259296","4910.661"
"11/30/2015, 11:59:00 PM","231843","4076.46216"
"10/31/2015, 11:59:00 PM","303463","4533.881"
"9/30/2015, 11:59:00 PM","311476","4269.95"
"8/31/2015, 11:59:00 PM","348942","4546.1875"
"7/31/2015, 11:59:00 PM","375026","4605.858"
"6/30/2015, 11:59:00 PM","346453","4528.015"
"5/31/2015, 11:59:00 PM","294125","4843.991"
"4/30/2015, 11:59:00 PM","272147",""
"3/31/2015, 11:59:00 PM","277104",""
"2/28/2015, 11:59:00 PM","238705",""
"1/31/2015, 11:59:00 PM","215605",""
"12/31/2014, 11:59:00 PM","227889",""
