"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","72609","829594","2182654"
"11/30/2019, 11:59:00 PM","379343","811392","1680735"
"10/31/2019, 11:59:00 PM","514317","862398","1034523"
"9/30/2019, 11:59:00 PM","971832","831751","687279"
"8/31/2019, 11:59:00 PM","1460986","888721","507314"
"7/31/2019, 11:59:00 PM","1314005","861824","0"
"6/30/2019, 11:59:00 PM","1353664","829971","0"
"5/31/2019, 11:59:00 PM","472320","855983","194658"
"4/30/2019, 11:59:00 PM","468758","850484","981045"
"3/31/2019, 11:59:00 PM","81768","863854","1593735"
"2/28/2019, 11:59:00 PM","696","759322","2129278"
"1/31/2019, 11:59:00 PM","73193","824236","1997590"
"12/31/2018, 11:59:00 PM","143905","793589","2194055"
"11/30/2018, 11:59:00 PM","335132","782488","1533716"
"10/31/2018, 11:59:00 PM","807539","835015","1052684"
"9/30/2018, 11:59:00 PM","1058328","781433","975934"
"8/31/2018, 11:59:00 PM","1199082","844680","901375"
"7/31/2018, 11:59:00 PM","1554082","861640","814404"
"6/30/2018, 11:59:00 PM","1177015","840996","859452"
"5/31/2018, 11:59:00 PM","718316","881491","1047026"
"4/30/2018, 11:59:00 PM","416233","850081","1292059"
"3/31/2018, 11:59:00 PM","243990","870335","1818110"
"2/28/2018, 11:59:00 PM","179942","797090","1776558"
"1/31/2018, 11:59:00 PM","102865","862263","2117343"
"12/31/2017, 11:59:00 PM","65649","849472","2273237"
"11/30/2017, 11:59:00 PM","158855","839751","1490002"
"10/31/2017, 11:59:00 PM","691006","859013","1043376"
"9/30/2017, 11:59:00 PM","1328331","812110","859760"
"8/31/2017, 11:59:00 PM","1491488","834533","916159"
"7/31/2017, 11:59:00 PM","1552044","802572","939613"
"6/30/2017, 11:59:00 PM","1386556","841335","932221"
"5/31/2017, 11:59:00 PM","916030","438774","1039908"
"4/30/2017, 11:59:00 PM","409360","845347","1327742"
"3/31/2017, 11:59:00 PM","341986","898163","1522324"
"2/28/2017, 11:59:00 PM","138622","808170","1720861"
"1/31/2017, 11:59:00 PM","81243","888641","2522078"
"12/31/2016, 11:59:00 PM","23952","859561","2473605"
"11/30/2016, 11:59:00 PM","204808","864696","1520024"
"10/31/2016, 11:59:00 PM","525652","868654","1125510"
"9/30/2016, 11:59:00 PM","1018552","831009","938883"
"8/31/2016, 11:59:00 PM","1048671","845502","784836"
"7/31/2016, 11:59:00 PM","1264571","838097","769504"
"6/30/2016, 11:59:00 PM","1182292","807793","732909"
"5/31/2016, 11:59:00 PM","761311","898618","887230"
"4/30/2016, 11:59:00 PM","448308","850806","992951"
"3/31/2016, 11:59:00 PM","169891","874387","1325538"
"2/29/2016, 11:59:00 PM","184680","815443","1196601"
"1/31/2016, 11:59:00 PM","9408","880616","1725488"
"12/31/2015, 11:59:00 PM","8652","876569","1853683"
"11/30/2015, 11:59:00 PM","61463","860669","1617289"
"10/31/2015, 11:59:00 PM","828394","892862","908730"
"9/30/2015, 11:59:00 PM","1062667","859455","882789"
"8/31/2015, 11:59:00 PM","1259134","894522","856438"
"7/31/2015, 11:59:00 PM","1363788","906208","845274"
"6/30/2015, 11:59:00 PM","1173284","880245","860903"
"5/31/2015, 11:59:00 PM","434988","892009","989643"
"4/30/2015, 11:59:00 PM","389634","856021","1109904"
"3/31/2015, 11:59:00 PM","375278","884911","1102244"
"2/28/2015, 11:59:00 PM","88596","815964","1270201"
"1/31/2015, 11:59:00 PM","27684","889154","2081264"
"12/31/2014, 11:59:00 PM","21336","875514","1788422"
"11/30/2014, 11:59:00 PM","100992","886731","1353751"
"10/31/2014, 11:59:00 PM","621139","954586","748428"
"9/30/2014, 11:59:00 PM","802910","914561","564717"
"8/31/2014, 11:59:00 PM","994733","956020","598939"
"7/31/2014, 11:59:00 PM","1187124","910663","580414"
"6/30/2014, 11:59:00 PM","950372","895874","588627"
"5/31/2014, 11:59:00 PM","738737","960013","657711"
"4/30/2014, 11:59:00 PM","415806","929897","852011"
"3/31/2014, 11:59:00 PM","200928","944159","1005868"
"2/28/2014, 11:59:00 PM","52212","840476","1278101"
"1/31/2014, 11:59:00 PM","62028","945036","1536220"
"12/31/2013, 11:59:00 PM","9432","895378","2043859"
"11/30/2013, 11:59:00 PM","121080","958363","1293245"
"10/31/2013, 11:59:00 PM","441180","927126","898820"
"9/30/2013, 11:59:00 PM","852002","913962","673955"
"8/31/2013, 11:59:00 PM","1042017","986564","688922"
"7/31/2013, 11:59:00 PM","1213084","963437","688922"
"6/30/2013, 11:59:00 PM","1109670","923416","671040"
"5/31/2013, 11:59:00 PM","713295","966638","762842"
"4/30/2013, 11:59:00 PM","517407","948779","866527"
"3/31/2013, 11:59:00 PM","220608","966686","1169771"
"2/28/2013, 11:59:00 PM","41460","888113","1566660"
