"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","234738","1023774","4198"
"11/30/2019, 11:59:00 PM","401629","1018250","676054"
"10/31/2019, 11:59:00 PM","778075","1084644","554952"
"9/30/2019, 11:59:00 PM","1652515","1111937","444162"
"8/31/2019, 11:59:00 PM","2197000","1146319","384296"
"7/31/2019, 11:59:00 PM","1973273","1138366","437500"
"6/30/2019, 11:59:00 PM","1956181","1103294","490979"
"5/31/2019, 11:59:00 PM","863158","1092406","917711"
"4/30/2019, 11:59:00 PM","845966","1078711","898911"
"3/31/2019, 11:59:00 PM","373168","1090400","1651532"
"2/28/2019, 11:59:00 PM","174800","994318","2352865"
"1/31/2019, 11:59:00 PM","233898","1090699","2388124"
"12/31/2018, 11:59:00 PM","152069","1076269","2477618"
"11/30/2018, 11:59:00 PM","296202","1075466","1805762"
"10/31/2018, 11:59:00 PM","867695","1142947","948830"
"9/30/2018, 11:59:00 PM","1189982","1091494","773063"
"8/31/2018, 11:59:00 PM","1453261","861883","723236"
"7/31/2018, 11:59:00 PM","1946766","769802","57076"
"6/30/2018, 11:59:00 PM","1434641","979831","70286"
"5/31/2018, 11:59:00 PM","853609","1182480","97444"
"4/30/2018, 11:59:00 PM","453346","1129839","131706"
"3/31/2018, 11:59:00 PM","226383","1172414","203774"
"2/28/2018, 11:59:00 PM","149935","1075722","192239"
"1/31/2018, 11:59:00 PM","","1152888","241541"
"12/31/2017, 11:59:00 PM","","1171572","267814"
"11/30/2017, 11:59:00 PM","","1119743","174772"
"10/31/2017, 11:59:00 PM","","1160264","102430"
"9/30/2017, 11:59:00 PM","","1122684","65890"
"8/31/2017, 11:59:00 PM","","1190167","61267"
"7/31/2017, 11:59:00 PM","","1194309","59429"
"6/30/2017, 11:59:00 PM","","1152280","64165"
"5/31/2017, 11:59:00 PM","","1153884","81089"
"4/30/2017, 11:59:00 PM","","1099404","122115"
"3/31/2017, 11:59:00 PM","","1127802","154841"
"2/28/2017, 11:59:00 PM","","1033229","190058"
"1/31/2017, 11:59:00 PM","","1111114","294122"
"12/31/2016, 11:59:00 PM","","1064745","290415"
"11/30/2016, 11:59:00 PM","","994571",""
"10/31/2016, 11:59:00 PM","","1080870",""
"9/30/2016, 11:59:00 PM","","1076135",""
"8/31/2016, 11:59:00 PM","","1087701",""
"7/31/2016, 11:59:00 PM","","1068174",""
"6/30/2016, 11:59:00 PM","","1032026",""
"5/31/2016, 11:59:00 PM","","1054477",""
"4/30/2016, 11:59:00 PM","","1001127",""
"3/31/2016, 11:59:00 PM","","996495",""
"2/29/2016, 11:59:00 PM","","923427",""
"1/31/2016, 11:59:00 PM","","987771",""
"12/31/2015, 11:59:00 PM","","988112",""
"11/30/2015, 11:59:00 PM","","959391",""
"10/31/2015, 11:59:00 PM","","1026348",""
"9/30/2015, 11:59:00 PM","","1007055",""
"8/31/2015, 11:59:00 PM","","1050374",""
"7/31/2015, 11:59:00 PM","","1055849",""
"6/30/2015, 11:59:00 PM","","1016837",""
"5/31/2015, 11:59:00 PM","","1008394",""
"4/30/2015, 11:59:00 PM","","1002421",""
"3/31/2015, 11:59:00 PM","","1021936",""
"2/28/2015, 11:59:00 PM","","923012",""
"1/31/2015, 11:59:00 PM","","1015087",""
"12/31/2014, 11:59:00 PM","","1005606",""
"10/31/2014, 11:59:00 PM","","1050278",""
"9/30/2014, 11:59:00 PM","","1015143",""
"8/31/2014, 11:59:00 PM","","1072159",""
"7/31/2014, 11:59:00 PM","","1081754",""
"6/30/2014, 11:59:00 PM","","974314",""
"5/31/2014, 11:59:00 PM","","1074712",""
"4/30/2014, 11:59:00 PM","","1011945",""
"3/31/2014, 11:59:00 PM","","1059955",""
"2/28/2014, 11:59:00 PM","","958992",""
"1/31/2014, 11:59:00 PM","","1033294",""
"12/31/2013, 11:59:00 PM","","1009020",""
"11/30/2013, 11:59:00 PM","","1013026",""
"10/31/2013, 11:59:00 PM","","992811",""
"9/30/2013, 11:59:00 PM","","1022525",""
"8/31/2013, 11:59:00 PM","","1078032",""
"7/31/2013, 11:59:00 PM","","1096294",""
"6/30/2013, 11:59:00 PM","","1052403",""
"4/30/2013, 11:59:00 PM","","1043395",""
"3/31/2013, 11:59:00 PM","","1069943",""
"2/28/2013, 11:59:00 PM","","968962",""
