"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","156","54117","117908"
"11/30/2019, 11:59:00 PM","17916","53531","72734"
"10/31/2019, 11:59:00 PM","58932","57767","51379"
"9/30/2019, 11:59:00 PM","89788","53383","15970"
"8/31/2019, 11:59:00 PM","149061","54260","20716"
"7/31/2019, 11:59:00 PM","136050","62665","20442"
"6/30/2019, 11:59:00 PM","134472","61592","21902"
"5/31/2019, 11:59:00 PM","55773","63702","38055"
"4/30/2019, 11:59:00 PM","55104","58140","42162"
"3/31/2019, 11:59:00 PM","10031","56760","87336"
"2/28/2019, 11:59:00 PM","1479","52961","126121"
"1/31/2019, 11:59:00 PM","3912","54095","122106"
"12/31/2018, 11:59:00 PM","2556","55317","4553183"
"11/30/2018, 11:59:00 PM","16296","48017","9131"
"10/31/2018, 11:59:00 PM","69715","56212","4521"
"9/30/2018, 11:59:00 PM","83748","46637","3021"
"8/31/2018, 11:59:00 PM","111392","52207","2280"
"7/31/2018, 11:59:00 PM","156395","51335","1853"
"6/30/2018, 11:59:00 PM","110433","49738","2190"
"5/31/2018, 11:59:00 PM","73956","52720","3431"
"4/30/2018, 11:59:00 PM","45024","49514","6028"
"3/31/2018, 11:59:00 PM","24036","50908","10744"
"2/28/2018, 11:59:00 PM","19575","49204","12002"
"1/31/2018, 11:59:00 PM","2772","55368","13790"
"12/31/2017, 11:59:00 PM","0","50351","12689"
"11/30/2017, 11:59:00 PM","0","54444","6486"
"10/31/2017, 11:59:00 PM","0","57241",""
"9/30/2017, 11:59:00 PM","0","47214",""
"8/31/2017, 11:59:00 PM","120","60160",""
"7/31/2017, 11:59:00 PM","0","54726",""
"6/30/2017, 11:59:00 PM","0","52125",""
"5/31/2017, 11:59:00 PM","0","59515",""
"4/30/2017, 11:59:00 PM","0","57050",""
"3/31/2017, 11:59:00 PM","0","56321",""
"2/28/2017, 11:59:00 PM","0","57659",""
"1/31/2017, 11:59:00 PM","60","53687",""
"12/31/2016, 11:59:00 PM","204","49159",""
"11/30/2016, 11:59:00 PM","","55309",""
"10/31/2016, 11:59:00 PM","","57091",""
"9/30/2016, 11:59:00 PM","","47415",""
"8/31/2016, 11:59:00 PM","","52366",""
"7/31/2016, 11:59:00 PM","","52107",""
"6/30/2016, 11:59:00 PM","","51372",""
"5/31/2016, 11:59:00 PM","","54813",""
"4/30/2016, 11:59:00 PM","","55991",""
"3/31/2016, 11:59:00 PM","","60643",""
"2/29/2016, 11:59:00 PM","","59789",""
"1/31/2016, 11:59:00 PM","","57812",""
"12/31/2015, 11:59:00 PM","","52563",""
"11/30/2015, 11:59:00 PM","","59076",""
"10/31/2015, 11:59:00 PM","","55489",""
"9/30/2015, 11:59:00 PM","","45706",""
"8/31/2015, 11:59:00 PM","","45891",""
"7/31/2015, 11:59:00 PM","","48708",""
"6/30/2015, 11:59:00 PM","","48346",""
"5/31/2015, 11:59:00 PM","","56088",""
"4/30/2015, 11:59:00 PM","","55003",""
"3/31/2015, 11:59:00 PM","","54002",""
"2/28/2015, 11:59:00 PM","","50576",""
"1/31/2015, 11:59:00 PM","","53429",""
"12/31/2014, 11:59:00 PM","","50066",""
"11/30/2014, 11:59:00 PM","","42651",""
"10/31/2014, 11:59:00 PM","","48521",""
"9/30/2014, 11:59:00 PM","","41959",""
"8/31/2014, 11:59:00 PM","","41490",""
"7/31/2014, 11:59:00 PM","","47421",""
"6/30/2014, 11:59:00 PM","","42304",""
"5/31/2014, 11:59:00 PM","","49852",""
"4/30/2014, 11:59:00 PM","","49709",""
"3/31/2014, 11:59:00 PM","","48156",""
"2/28/2014, 11:59:00 PM","","45130",""
"1/31/2014, 11:59:00 PM","","49562",""
"12/31/2013, 11:59:00 PM","","43155",""
"11/30/2013, 11:59:00 PM","","48225",""
"10/31/2013, 11:59:00 PM","","50454",""
"9/30/2013, 11:59:00 PM","","44618",""
"8/31/2013, 11:59:00 PM","","65826",""
"7/31/2013, 11:59:00 PM","","81296",""
"6/30/2013, 11:59:00 PM","","80013",""
"5/31/2013, 11:59:00 PM","","91925",""
"4/30/2013, 11:59:00 PM","","93327",""
"3/31/2013, 11:59:00 PM","","93675",""
"2/28/2013, 11:59:00 PM","","81344",""
