"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","187325","630936","590908"
"11/30/2019, 11:59:00 PM","276954","635246","581600"
"10/31/2019, 11:59:00 PM","523863","716418","118357"
"9/30/2019, 11:59:00 PM","789807","637590","533871"
"8/31/2019, 11:59:00 PM","1133962","693595","420617"
"7/31/2019, 11:59:00 PM","1018859","685444","408297"
"6/30/2019, 11:59:00 PM","1032404","635751","402822"
"5/31/2019, 11:59:00 PM","620168","656138","700238"
"4/30/2019, 11:59:00 PM","587392","646949","685180"
"3/31/2019, 11:59:00 PM","195618","634867","3572814"
"2/28/2019, 11:59:00 PM","91904","614440","4592751"
"1/31/2019, 11:59:00 PM","112665","670478","2280405"
"12/31/2018, 11:59:00 PM","83267","640780","1798917"
"11/30/2018, 11:59:00 PM","312330","617186","588444"
"10/31/2018, 11:59:00 PM","749630","670949","448452"
"9/30/2018, 11:59:00 PM","1029829","612840","1175338"
"8/31/2018, 11:59:00 PM","1288864","665371","67076"
"7/31/2018, 11:59:00 PM","1536354","685020","490157"
"6/30/2018, 11:59:00 PM","1235942","648181","895717"
"5/31/2018, 11:59:00 PM","973380","694983","1003586"
"4/30/2018, 11:59:00 PM","604407","663190","947461"
"3/31/2018, 11:59:00 PM","399635","658953","1388886"
"2/28/2018, 11:59:00 PM","612987","610867","1536426"
"1/31/2018, 11:59:00 PM","648663","659349","1810416"
"12/31/2017, 11:59:00 PM","270238","611321","1406339"
"11/30/2017, 11:59:00 PM","457194","610975","958822"
"10/31/2017, 11:59:00 PM","888518","702295","823256"
"9/30/2017, 11:59:00 PM","1250354","643879","735829"
"8/31/2017, 11:59:00 PM","1378674","711757","400449"
"7/31/2017, 11:59:00 PM","1184464","679090","503208"
"6/30/2017, 11:59:00 PM","1093639","669489","304352"
"5/31/2017, 11:59:00 PM","745328","709280","279277"
"4/30/2017, 11:59:00 PM","325955","654715","523467"
"3/31/2017, 11:59:00 PM","288458","648515","909686"
"2/28/2017, 11:59:00 PM","111655","596186","885762"
"1/31/2017, 11:59:00 PM","67132","653603","1723024"
"12/31/2016, 11:59:00 PM","140724","637611","1645317"
"11/30/2016, 11:59:00 PM","233565","643940","686128"
"10/31/2016, 11:59:00 PM","421362","678572","333544"
"9/30/2016, 11:59:00 PM","774627","647523","153423"
"8/31/2016, 11:59:00 PM","920412","679302","157466"
"7/31/2016, 11:59:00 PM","1053877","657769","151365"
"6/30/2016, 11:59:00 PM","962925","643902","196205"
"5/31/2016, 11:59:00 PM","686226","689422","0"
"4/30/2016, 11:59:00 PM","561542","670195","0"
"3/31/2016, 11:59:00 PM","660705","685723","0"
"2/29/2016, 11:59:00 PM","551562","660116","0"
"1/31/2016, 11:59:00 PM","331566","662348","0"
"12/31/2015, 11:59:00 PM","270642","642162","0"
"11/30/2015, 11:59:00 PM","282348","648758","0"
"10/31/2015, 11:59:00 PM","701711","699726","0"
"9/30/2015, 11:59:00 PM","795695","650730","0"
"8/31/2015, 11:59:00 PM","992042","687983","0"
"7/31/2015, 11:59:00 PM","1056104","700575","0"
"6/30/2015, 11:59:00 PM","946992","658503","0"
"5/31/2015, 11:59:00 PM","540921","706721","0"
"4/30/2015, 11:59:00 PM","467706","670733","0"
"3/31/2015, 11:59:00 PM","459634","691806","0"
"2/28/2015, 11:59:00 PM","283311","617279","0"
"1/31/2015, 11:59:00 PM","287351","649860","0"
"12/31/2014, 11:59:00 PM","267504","621058","0"
"11/30/2014, 11:59:00 PM","321327","606496","0"
"10/31/2014, 11:59:00 PM","660636","662107","0"
"9/30/2014, 11:59:00 PM","763275","608347","0"
"8/31/2014, 11:59:00 PM","963989","650723","0"
"7/31/2014, 11:59:00 PM","1207686","680489","0"
"6/30/2014, 11:59:00 PM","881094","591119","0"
"5/31/2014, 11:59:00 PM","844347","680224","0"
"4/30/2014, 11:59:00 PM","573374","690445","0"
"3/31/2014, 11:59:00 PM","363314","670880","0"
"2/28/2014, 11:59:00 PM","232256","631186","0"
"1/31/2014, 11:59:00 PM","253297","671741","0"
"12/31/2013, 11:59:00 PM","223582","633973","0"
"11/30/2013, 11:59:00 PM","256936","637614","0"
"10/31/2013, 11:59:00 PM","409858","600667","110"
"9/30/2013, 11:59:00 PM","679669","586271","0"
"8/31/2013, 11:59:00 PM","856864","611785","0"
"7/31/2013, 11:59:00 PM","984288","613859","0"
"6/30/2013, 11:59:00 PM","881205","597255","0"
"5/31/2013, 11:59:00 PM","624990","633179","338"
"4/30/2013, 11:59:00 PM","541413","609707","0"
"3/31/2013, 11:59:00 PM","334205","591468","0"
"2/28/2013, 11:59:00 PM","144150","578032",""
