"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","6607","31418.0176"
"11/30/2019, 11:59:00 PM","6570","19107.2148"
"10/31/2019, 11:59:00 PM","7932","11821.3975"
"9/30/2019, 11:59:00 PM","8448","3131.10864"
"8/31/2019, 11:59:00 PM","10421","1855.96191"
"7/31/2019, 11:59:00 PM","10293","2068.51685"
"6/30/2019, 11:59:00 PM","9533","2067.30249"
"5/31/2019, 11:59:00 PM","7849","9970.762"
"4/30/2019, 11:59:00 PM","8394","14548.4492"
"3/31/2019, 11:59:00 PM","7219","24919.38"
"2/28/2019, 11:59:00 PM","6340","30439.15"
"1/31/2019, 11:59:00 PM","6731","31753.7852"
"12/31/2018, 11:59:00 PM","6313","28646.9473"
"11/30/2018, 11:59:00 PM","6279","18090.4336"
"10/31/2018, 11:59:00 PM","7006","4080.75244"
"9/30/2018, 11:59:00 PM","7671","2371.46582"
"8/31/2018, 11:59:00 PM","8850","2140.20044"
"7/31/2018, 11:59:00 PM","10599","1620.428"
"6/30/2018, 11:59:00 PM","8685","2561.63354"
"5/31/2018, 11:59:00 PM","7795","4586.984"
"4/30/2018, 11:59:00 PM","7074","14057.4209"
"3/31/2018, 11:59:00 PM","6704","23461.0957"
"2/28/2018, 11:59:00 PM","6129","22447.4785"
"1/31/2018, 11:59:00 PM","6975","31101.9043"
"12/31/2017, 11:59:00 PM","6736","34818.83"
"11/30/2017, 11:59:00 PM","6424","18683.7051"
"10/31/2017, 11:59:00 PM","8190","7531.2417"
"9/30/2017, 11:59:00 PM","9673","3870.22144"
"8/31/2017, 11:59:00 PM","10392","2592.45"
"7/31/2017, 11:59:00 PM","9754","1965.04773"
"6/30/2017, 11:59:00 PM","8962","2300.27075"
"5/31/2017, 11:59:00 PM","9036","5755.60059"
"4/30/2017, 11:59:00 PM","7824","15231.3125"
"3/31/2017, 11:59:00 PM","8087","22784.5742"
"2/28/2017, 11:59:00 PM","6927","31109.9414"
"1/31/2017, 11:59:00 PM","7241","46668.1641"
"12/31/2016, 11:59:00 PM","7052","41032.19"
"11/30/2016, 11:59:00 PM","7393","25405.8535"
"10/31/2016, 11:59:00 PM","7849","13796.5732"
"9/30/2016, 11:59:00 PM","8457","2745.09058"
"8/31/2016, 11:59:00 PM","9067","680.2568"
"7/31/2016, 11:59:00 PM","10309","2524.88867"
"6/30/2016, 11:59:00 PM","9097","2150.547"
"5/31/2016, 11:59:00 PM","6471","4161.538"
"4/30/2016, 11:59:00 PM","5714","3788.23853"
"3/31/2016, 11:59:00 PM","6788","16818.81"
"2/29/2016, 11:59:00 PM","6148","20926.4336"
"1/31/2016, 11:59:00 PM","6427","33989.95"
"12/31/2015, 11:59:00 PM","6255","32462.877"
"11/30/2015, 11:59:00 PM","5578","19742.1133"
"10/31/2015, 11:59:00 PM","6388","1532.10229"
"9/30/2015, 11:59:00 PM","6570","899.2913"
"8/31/2015, 11:59:00 PM","7349","686.601868"
"7/31/2015, 11:59:00 PM","8152","694.612"
"6/30/2015, 11:59:00 PM","7591","1000.61664"
"5/31/2015, 11:59:00 PM","6175","5370.199"
"4/30/2015, 11:59:00 PM","6083","9971.502"
