"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","538800","1915190","3618404"
"11/30/2019, 11:59:00 PM","1232400","1934802","2711335"
"10/31/2019, 11:59:00 PM","2126400","2049759","1953877"
"9/30/2019, 11:59:00 PM","3196800","2019679","1569672"
"8/31/2019, 11:59:00 PM","4243200","2167309","1753105"
"7/31/2019, 11:59:00 PM","3904800","2163150","1828850"
"6/30/2019, 11:59:00 PM","3804000","2110005","1811511"
"5/31/2019, 11:59:00 PM","1906800","2110745","2256860"
"4/30/2019, 11:59:00 PM","1971600","2039390","2238608"
"3/31/2019, 11:59:00 PM","963600","2063117","2956824"
"2/28/2019, 11:59:00 PM","450000","1880292","3979849"
"1/31/2019, 11:59:00 PM","728400","2116286","3677778"
"12/31/2018, 11:59:00 PM","632400","2058569","3539800"
"11/30/2018, 11:59:00 PM","1341600","2121302","2853982"
"10/31/2018, 11:59:00 PM","2588400","2158022","2265073"
"9/30/2018, 11:59:00 PM","3099600","2069126","2054263"
"8/31/2018, 11:59:00 PM","3562800","2137488","2077990"
"7/31/2018, 11:59:00 PM","4414800","2141958","1989468"
"6/30/2018, 11:59:00 PM","3549600","2079054","1882694"
"5/31/2018, 11:59:00 PM","2442000","2130859","2276937"
"4/30/2018, 11:59:00 PM","1582800","2007300","2446681"
"3/31/2018, 11:59:00 PM","1082400","2042703","2990875"
"2/28/2018, 11:59:00 PM","936000","1843435","3002454"
"1/31/2018, 11:59:00 PM","601200","2040512","3135694"
"12/31/2017, 11:59:00 PM","694800","2060817","3445978"
"11/30/2017, 11:59:00 PM","1105200","1982174","2460370"
"10/31/2017, 11:59:00 PM","2580000","2107985","2103543"
"9/30/2017, 11:59:00 PM","4008000","2034712","1754017"
"8/31/2017, 11:59:00 PM","4560000","2196591","1727552"
"7/31/2017, 11:59:00 PM","4594800","2202487","1758580"
"6/30/2017, 11:59:00 PM","4050000","2117139","1756755"
"5/31/2017, 11:59:00 PM","2947200","2158186","1907334"
"4/30/2017, 11:59:00 PM","1146000","2086667","2308878"
"3/31/2017, 11:59:00 PM","1137600","2157162","2412002"
"2/28/2017, 11:59:00 PM","741600","1899024","2375498"
"1/31/2017, 11:59:00 PM","530400","2055102","3396697"
"12/31/2016, 11:59:00 PM","579600","2057934","3425900"
"11/30/2016, 11:59:00 PM","1194000","2012561","2228569"
"10/31/2016, 11:59:00 PM","1941600","2116709","1669764"
"9/30/2016, 11:59:00 PM","3024000","2059913","1289504"
"8/31/2016, 11:59:00 PM","3253200","2130262","1435520"
"7/31/2016, 11:59:00 PM","3664800","2131783","1392628"
"6/30/2016, 11:59:00 PM","3535200","2073991","1364337"
"5/31/2016, 11:59:00 PM","2572800","2106896","1573322"
"4/30/2016, 11:59:00 PM","1861200","2045726","1693786"
"3/31/2016, 11:59:00 PM","1142400","2067181","2089854"
"2/29/2016, 11:59:00 PM","1141200","1958932","2127271"
"1/31/2016, 11:59:00 PM","627600","2053799","3214177"
"12/31/2015, 11:59:00 PM","616800","2028700","3310000"
"11/30/2015, 11:59:00 PM","2743200","1976769","2602735"
"10/31/2015, 11:59:00 PM","8721600","2062370","1489363"
"9/30/2015, 11:59:00 PM","321600","2007791","1393540"
"8/31/2015, 11:59:00 PM","4688400","2093376","1411792"
"7/31/2015, 11:59:00 PM","7080038","2098606","1388065"
"6/30/2015, 11:59:00 PM","5241600","2067383","1378939"
"5/31/2015, 11:59:00 PM","1839600","2145005","1639030"
"4/30/2015, 11:59:00 PM","1891200","2055231","1742153"
"3/31/2015, 11:59:00 PM","1976400","2118908","1769531"
"2/28/2015, 11:59:00 PM","2036400","1880132","1922848"
"1/31/2015, 11:59:00 PM","2008800","2040763","2925796"
"12/31/2014, 11:59:00 PM","2264400","2051925","2549804"
"11/30/2014, 11:59:00 PM","2494800","2031109","2070689"
"10/31/2014, 11:59:00 PM","3772800","2252606","1891820"
"9/30/2014, 11:59:00 PM","4948800","2217494","1555070"
"8/31/2014, 11:59:00 PM","6007200","2354120","1676446"
"7/31/2014, 11:59:00 PM","6423600","2338605","2429341"
"6/30/2014, 11:59:00 PM","4394400","2204423","1441908"
"5/31/2014, 11:59:00 PM","4441200","2295837","1951139"
"4/30/2014, 11:59:00 PM","4653600","2155251","1975779"
"3/31/2014, 11:59:00 PM","3631200","2174907","2122708"
"2/28/2014, 11:59:00 PM","2462400","1962066","2262335"
"1/31/2014, 11:59:00 PM","2221200","2157866","2601823"
"12/31/2013, 11:59:00 PM","1614000","2158707","3487045"
"11/30/2013, 11:59:00 PM","2768400","2172741","2099893"
"10/31/2013, 11:59:00 PM","4726800","2202463","1813336"
"9/30/2013, 11:59:00 PM","8514000","2171828","1392177"
"8/31/2013, 11:59:00 PM","9931200","2234289","1328746"
"7/31/2013, 11:59:00 PM","10827600","2238891","1239311"
"6/30/2013, 11:59:00 PM","10384800","2159137","1271252"
"5/31/2013, 11:59:00 PM","7828800","2225321","912600"
"4/30/2013, 11:59:00 PM","6043200","2160477","1144400"
"3/31/2013, 11:59:00 PM","2202000","2201946","1493926"
"2/28/2013, 11:59:00 PM","1208400","1958064","2215793"
