"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","13242","260336","543545"
"11/30/2019, 11:59:00 PM","127539","257081","401035"
"10/31/2019, 11:59:00 PM","296705","280238","304717"
"9/30/2019, 11:59:00 PM","552185","259694","225960"
"8/31/2019, 11:59:00 PM","821933","269637","210633"
"7/31/2019, 11:59:00 PM","756474","269316","226416"
"6/30/2019, 11:59:00 PM","716231","269002","214644"
"5/31/2019, 11:59:00 PM","297129","277481","289385"
"4/30/2019, 11:59:00 PM","284092","269695","276609"
"3/31/2019, 11:59:00 PM","69117","270749","436405"
"2/28/2019, 11:59:00 PM","2223","253948","553218"
"1/31/2019, 11:59:00 PM","20961","273376","531580"
"12/31/2018, 11:59:00 PM","7372","264758","521625"
"11/30/2018, 11:59:00 PM","108585","269534","356644"
"10/31/2018, 11:59:00 PM","245389","281374","10039"
"9/30/2018, 11:59:00 PM","427410","258514","183433"
"8/31/2018, 11:59:00 PM","590078","271933","250965"
"7/31/2018, 11:59:00 PM","789415","274195","243664"
"6/30/2018, 11:59:00 PM","591471","268303","229063"
"5/31/2018, 11:59:00 PM","369554","278904","271042"
"4/30/2018, 11:59:00 PM","202731","257603","332186"
"3/31/2018, 11:59:00 PM","96189","259807","479115"
"2/28/2018, 11:59:00 PM","78289","243303","483126"
"1/31/2018, 11:59:00 PM","12713","271977","565812"
"12/31/2017, 11:59:00 PM","19045","261298","584298"
"11/30/2017, 11:59:00 PM","62869","253969","412495"
"10/31/2017, 11:59:00 PM","351225","272786","320323"
"9/30/2017, 11:59:00 PM","690146","267156","260091"
"8/31/2017, 11:59:00 PM","815665","282892","244577"
"7/31/2017, 11:59:00 PM","800922","290651","229975"
"6/30/2017, 11:59:00 PM","737930","282967","213548"
"5/31/2017, 11:59:00 PM","500973","292719","131414"
"4/30/2017, 11:59:00 PM","0","289061","304808"
"3/31/2017, 11:59:00 PM","0","287174","367778"
"2/28/2017, 11:59:00 PM","0","266883","405194"
"1/31/2017, 11:59:00 PM","0","288410","608704"
"12/31/2016, 11:59:00 PM","0","270203","559424"
"11/30/2016, 11:59:00 PM","99026","264447","327623"
"10/31/2016, 11:59:00 PM","240750","272844","235451"
"9/30/2016, 11:59:00 PM","522769","277860","202597"
"8/31/2016, 11:59:00 PM","643798","297932","177957"
"7/31/2016, 11:59:00 PM","757443","307022","218111"
"6/30/2016, 11:59:00 PM","706147","296885","208073"
"5/31/2016, 11:59:00 PM","487510","308762","268304"
"4/30/2016, 11:59:00 PM","316863","315381","291119"
"3/31/2016, 11:59:00 PM","167794","301082","387855"
"2/29/2016, 11:59:00 PM","225786","284199","414320"
"1/31/2016, 11:59:00 PM","32534","339398","559424"
"12/31/2015, 11:59:00 PM","31921","345898","626956"
"11/30/2015, 11:59:00 PM","106366","361068","490979"
"10/31/2015, 11:59:00 PM","580526","359041","271955"
"9/30/2015, 11:59:00 PM","687829","323809","255528"
"8/31/2015, 11:59:00 PM","856810","347383","271042"
"7/31/2015, 11:59:00 PM","940397","371762","282906"
"6/30/2015, 11:59:00 PM","839010","361725","271955"
"5/31/2015, 11:59:00 PM","395456","356281","315760"
"4/30/2015, 11:59:00 PM","342795","349650","349526"
"3/31/2015, 11:59:00 PM","340711","364334","355001"
"2/28/2015, 11:59:00 PM","141156","330133","384205"
"1/31/2015, 11:59:00 PM","57984","365860","572200"
"12/31/2014, 11:59:00 PM","66840","374204","481853"
"11/30/2014, 11:59:00 PM","142948","365188","398806"
"10/31/2014, 11:59:00 PM","545142","384180","283819"
"9/30/2014, 11:59:00 PM","716693","373515","228150"
"8/31/2014, 11:59:00 PM","876465","396319","237276"
"7/31/2014, 11:59:00 PM","932966","421566","208985"
"6/30/2014, 11:59:00 PM","820808","423562","227237"
"5/31/2014, 11:59:00 PM","704493","407821","261004"
"4/30/2014, 11:59:00 PM","438553","375201","333099"
"3/31/2014, 11:59:00 PM","279180","378991","368690"
"2/28/2014, 11:59:00 PM","116856","332220","405194"
"1/31/2014, 11:59:00 PM","116580","378743","462688"
"12/31/2013, 11:59:00 PM","54516","374945","641558"
"11/30/2013, 11:59:00 PM","170637","376795","370516"
"10/31/2013, 11:59:00 PM","392115","393599","276518"
"9/30/2013, 11:59:00 PM","658783","374829","209898"
"8/31/2013, 11:59:00 PM","823853","392493","209898"
"7/31/2013, 11:59:00 PM","999689","401194","227237"
"6/30/2013, 11:59:00 PM","905275","384959","219937"
"5/31/2013, 11:59:00 PM","637764","401384","254615"
"4/30/2013, 11:59:00 PM","472520","389534","279256"
"3/31/2013, 11:59:00 PM","249824","396652","318497"
"2/28/2013, 11:59:00 PM","91736","366443","464513"
