"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","2988","26704","19904"
"11/30/2019, 11:59:00 PM","31044","33554","16671"
"10/31/2019, 11:59:00 PM","71820","39498","17805"
"9/30/2019, 11:59:00 PM","73296","32903","20561"
"8/31/2019, 11:59:00 PM","78341","32546","23444"
"7/31/2019, 11:59:00 PM","117132","36825","31736"
"6/30/2019, 11:59:00 PM","129216","33793","29790"
"5/31/2019, 11:59:00 PM","71297","40335","56709"
"4/30/2019, 11:59:00 PM","93192","41176","47464"
"3/31/2019, 11:59:00 PM","17129","34302","58270"
"2/28/2019, 11:59:00 PM","4968","30577","55135"
"1/31/2019, 11:59:00 PM","7932","32853","26899"
"12/31/2018, 11:59:00 PM","2030","26284","23116"
"11/30/2018, 11:59:00 PM","27671","30657","21512"
"10/31/2018, 11:59:00 PM","105777","40333","19710"
"9/30/2018, 11:59:00 PM","77316","35550","17549"
"8/31/2018, 11:59:00 PM","88967","33739","19667"
"7/31/2018, 11:59:00 PM","109642","29727","17841"
"6/30/2018, 11:59:00 PM","96792","33614","17595"
"5/31/2018, 11:59:00 PM","85528","36179","18343"
"4/30/2018, 11:59:00 PM","57900","35293","20253"
"3/31/2018, 11:59:00 PM","15576","31002","27317"
"2/28/2018, 11:59:00 PM","18840","30280","27186"
"1/31/2018, 11:59:00 PM","5724","32109","30061"
"12/31/2017, 11:59:00 PM","7188","28844","35701"
"11/30/2017, 11:59:00 PM","26136","32645","20033"
"10/31/2017, 11:59:00 PM","96000","38678","18368"
"9/30/2017, 11:59:00 PM","101050","30687","17002"
"8/31/2017, 11:59:00 PM","93839","25471","17750"
"7/31/2017, 11:59:00 PM","90791","23842","18069"
"6/30/2017, 11:59:00 PM","107411","27193","17403"
"5/31/2017, 11:59:00 PM","101436","28776","19214"
"4/30/2017, 11:59:00 PM","44532","25304","19411"
"3/31/2017, 11:59:00 PM","30194","24853","21026"
"2/28/2017, 11:59:00 PM","9852","23996","24787"
"1/31/2017, 11:59:00 PM","2676","24961","53999"
"12/31/2016, 11:59:00 PM","2412","19051","45877"
"11/30/2016, 11:59:00 PM","27228","23892","24211"
"10/31/2016, 11:59:00 PM","63214","27449","18334"
"9/30/2016, 11:59:00 PM","85463","25983","16983"
"8/31/2016, 11:59:00 PM","78298","27262","17103"
"7/31/2016, 11:59:00 PM","91906","24698","16999"
"6/30/2016, 11:59:00 PM","95075","24065","15226"
"5/31/2016, 11:59:00 PM","56111","26141","16929"
"4/30/2016, 11:59:00 PM","29820","25701","16819"
"3/31/2016, 11:59:00 PM","24855","24912","19667"
"2/29/2016, 11:59:00 PM","21648","23526","23209"
"1/31/2016, 11:59:00 PM","3420","24083","38165"
"12/31/2015, 11:59:00 PM","2918","22301","42859"
"11/30/2015, 11:59:00 PM","12708","23088","25434"
"10/31/2015, 11:59:00 PM","104194","28767","16646"
"9/30/2015, 11:59:00 PM","77843","20553","15596"
"8/31/2015, 11:59:00 PM","77616","19388","16590"
"7/31/2015, 11:59:00 PM","86196","18370","15752"
"6/30/2015, 11:59:00 PM","99250","20560","15231"
"5/31/2015, 11:59:00 PM","71198","25241","15381"
"4/30/2015, 11:59:00 PM","53617","27023","18723"
"3/31/2015, 11:59:00 PM","39876","25250","18937"
"2/28/2015, 11:59:00 PM","14856","24400","25580"
"1/31/2015, 11:59:00 PM","5892","25367","48514"
"12/31/2014, 11:59:00 PM","3492","23532","24205"
"11/30/2014, 11:59:00 PM","15144","24401","24868"
"10/31/2014, 11:59:00 PM","85764","28381","18044"
"9/30/2014, 11:59:00 PM","52740","19084","12484"
"8/31/2014, 11:59:00 PM","24072","19728","3686"
"7/31/2014, 11:59:00 PM","114240","21444","19959"
"6/30/2014, 11:59:00 PM","101808","20580","14948"
"5/31/2014, 11:59:00 PM","108996","27189","18243"
"4/30/2014, 11:59:00 PM","68844","25365","25754"
"3/31/2014, 11:59:00 PM","38040","24802","36710"
"2/28/2014, 11:59:00 PM","15396","23399","37566"
"1/31/2014, 11:59:00 PM","16934","25236","54637"
"12/31/2013, 11:59:00 PM","3492","22143","85483"
"11/30/2013, 11:59:00 PM","15144","24295","39214"
"10/31/2013, 11:59:00 PM","23892","26766","24818"
"9/30/2013, 11:59:00 PM","32628","18616","23659"
"8/31/2013, 11:59:00 PM","44604","20067","23363"
"7/31/2013, 11:59:00 PM","91296","20522","21483"
"6/30/2013, 11:59:00 PM","93912","24234","20979"
"5/31/2013, 11:59:00 PM","75804","25158","20869"
"4/30/2013, 11:59:00 PM","61236","24392","27965"
"3/31/2013, 11:59:00 PM","38964","22125","45053"
"2/28/2013, 11:59:00 PM","14748","20398","60292"
