"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","105360","195608","82225"
"11/30/2019, 11:59:00 PM","127920","195843","16062"
"10/31/2019, 11:59:00 PM","236520","217186","63517"
"9/30/2019, 11:59:00 PM","410400","212728","13141"
"8/31/2019, 11:59:00 PM","607440","225488","1004"
"7/31/2019, 11:59:00 PM","585600","226913","6936"
"6/30/2019, 11:59:00 PM","532680","218802","34679"
"5/31/2019, 11:59:00 PM","269400","217943","71457"
"4/30/2019, 11:59:00 PM","259080","216343","77115"
"3/31/2019, 11:59:00 PM","137040","209942","444984"
"2/28/2019, 11:59:00 PM","116400","194738","637269"
"1/31/2019, 11:59:00 PM","176880","218033","604861"
"12/31/2018, 11:59:00 PM","157560","204566","566086"
"11/30/2018, 11:59:00 PM","161280","209315","229336"
"10/31/2018, 11:59:00 PM","344400","233202","51379"
"9/30/2018, 11:59:00 PM","456120","215636","91260"
"8/31/2018, 11:59:00 PM","577080","234129","226234"
"7/31/2018, 11:59:00 PM","634440","234897","167188"
"6/30/2018, 11:59:00 PM","480240","227089","174580"
"5/31/2018, 11:59:00 PM","367680","233094","240379"
"4/30/2018, 11:59:00 PM","264960","223114","337388"
"3/31/2018, 11:59:00 PM","204480","228192","492895"
"2/28/2018, 11:59:00 PM","137160","205804","486325"
"1/31/2018, 11:59:00 PM","80520","224599","540624"
"12/31/2017, 11:59:00 PM","47440","214480","540935"
"11/30/2017, 11:59:00 PM","125280","217971","416693"
"10/31/2017, 11:59:00 PM","287040","239347","273963"
"9/30/2017, 11:59:00 PM","501720","230250","175949"
"8/31/2017, 11:59:00 PM","637560","242450","175310"
"7/31/2017, 11:59:00 PM","626280","234278","159888"
"6/30/2017, 11:59:00 PM","632400","241379","221123"
"5/31/2017, 11:59:00 PM","424560","248126","297599"
"4/30/2017, 11:59:00 PM","211920","234826","383109"
"3/31/2017, 11:59:00 PM","195840","246114","484773"
"2/28/2017, 11:59:00 PM","159322","220584","581600"
"1/31/2017, 11:59:00 PM","145560","242048","834755"
"12/31/2016, 11:59:00 PM","186960","235177","877647"
"11/30/2016, 11:59:00 PM","236040","237707","556047"
"10/31/2016, 11:59:00 PM","291720","244617","357192"
"9/30/2016, 11:59:00 PM","434400","236995","205244"
"8/31/2016, 11:59:00 PM","515880","245879","209168"
"7/31/2016, 11:59:00 PM","603360","240651","183250"
"6/30/2016, 11:59:00 PM","576240","238433","158792"
"5/31/2016, 11:59:00 PM","379680","242481","200772"
"4/30/2016, 11:59:00 PM","263520","235924","312018"
"3/31/2016, 11:59:00 PM","196440","243243","474082"
"2/29/2016, 11:59:00 PM","153840","230232","454292"
"1/31/2016, 11:59:00 PM","106440","237102","528030"
"12/31/2015, 11:59:00 PM","109440","234231","650958"
"11/30/2015, 11:59:00 PM","113160","226242","510508"
"10/31/2015, 11:59:00 PM","369480","248673","126030"
"9/30/2015, 11:59:00 PM","462240","241946","80126"
"8/31/2015, 11:59:00 PM","577200","246403","69723"
"7/31/2015, 11:59:00 PM","661200","260433","65160"
"6/30/2015, 11:59:00 PM","588000","250015","84142"
"5/31/2015, 11:59:00 PM","283320","249141","139537"
"4/30/2015, 11:59:00 PM","246120","250070","156328"
"3/31/2015, 11:59:00 PM","227520","255577","158531"
"2/28/2015, 11:59:00 PM","154920","227568","309691"
"1/31/2015, 11:59:00 PM","141840","240588","387764"
"12/31/2014, 11:59:00 PM","231960","235631","379550"
"11/30/2014, 11:59:00 PM","228240","227423","259361"
"10/31/2014, 11:59:00 PM","519698","257751","135247"
"9/30/2014, 11:59:00 PM","535200","244158","103306"
"8/31/2014, 11:59:00 PM","598080","247462","97283"
"7/31/2014, 11:59:00 PM","653040","243020","77845"
"6/30/2014, 11:59:00 PM","256115","237965","98378"
"5/31/2014, 11:59:00 PM","458040","248383","147659"
"4/30/2014, 11:59:00 PM","312240","234194","192924"
"3/31/2014, 11:59:00 PM","242520","235936","258357"
"2/28/2014, 11:59:00 PM","179280","214949","326802"
"1/31/2014, 11:59:00 PM","163320","238036","362393"
"12/31/2013, 11:59:00 PM","121800","226821","445805"
"11/30/2013, 11:59:00 PM","218400","233701","243025"
"10/31/2013, 11:59:00 PM","275520","231713","145560"
"9/30/2013, 11:59:00 PM","401520","228985","77297"
"8/31/2013, 11:59:00 PM","474360","237264","77662"
"7/31/2013, 11:59:00 PM","541875","242337","86971"
"6/30/2013, 11:59:00 PM","511920","234383","90439"
"5/31/2013, 11:59:00 PM","318960","237543","159431"
"4/30/2013, 11:59:00 PM","253320","232047","173485"
"3/31/2013, 11:59:00 PM","154440","229539","263103"
"2/28/2013, 11:59:00 PM","91800","208394","389680"
