"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","6230","11050.6318"
"11/30/2019, 11:59:00 PM","6019","3882.87427"
"10/31/2019, 11:59:00 PM","7630","1043.04443"
"9/30/2019, 11:59:00 PM","8197","357.48172"
"8/31/2019, 11:59:00 PM","10123","348.814026"
"7/31/2019, 11:59:00 PM","9031","348.555176"
"6/30/2019, 11:59:00 PM","8844","376.622375"
"5/31/2019, 11:59:00 PM","6974","448.870331"
"4/30/2019, 11:59:00 PM","6562","1703.4364"
"3/31/2019, 11:59:00 PM","5667","9809.566"
"2/28/2019, 11:59:00 PM","6227","16085.7725"
"1/31/2019, 11:59:00 PM","6588","15331.0889"
"12/31/2018, 11:59:00 PM","5381","18088.6543"
"11/30/2018, 11:59:00 PM","4745","7818.07666"
"10/31/2018, 11:59:00 PM","5967","463.857056"
"9/30/2018, 11:59:00 PM","5736","372.091949"
"8/31/2018, 11:59:00 PM","7497","384.81665"
"7/31/2018, 11:59:00 PM","8584","357.479767"
"6/30/2018, 11:59:00 PM","7950","371.836884"
"5/31/2018, 11:59:00 PM","5993","411.945648"
"4/30/2018, 11:59:00 PM","5193","1982.87024"
"3/31/2018, 11:59:00 PM","5739","9747.122"
"2/28/2018, 11:59:00 PM","5279","12247.6738"
"1/31/2018, 11:59:00 PM","5662","14443.1328"
"12/31/2017, 11:59:00 PM","5245","20019.3"
"11/30/2017, 11:59:00 PM","5261","5143.29639"
"10/31/2017, 11:59:00 PM","5845","496.679382"
"9/30/2017, 11:59:00 PM","7281","345.641357"
"8/31/2017, 11:59:00 PM","8947","349.331879"
"7/31/2017, 11:59:00 PM","8386","349.989655"
"6/30/2017, 11:59:00 PM","8682","346.692474"
"5/31/2017, 11:59:00 PM","7858","486.438354"
"4/30/2017, 11:59:00 PM","5510","2458.20532"
"3/31/2017, 11:59:00 PM","5851","4091.791"
"2/28/2017, 11:59:00 PM","5544","9321.538"
"1/31/2017, 11:59:00 PM","6336","16494.8359"
"12/31/2016, 11:59:00 PM","5692","14950.6221"
"11/30/2016, 11:59:00 PM","5582","5764.57666"
"10/31/2016, 11:59:00 PM","5868",""
"9/30/2016, 11:59:00 PM","7930",""
"8/31/2016, 11:59:00 PM","9741",""
"7/31/2016, 11:59:00 PM","10111",""
"6/30/2016, 11:59:00 PM","9694",""
"5/31/2016, 11:59:00 PM","7204",""
"4/30/2016, 11:59:00 PM","5483",""
"3/31/2016, 11:59:00 PM","5521",""
"2/29/2016, 11:59:00 PM","5646",""
"1/31/2016, 11:59:00 PM","5828",""
"12/31/2015, 11:59:00 PM","5472",""
"11/30/2015, 11:59:00 PM","4788",""
"10/31/2015, 11:59:00 PM","6240",""
"9/30/2015, 11:59:00 PM","7283",""
"8/31/2015, 11:59:00 PM","8382",""
"7/31/2015, 11:59:00 PM","8731",""
"6/30/2015, 11:59:00 PM","7278",""
"3/31/2015, 11:59:00 PM","5156",""
"2/28/2015, 11:59:00 PM","5141",""
"1/31/2015, 11:59:00 PM","5870",""
"12/31/2014, 11:59:00 PM","4632",""
"11/30/2014, 11:59:00 PM","4559",""
"10/31/2014, 11:59:00 PM","5981",""
"9/30/2014, 11:59:00 PM","6815",""
"8/31/2014, 11:59:00 PM","7370",""
"7/31/2014, 11:59:00 PM","8827",""
"6/30/2014, 11:59:00 PM","7127",""
"5/31/2014, 11:59:00 PM","7157",""
"4/30/2014, 11:59:00 PM","6069",""
"3/31/2014, 11:59:00 PM","5889",""
"2/28/2014, 11:59:00 PM","7198",""
"1/31/2014, 11:59:00 PM","8471",""
"12/31/2013, 11:59:00 PM","7868",""
"11/30/2013, 11:59:00 PM","8330",""
"10/31/2013, 11:59:00 PM","8163",""
"9/30/2013, 11:59:00 PM","8144",""
"8/31/2013, 11:59:00 PM","9857",""
"7/31/2013, 11:59:00 PM","9169",""
"6/30/2013, 11:59:00 PM","7781",""
"5/31/2013, 11:59:00 PM","7052",""
"4/30/2013, 11:59:00 PM","6117",""
"3/31/2013, 11:59:00 PM","6428",""
"2/28/2013, 11:59:00 PM","5778",""
