"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","12548","304463","398441"
"11/30/2019, 11:59:00 PM","12548","289176","258266"
"10/31/2019, 11:59:00 PM","12548","307584","189448"
"9/30/2019, 11:59:00 PM","12548","291338","119186"
"8/31/2019, 11:59:00 PM","12548","309238","108052"
"7/31/2019, 11:59:00 PM","12548","313045","126395"
"6/30/2019, 11:59:00 PM","12548","301875","118821"
"5/31/2019, 11:59:00 PM","12548","301703","173942"
"4/30/2019, 11:59:00 PM","12548","298949","143461"
"3/31/2019, 11:59:00 PM","12548","312019","102485"
"2/28/2019, 11:59:00 PM","12548","294366","336202"
"1/31/2019, 11:59:00 PM","12548","314876","345875"
"12/31/2018, 11:59:00 PM","12548","304393","578680"
"11/30/2018, 11:59:00 PM","12548","286439","593190"
"10/31/2018, 11:59:00 PM","12548","288620","256258"
"9/30/2018, 11:59:00 PM","12548","261333","69358"
"8/31/2018, 11:59:00 PM","12548","280372","63061"
"7/31/2018, 11:59:00 PM","12548","291060","43987"
"6/30/2018, 11:59:00 PM","12548","277647","70544"
"5/31/2018, 11:59:00 PM","12548","284159","106643"
"4/30/2018, 11:59:00 PM","12548","277657","160253"
"3/31/2018, 11:59:00 PM","12548","308007","259452"
"2/28/2018, 11:59:00 PM","12548","288429","239831"
"1/31/2018, 11:59:00 PM","12548","325849","310832"
"12/31/2017, 11:59:00 PM","12548","317065","363854"
"11/30/2017, 11:59:00 PM","12548","289325","248957"
"10/31/2017, 11:59:00 PM","12548","295876","144008"
"9/30/2017, 11:59:00 PM","12548","291232","106592"
"8/31/2017, 11:59:00 PM","12548","303953","63882"
"7/31/2017, 11:59:00 PM","12548","293240","64065"
"6/30/2017, 11:59:00 PM","12548","278746","69631"
"5/31/2017, 11:59:00 PM","12548","300078","123749"
"4/30/2017, 11:59:00 PM","12548","303991","228606"
"3/31/2017, 11:59:00 PM","12548","324475","242387"
"2/28/2017, 11:59:00 PM","12548","298584","258722"
"1/31/2017, 11:59:00 PM","12548","333971","421439"
"12/31/2016, 11:59:00 PM","12548","315587","413225"
"11/30/2016, 11:59:00 PM","12548","292262","206065"
"10/31/2016, 11:59:00 PM","12548","305818","135612"
"9/30/2016, 11:59:00 PM","12548","287639","66437"
"8/31/2016, 11:59:00 PM","12548","293121","59045"
"7/31/2016, 11:59:00 PM","12548","288709","53661"
"6/30/2016, 11:59:00 PM","12548","279188","60232"
"5/31/2016, 11:59:00 PM","12548","300935","110242"
"4/30/2016, 11:59:00 PM","12548","291740","150031"
"3/31/2016, 11:59:00 PM","12548","325703",""
"2/29/2016, 11:59:00 PM","12548","321223",""
"1/31/2016, 11:59:00 PM","12548","348546",""
"12/31/2015, 11:59:00 PM","12548","348329",""
"11/30/2015, 11:59:00 PM","12548","334074",""
"10/31/2015, 11:59:00 PM","146864","300005",""
"9/30/2015, 11:59:00 PM","185610","185612",""
"8/31/2015, 11:59:00 PM","221433","221433",""
"7/31/2015, 11:59:00 PM","242690","242690",""
"6/30/2015, 11:59:00 PM","197381","197381",""
"5/31/2015, 11:59:00 PM","84950","84950",""
"4/30/2015, 11:59:00 PM","72803","72803",""
"3/31/2015, 11:59:00 PM","43805","43805",""
"2/28/2015, 11:59:00 PM","2124","2124",""
"1/31/2015, 11:59:00 PM","885","885",""
"12/31/2014, 11:59:00 PM","21147","21147",""
"11/30/2014, 11:59:00 PM","33520","33520",""
"10/31/2014, 11:59:00 PM","109331","109331",""
"9/30/2014, 11:59:00 PM","159010","159010",""
"8/31/2014, 11:59:00 PM","186216","186216",""
"7/31/2014, 11:59:00 PM","209615","209615",""
"6/30/2014, 11:59:00 PM","181608","181608",""
"5/31/2014, 11:59:00 PM","132872","132872",""
"4/30/2014, 11:59:00 PM","71693","48280.5",""
"3/31/2014, 11:59:00 PM","28018","28018",""
"2/28/2014, 11:59:00 PM","1162","1162",""
"1/31/2014, 11:59:00 PM","1361","1361",""
"12/31/2013, 11:59:00 PM","","1348",""
"11/30/2013, 11:59:00 PM","","30233",""
"10/31/2013, 11:59:00 PM","","68493",""
"9/30/2013, 11:59:00 PM","","145752",""
"8/31/2013, 11:59:00 PM","","192686",""
"7/31/2013, 11:59:00 PM","","224138",""
"6/30/2013, 11:59:00 PM","","189055",""
"5/31/2013, 11:59:00 PM","","123664",""
"4/30/2013, 11:59:00 PM","","91594",""
"3/31/2013, 11:59:00 PM","","12906",""
"2/28/2013, 11:59:00 PM","","4297",""
