"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","66840","183243","162808"
"11/30/2019, 11:59:00 PM","89040","185029","108782"
"10/31/2019, 11:59:00 PM","156600","209198","255345"
"9/30/2019, 11:59:00 PM","255960","225771","127764"
"8/31/2019, 11:59:00 PM","388320","267381","102759"
"7/31/2019, 11:59:00 PM","366600","261533","123201"
"6/30/2019, 11:59:00 PM","352560","256718","115809"
"5/31/2019, 11:59:00 PM","119160","223411","224043"
"4/30/2019, 11:59:00 PM","106080","216151","218203"
"3/31/2019, 11:59:00 PM","17400","193164","346605"
"2/28/2019, 11:59:00 PM","7080","174145","281628"
"1/31/2019, 11:59:00 PM","11640","188120","169734"
"12/31/2018, 11:59:00 PM","10800","180346","4900440"
"11/30/2018, 11:59:00 PM","41040","184540","22424"
"10/31/2018, 11:59:00 PM","159960","228968","12298"
"9/30/2018, 11:59:00 PM","211800","226939","9465"
"8/31/2018, 11:59:00 PM","295920","257486","0"
"7/31/2018, 11:59:00 PM","407880","279513","0"
"6/30/2018, 11:59:00 PM","318120","268587",""
"5/31/2018, 11:59:00 PM","190080","243743",""
"4/30/2018, 11:59:00 PM","121680","222502",""
"3/31/2018, 11:59:00 PM","64320","220261",""
"2/28/2018, 11:59:00 PM","65880","196371",""
"1/31/2018, 11:59:00 PM","52680","211844",""
"12/31/2017, 11:59:00 PM","47280","209522",""
"11/30/2017, 11:59:00 PM","69120","202335",""
"10/31/2017, 11:59:00 PM","","219414",""
"9/30/2017, 11:59:00 PM","","245577",""
"8/31/2017, 11:59:00 PM","","274772",""
"7/31/2017, 11:59:00 PM","","283585",""
"6/30/2017, 11:59:00 PM","","273066",""
"5/31/2017, 11:59:00 PM","","246425",""
"4/30/2017, 11:59:00 PM","","202651",""
"3/31/2017, 11:59:00 PM","","211467",""
"2/28/2017, 11:59:00 PM","","181704",""
"1/31/2017, 11:59:00 PM","","191302",""
"12/31/2016, 11:59:00 PM","","188992",""
"11/30/2016, 11:59:00 PM","","190098",""
"8/31/2016, 11:59:00 PM","","251375",""
"7/31/2016, 11:59:00 PM","","262430",""
"6/30/2016, 11:59:00 PM","","255308",""
"5/31/2016, 11:59:00 PM","","234037",""
"4/30/2016, 11:59:00 PM","","208695",""
"3/31/2016, 11:59:00 PM","","206645",""
"12/31/2014, 11:59:00 PM","","298725",""
"11/30/2014, 11:59:00 PM","","298725",""
"10/31/2014, 11:59:00 PM","","298725",""
"9/30/2014, 11:59:00 PM","","298725",""
"8/31/2014, 11:59:00 PM","","298725",""
"7/31/2014, 11:59:00 PM","","309349",""
"6/30/2014, 11:59:00 PM","","273470",""
"5/31/2014, 11:59:00 PM","","292065",""
"4/30/2014, 11:59:00 PM","","247670",""
"3/31/2014, 11:59:00 PM","","240649",""
"2/28/2014, 11:59:00 PM","","210564",""
"1/31/2014, 11:59:00 PM","","230809",""
"12/31/2013, 11:59:00 PM","","224046",""
"11/30/2013, 11:59:00 PM","","220473",""
"10/31/2013, 11:59:00 PM","","232253",""
"9/30/2013, 11:59:00 PM","","236977",""
"8/31/2013, 11:59:00 PM","","270889",""
"7/31/2013, 11:59:00 PM","","295804",""
"6/30/2013, 11:59:00 PM","","281575",""
"5/31/2013, 11:59:00 PM","","260991",""
"4/30/2013, 11:59:00 PM","","239798",""
"3/31/2013, 11:59:00 PM","","229073",""
"2/28/2013, 11:59:00 PM","","192499",""
