"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","16348","28924.35"
"11/30/2019, 11:59:00 PM","15113","13629.7393"
"10/31/2019, 11:59:00 PM","19387","8173.56348"
"9/30/2019, 11:59:00 PM","21556","3326.22144"
"8/31/2019, 11:59:00 PM","23579","3045.09863"
"7/31/2019, 11:59:00 PM","24394","3417.88818"
"6/30/2019, 11:59:00 PM","25547","3275.27173"
"5/31/2019, 11:59:00 PM","19067","6294.997"
"4/30/2019, 11:59:00 PM","19965","12531.5166"
"3/31/2019, 11:59:00 PM","19062","30798.0352"
"2/28/2019, 11:59:00 PM","15517","41680.7148"
"1/31/2019, 11:59:00 PM","16776","33526.875"
"12/31/2018, 11:59:00 PM","16723","25060.5625"
"11/30/2018, 11:59:00 PM","15277","15796.7334"
"10/31/2018, 11:59:00 PM","15706","4727.849"
"9/30/2018, 11:59:00 PM","17311","2995.69141"
"8/31/2018, 11:59:00 PM","25148","3198.55713"
"7/31/2018, 11:59:00 PM","29089","1889.11511"
"6/30/2018, 11:59:00 PM","33240","2414.90186"
"5/31/2018, 11:59:00 PM","24144","3810.89648"
"4/30/2018, 11:59:00 PM","15985","6949.073"
"3/31/2018, 11:59:00 PM","19150","22721.8672"
"2/28/2018, 11:59:00 PM","18400","24726.6914"
"1/31/2018, 11:59:00 PM","18070","31821.291"
"12/31/2017, 11:59:00 PM","15876","31495.3086"
"11/30/2017, 11:59:00 PM","13152","10019.3594"
"10/31/2017, 11:59:00 PM","17481","3725.35547"
"9/30/2017, 11:59:00 PM","22702","2614.003"
"8/31/2017, 11:59:00 PM","29439","2532.49438"
"7/31/2017, 11:59:00 PM","30426","2160.53857"
"6/30/2017, 11:59:00 PM","31541","2665.95239"
"5/31/2017, 11:59:00 PM","23852","3138.80127"
"4/30/2017, 11:59:00 PM","16671","6071.88965"
"3/31/2017, 11:59:00 PM","17787","10659.3867"
"2/28/2017, 11:59:00 PM","13567","18758.584"
"1/31/2017, 11:59:00 PM","17739","39234.4023"
"12/31/2016, 11:59:00 PM","17897","36917.3945"
"11/30/2016, 11:59:00 PM","16102","11069.9434"
"10/31/2016, 11:59:00 PM","17471","3223.97339"
"9/30/2016, 11:59:00 PM","24903","2706.65747"
"8/31/2016, 11:59:00 PM","29235","2879.16162"
"7/31/2016, 11:59:00 PM","32679","2411.90137"
"6/30/2016, 11:59:00 PM","25954","2629.53613"
"5/31/2016, 11:59:00 PM","20100","3077.96362"
"4/30/2016, 11:59:00 PM","18050","4896.22168"
"3/31/2016, 11:59:00 PM","18029","11349.91"
"2/29/2016, 11:59:00 PM","14195","15233.377"
"1/31/2016, 11:59:00 PM","14824","33550.43"
"12/31/2015, 11:59:00 PM","15023","39206.6875"
"11/30/2015, 11:59:00 PM","12876","22497.2324"
"10/31/2015, 11:59:00 PM","25210","4535.269"
"9/30/2015, 11:59:00 PM","31471","4247.48047"
"8/31/2015, 11:59:00 PM","28005","3960.91431"
"7/31/2015, 11:59:00 PM","32135","3830.50513"
"6/30/2015, 11:59:00 PM","32265","4307.71631"
"5/31/2015, 11:59:00 PM","25982","5764.08936"
"4/30/2015, 11:59:00 PM","19796","8889.446"
"3/31/2015, 11:59:00 PM","19622","9746.559"
"2/28/2015, 11:59:00 PM","14123","14533.9209"
"1/31/2015, 11:59:00 PM","15215","31399.207"
"12/31/2014, 11:59:00 PM","","28386.8223"
"11/30/2014, 11:59:00 PM","","15720.8193"
"10/31/2014, 11:59:00 PM","","8101.87646"
"9/30/2014, 11:59:00 PM","","6411.03174"
"8/31/2014, 11:59:00 PM","","6167.49854"
"7/31/2014, 11:59:00 PM","","5540.85"
"6/30/2014, 11:59:00 PM","","5388.9"
"5/31/2014, 11:59:00 PM","","7777.0376"
"4/30/2014, 11:59:00 PM","","10999.8"
"3/31/2014, 11:59:00 PM","","13738.1221"
"2/28/2014, 11:59:00 PM","","25522.9531"
"1/31/2014, 11:59:00 PM","","32418.9688"
"12/31/2013, 11:59:00 PM","","44315.7969"
"11/30/2013, 11:59:00 PM","","18629.1"
"10/31/2013, 11:59:00 PM","","8968.869"
"9/30/2013, 11:59:00 PM","","6205.413"
"8/31/2013, 11:59:00 PM","","5808.021"
"7/31/2013, 11:59:00 PM","","5258.92236"
"6/30/2013, 11:59:00 PM","","4903.32373"
"5/31/2013, 11:59:00 PM","","5714.053"
"4/30/2013, 11:59:00 PM","","7016.11865"
"3/31/2013, 11:59:00 PM","","10884.1211"
"2/28/2013, 11:59:00 PM","","26923.9316"
