"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","46536","596302","3937273"
"11/30/2019, 11:59:00 PM","200324","614092","2869669"
"10/31/2019, 11:59:00 PM","411468","651637","2069611"
"9/30/2019, 11:59:00 PM","807346","621782","1412446"
"8/31/2019, 11:59:00 PM","1261990","655464","1036305"
"7/31/2019, 11:59:00 PM","1181315","661285","1123889"
"6/30/2019, 11:59:00 PM","1159881","635412","1237177"
"5/31/2019, 11:59:00 PM","493350","668351","1984984"
"4/30/2019, 11:59:00 PM","472084","649527","1765702"
"3/31/2019, 11:59:00 PM","116956","645324","3007976"
"2/28/2019, 11:59:00 PM","12604","580768","4127233"
"1/31/2019, 11:59:00 PM","109430","642237","4736336"
"12/31/2018, 11:59:00 PM","15954","612747","4517404"
"11/30/2018, 11:59:00 PM","104822","602653","3395755"
"10/31/2018, 11:59:00 PM","329030","651564","2350144"
"9/30/2018, 11:59:00 PM","422251","611770","2019344"
"8/31/2018, 11:59:00 PM","523113","652555","1913216"
"7/31/2018, 11:59:00 PM","725471","654149","1810552"
"6/30/2018, 11:59:00 PM","549544","610156","1818446"
"5/31/2018, 11:59:00 PM","524010","649258","2306881"
"4/30/2018, 11:59:00 PM","348837","615228","2882119"
"3/31/2018, 11:59:00 PM","168567","626020","3904259"
"2/28/2018, 11:59:00 PM","118439","566242","3853321"
"1/31/2018, 11:59:00 PM","47746","622055","4335575"
"12/31/2017, 11:59:00 PM","60555","614523","4855849"
"11/30/2017, 11:59:00 PM","125808","593686","3238167"
"10/31/2017, 11:59:00 PM","533450","629923","2378353"
"9/30/2017, 11:59:00 PM","1054007","595545","1791780"
"8/31/2017, 11:59:00 PM","1205022","639855","1677834"
"7/31/2017, 11:59:00 PM","1260092","640029","1651944"
"6/30/2017, 11:59:00 PM","1127622","627737","1729897"
"5/31/2017, 11:59:00 PM","774102","647956","2082008"
"4/30/2017, 11:59:00 PM","311511","616129","2584885"
"3/31/2017, 11:59:00 PM","241943","629896","3025620"
"2/28/2017, 11:59:00 PM","87864","564969","3275850"
"1/31/2017, 11:59:00 PM","57128","616681","4963643"
"12/31/2016, 11:59:00 PM","61292","614621","5090500"
"11/30/2016, 11:59:00 PM","199309","623584","3189241"
"10/31/2016, 11:59:00 PM","434321","643756","2189624"
"9/30/2016, 11:59:00 PM","868241","625481","1775984"
"8/31/2016, 11:59:00 PM","978332","652262","1821536"
"7/31/2016, 11:59:00 PM","1164233","657209","1737711"
"6/30/2016, 11:59:00 PM","1082318","641497","1704066"
"5/31/2016, 11:59:00 PM","711000","660092","2090096"
"4/30/2016, 11:59:00 PM","441526","639566","2244007"
"3/31/2016, 11:59:00 PM","193857","644223","3065779"
"2/29/2016, 11:59:00 PM","185064","609878","3206435"
"1/31/2016, 11:59:00 PM","70183","630258","4359953"
"12/31/2015, 11:59:00 PM","76955","628995","3714434"
"11/30/2015, 11:59:00 PM","124124","633554","0"
"10/31/2015, 11:59:00 PM","759377","672345","0"
"9/30/2015, 11:59:00 PM","970466","635055","0"
"8/31/2015, 11:59:00 PM","1172205","664868","0"
"7/31/2015, 11:59:00 PM","923182","684760","0"
"6/30/2015, 11:59:00 PM","508046","658159","0"
"5/31/2015, 11:59:00 PM","232608","675315","0"
"4/30/2015, 11:59:00 PM","192684","658122","2028"
"3/31/2015, 11:59:00 PM","176281","669115","0"
"2/28/2015, 11:59:00 PM","65549","595614","0"
"1/31/2015, 11:59:00 PM","42308","639979","0"
"12/31/2014, 11:59:00 PM","43490","630504","0"
"11/30/2014, 11:59:00 PM","72258","617602","0"
"10/31/2014, 11:59:00 PM","302041","656521","0"
"9/30/2014, 11:59:00 PM","398902","630423","0"
"8/31/2014, 11:59:00 PM","475489","660837","0"
"7/31/2014, 11:59:00 PM","539244","653077","0"
"6/30/2014, 11:59:00 PM","408774","621350","0"
"5/31/2014, 11:59:00 PM","326812","660340","0"
"4/30/2014, 11:59:00 PM","187356","642193","0"
"3/31/2014, 11:59:00 PM","95456","651160","0"
"2/28/2014, 11:59:00 PM","39591","596057","0"
"1/31/2014, 11:59:00 PM","37986","649443","0"
"12/31/2013, 11:59:00 PM","24761","632127","0"
"11/30/2013, 11:59:00 PM","150312","756625","1014"
"10/31/2013, 11:59:00 PM","340185","544782","0"
"9/30/2013, 11:59:00 PM","616864","637088","0"
"8/31/2013, 11:59:00 PM","374784","661705","0"
"7/31/2013, 11:59:00 PM","417066","655534","0"
"6/30/2013, 11:59:00 PM","348051","640214","0"
"5/31/2013, 11:59:00 PM","235027","675798","0"
"4/30/2013, 11:59:00 PM","135580","640878","0"
"3/31/2013, 11:59:00 PM","55552","650617","0"
"2/28/2013, 11:59:00 PM","19510","598477","0"
