"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","110748","286028","0"
"11/30/2019, 11:59:00 PM","174752","316524","0"
"10/31/2019, 11:59:00 PM","210837","372700","0"
"9/30/2019, 11:59:00 PM","242058","352163","0"
"8/31/2019, 11:59:00 PM","305862","397228","0"
"7/31/2019, 11:59:00 PM","274969","254511","0"
"6/30/2019, 11:59:00 PM","261434","277959","51197"
"5/31/2019, 11:59:00 PM","181322","306067","101572"
"4/30/2019, 11:59:00 PM","178553","246913","104036"
"3/31/2019, 11:59:00 PM","149573","239744","140449"
"2/28/2019, 11:59:00 PM","69181","203007","211906"
"1/31/2019, 11:59:00 PM","121740","194658","207434"
"12/31/2018, 11:59:00 PM","114033","237721","193928"
"11/30/2018, 11:59:00 PM","142877","211462","149210"
"10/31/2018, 11:59:00 PM","177517","243804","91369"
"9/30/2018, 11:59:00 PM","194594","209538","80491"
"8/31/2018, 11:59:00 PM","253681","233272","83412"
"7/31/2018, 11:59:00 PM","288873","175534","74651"
"6/30/2018, 11:59:00 PM","221035","147265","74286"
"5/31/2018, 11:59:00 PM","122434","151056","77845"
"4/30/2018, 11:59:00 PM","76239","156795","111976"
"3/31/2018, 11:59:00 PM","76241","175878","14510"
"2/28/2018, 11:59:00 PM","69749","152163","55613"
"1/31/2018, 11:59:00 PM","50527","217599","106683"
"12/31/2017, 11:59:00 PM","69871","246445","158273"
"11/30/2017, 11:59:00 PM","57211","223940","128188"
"10/31/2017, 11:59:00 PM","142421","235353",""
"9/30/2017, 11:59:00 PM","185876","252740",""
"8/31/2017, 11:59:00 PM","217084","296955",""
"7/31/2017, 11:59:00 PM","203188","200022",""
"6/30/2017, 11:59:00 PM","216694","323249",""
"5/31/2017, 11:59:00 PM","159760","271184",""
"4/30/2017, 11:59:00 PM","105021","221529",""
"3/31/2017, 11:59:00 PM","115083","306578",""
"2/28/2017, 11:59:00 PM","62067","253484",""
"1/31/2017, 11:59:00 PM","36373","278866",""
"12/31/2016, 11:59:00 PM","35352","273871",""
"11/30/2016, 11:59:00 PM","","266025",""
"10/31/2016, 11:59:00 PM","","270005",""
"9/30/2016, 11:59:00 PM","","287918",""
"8/31/2016, 11:59:00 PM","","311340",""
"7/31/2016, 11:59:00 PM","","242735",""
"6/30/2016, 11:59:00 PM","","310437",""
"5/31/2016, 11:59:00 PM","","292944",""
"4/30/2016, 11:59:00 PM","","232344",""
"3/31/2016, 11:59:00 PM","","257475",""
"2/29/2016, 11:59:00 PM","","237777",""
"1/31/2016, 11:59:00 PM","","245430",""
"12/31/2015, 11:59:00 PM","","280584",""
