"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","1334115","1890084","2184947"
"11/30/2019, 11:59:00 PM","1704094","1974047","1775958"
"10/31/2019, 11:59:00 PM","2373132","2053533","1455049"
"9/30/2019, 11:59:00 PM","3240378","1961163","1048669"
"8/31/2019, 11:59:00 PM","3974925","2012152","857575"
"7/31/2019, 11:59:00 PM","3751540","2025036","950655"
"6/30/2019, 11:59:00 PM","3500489","1969789","879381"
"5/31/2019, 11:59:00 PM","2369340","2038247","1377113"
"4/30/2019, 11:59:00 PM","2315563","1994355","1377631"
"3/31/2019, 11:59:00 PM","1550355","2090218","1911349"
"2/28/2019, 11:59:00 PM","1106931","1904497","95503.75"
"1/31/2019, 11:59:00 PM","1232258","2077335","28291"
"12/31/2018, 11:59:00 PM","1124898","2058228","26465"
"11/30/2018, 11:59:00 PM","1702435","2046327","57494"
"10/31/2018, 11:59:00 PM","2855528","2134329","54756"
"9/30/2018, 11:59:00 PM","3144584","2031587","52931"
"8/31/2018, 11:59:00 PM","3742831","2100591","61144"
"7/31/2018, 11:59:00 PM","4139167","2084759","59319"
"6/30/2018, 11:59:00 PM","3361170","1959853","100386"
"5/31/2018, 11:59:00 PM","2798063","2048619","148754"
"4/30/2018, 11:59:00 PM","2146641","2012698","121376"
"3/31/2018, 11:59:00 PM","1709068","2035190","107687"
"2/28/2018, 11:59:00 PM","1517734","1850014","82134"
"1/31/2018, 11:59:00 PM","1416676","2029621","83047"
"12/31/2017, 11:59:00 PM","1337306","2037264","89435"
"11/30/2017, 11:59:00 PM","21215","1949590","102211"
"10/31/2017, 11:59:00 PM","","2056590","171569"
"9/30/2017, 11:59:00 PM","","1991189","111337"
"8/31/2017, 11:59:00 PM","","2038902","65707"
"7/31/2017, 11:59:00 PM","","2027219","90347"
"6/30/2017, 11:59:00 PM","","1962582","96736"
"5/31/2017, 11:59:00 PM","","2036937","244577"
"4/30/2017, 11:59:00 PM","","1960399","257353"
"3/31/2017, 11:59:00 PM","","2024162","167006"
"2/28/2017, 11:59:00 PM","","1853180","183433"
"1/31/2017, 11:59:00 PM","","2025909","423446"
"12/31/2016, 11:59:00 PM","","2023835","190733"
"11/30/2016, 11:59:00 PM","","1952756",""
"10/31/2016, 11:59:00 PM","","2004946",""
"9/30/2016, 11:59:00 PM","","1899365",""
"8/31/2016, 11:59:00 PM","","1921857",""
"7/31/2016, 11:59:00 PM","","1988022",""
"6/30/2016, 11:59:00 PM","","1946205",""
"5/31/2016, 11:59:00 PM","","2027329",""
"4/30/2016, 11:59:00 PM","","1960071",""
"3/31/2016, 11:59:00 PM","","2046217",""
"2/29/2016, 11:59:00 PM","","1770077",""
"1/31/2016, 11:59:00 PM","","2024421",""
"12/31/2015, 11:59:00 PM","","2045972",""
"11/30/2015, 11:59:00 PM","","2026810",""
"10/31/2015, 11:59:00 PM","","2024917",""
"9/30/2015, 11:59:00 PM","","1979534",""
"8/31/2015, 11:59:00 PM","","1987821",""
"7/31/2015, 11:59:00 PM","","1991905",""
"6/30/2015, 11:59:00 PM","","1986187",""
"5/31/2015, 11:59:00 PM","","1953894",""
"4/30/2015, 11:59:00 PM","","1959166",""
"3/31/2015, 11:59:00 PM","","1956876",""
"2/28/2015, 11:59:00 PM","","1964807",""
"1/31/2015, 11:59:00 PM","","1983895",""
"12/31/2014, 11:59:00 PM","","1975898",""
"11/30/2014, 11:59:00 PM","","1966753",""
"10/31/2014, 11:59:00 PM","","1964907",""
"9/30/2014, 11:59:00 PM","","1977632",""
"8/31/2014, 11:59:00 PM","","2290107",""
"7/31/2014, 11:59:00 PM","","2413447",""
"6/30/2014, 11:59:00 PM","","2118464",""
"5/31/2014, 11:59:00 PM","","2318873",""
"4/30/2014, 11:59:00 PM","","2218114",""
"3/31/2014, 11:59:00 PM","","2316270",""
"2/28/2014, 11:59:00 PM","","2112506",""
"1/31/2014, 11:59:00 PM","","2332143",""
"12/31/2013, 11:59:00 PM","","2285590",""
"11/30/2013, 11:59:00 PM","","2275422",""
"10/31/2013, 11:59:00 PM","","2303086",""
"9/30/2013, 11:59:00 PM","","2221676",""
"8/31/2013, 11:59:00 PM","","2298487",""
"7/31/2013, 11:59:00 PM","","2199116",""
"6/30/2013, 11:59:00 PM","","2136130",""
"5/31/2013, 11:59:00 PM","","2247607",""
"4/30/2013, 11:59:00 PM","","2176401",""
"3/31/2013, 11:59:00 PM","","2242789",""
"2/28/2013, 11:59:00 PM","","2041645",""
