"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","7080","1491385","1490385"
"11/30/2019, 11:59:00 PM","","1588600",""
"10/31/2019, 11:59:00 PM","","1132798",""
"9/30/2019, 11:59:00 PM","1159440","1444770","604871"
"8/31/2019, 11:59:00 PM","1717440","1493569","584320"
"7/31/2019, 11:59:00 PM","1520640","1425022","584612"
"6/30/2019, 11:59:00 PM","1461240","1317332","567929"
"5/31/2019, 11:59:00 PM","524520","1404652","755633"
"4/30/2019, 11:59:00 PM","534600","1436984","699672"
"3/31/2019, 11:59:00 PM","106560","1567732","1143670"
"2/28/2019, 11:59:00 PM","0","1391291","1501044"
"1/31/2019, 11:59:00 PM","18240","1318793","1377040"
"12/31/2018, 11:59:00 PM","3456","1285273","1484838"
"11/30/2018, 11:59:00 PM","192288","1270642","1046570"
"10/31/2018, 11:59:00 PM","590304","1391598","514414"
"9/30/2018, 11:59:00 PM","0","1280646","0"
"8/31/2018, 11:59:00 PM","25056","1321379","3312226"
"7/31/2018, 11:59:00 PM","141600","1320635","4364434"
"6/30/2018, 11:59:00 PM","755040","1261539","4101393"
"5/31/2018, 11:59:00 PM","612864","1307328","4727814"
"4/30/2018, 11:59:00 PM","307200","1244452","4637286"
"3/31/2018, 11:59:00 PM","138720","1259533","5021774"
"2/28/2018, 11:59:00 PM","101376","1120958","4484735"
"1/31/2018, 11:59:00 PM","6240","1265456","5080423"
"12/31/2017, 11:59:00 PM","8309","1263784","5056340"
"11/30/2017, 11:59:00 PM","54240","1258516","3733371"
"10/31/2017, 11:59:00 PM","563712","1343571","3316410"
"9/30/2017, 11:59:00 PM","1334208","1308836","2765543"
"8/31/2017, 11:59:00 PM","1498368","1356693","3265812"
"7/31/2017, 11:59:00 PM","1494048","1369979","2508682"
"6/30/2017, 11:59:00 PM","1136225","1344151","1267650"
"5/31/2017, 11:59:00 PM","120","1359122","727845"
"4/30/2017, 11:59:00 PM","409208","1365892","855460"
"3/31/2017, 11:59:00 PM","742428","1351957","985419"
"2/28/2017, 11:59:00 PM","75000","1224703","1063095"
"1/31/2017, 11:59:00 PM","4320","1338698","1479950"
"12/31/2016, 11:59:00 PM","104023","1318683","1604418"
"11/30/2016, 11:59:00 PM","737143","1298341","1064143"
"10/31/2016, 11:59:00 PM","1814196","1380639","765221"
"9/30/2016, 11:59:00 PM","3934632","1319980","682021"
"8/31/2016, 11:59:00 PM","4499056","1408426","683704"
"7/31/2016, 11:59:00 PM","6200143","1369406","653560"
"6/30/2016, 11:59:00 PM","6674810","1340391","637200"
"5/31/2016, 11:59:00 PM","7187359","1384221","732533"
"4/30/2016, 11:59:00 PM","5460490","1326517","776882"
"3/31/2016, 11:59:00 PM","2179216","1341858","963705"
"2/29/2016, 11:59:00 PM","2005174","1276927","684241"
"1/31/2016, 11:59:00 PM","333240","1395385","0"
"12/31/2015, 11:59:00 PM","342000","1359129","0"
"11/30/2015, 11:59:00 PM","1056563","1331901","0"
"10/31/2015, 11:59:00 PM","965592","1384924","0"
"8/31/2014, 11:59:00 PM","1717703","1514724",""
"7/31/2014, 11:59:00 PM","1801716","1609802",""
"6/30/2014, 11:59:00 PM","1485932","1366489",""
"5/31/2014, 11:59:00 PM","1225668","1425151",""
"4/30/2014, 11:59:00 PM","735342","1362995",""
"3/31/2014, 11:59:00 PM","451026","1406041",""
"2/28/2014, 11:59:00 PM","193350","1260263",""
"1/31/2014, 11:59:00 PM","186396","1382631",""
"12/31/2013, 11:59:00 PM","68460","1348622",""
"11/30/2013, 11:59:00 PM","291119","1357611",""
"10/31/2013, 11:59:00 PM","706649","1431672",""
"9/30/2013, 11:59:00 PM","1264633","1356685",""
"8/31/2013, 11:59:00 PM","1548668","1412977",""
"7/31/2013, 11:59:00 PM","1729536","1415569",""
"6/30/2013, 11:59:00 PM","1650082","1348973",""
"5/31/2013, 11:59:00 PM","1195494","1385705",""
"4/30/2013, 11:59:00 PM","879200","1352324",""
"3/31/2013, 11:59:00 PM","474643","1343142",""
"2/28/2013, 11:59:00 PM","155483","1206624",""
