"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","82692","168587","0"
"11/30/2019, 11:59:00 PM","137916","173055","0"
"10/31/2019, 11:59:00 PM","194062","189088","0"
"9/30/2019, 11:59:00 PM","250969","170607","0"
"8/31/2019, 11:59:00 PM","330422","176372","0"
"7/31/2019, 11:59:00 PM","322718","175970","0"
"6/30/2019, 11:59:00 PM","336718","174621","30298"
"5/31/2019, 11:59:00 PM","190622","189698","27561"
"4/30/2019, 11:59:00 PM","169196","184646","26465"
"3/31/2019, 11:59:00 PM","95648","182420","70179"
"2/28/2019, 11:59:00 PM","74298","173240","172481"
"1/31/2019, 11:59:00 PM","82708","184548","156785"
"12/31/2018, 11:59:00 PM","90857","167131","158792"
"11/30/2018, 11:59:00 PM","122016","169267","100021"
"10/31/2018, 11:59:00 PM","212272","191711","25462"
"9/30/2018, 11:59:00 PM","224737","166587","14967"
"8/31/2018, 11:59:00 PM","271612","174448","13689"
"7/31/2018, 11:59:00 PM","367940","174904","28199"
"6/30/2018, 11:59:00 PM","316860","177526","39333"
"5/31/2018, 11:59:00 PM","278055","190691","76750"
"4/30/2018, 11:59:00 PM","161799","182130","64612"
"3/31/2018, 11:59:00 PM","103154","187671","98196"
"2/28/2018, 11:59:00 PM","95279","174758","114349"
"1/31/2018, 11:59:00 PM","79919","189113","160070"
"12/31/2017, 11:59:00 PM","77225","184480","69340"
"11/30/2017, 11:59:00 PM","83921","185207","27834"
"10/31/2017, 11:59:00 PM","219569","194678","20625"
"9/30/2017, 11:59:00 PM","290406","172333","17431"
"8/31/2017, 11:59:00 PM","354056","182791","18708"
"7/31/2017, 11:59:00 PM","352655","176825","22998"
"6/30/2017, 11:59:00 PM","347624","181022","28747"
"5/31/2017, 11:59:00 PM","329539","198761","89252"
"4/30/2017, 11:59:00 PM","260834","187364","179143"
"3/31/2017, 11:59:00 PM","220991","196034","182885"
"2/28/2017, 11:59:00 PM","99127","176877","154412"
"1/31/2017, 11:59:00 PM","87478","182808","317676"
"12/31/2016, 11:59:00 PM","92828","173588","254159"
"11/30/2016, 11:59:00 PM","146824","186204","127855"
"10/31/2016, 11:59:00 PM","205528","195369","69358"
"9/30/2016, 11:59:00 PM","278016","173696","46178"
"8/31/2016, 11:59:00 PM","302648","173449","35135"
"7/31/2016, 11:59:00 PM","323753","171067","24731"
"6/30/2016, 11:59:00 PM","317328","176625","25188"
"5/31/2016, 11:59:00 PM","172780","193196","36048"
"4/30/2016, 11:59:00 PM","92534","189593","45630"
"3/31/2016, 11:59:00 PM","64230","195514","100112"
"2/29/2016, 11:59:00 PM","58861","182620","105132"
"1/31/2016, 11:59:00 PM","45603","191024","180512"
"12/31/2015, 11:59:00 PM","46999","180991","216377"
"11/30/2015, 11:59:00 PM","51430","186061","139537"
"10/31/2015, 11:59:00 PM","125270","197874","40702"
"9/30/2015, 11:59:00 PM","149950","182238","46451"
"8/31/2015, 11:59:00 PM","168922","185259","39881"
"7/31/2015, 11:59:00 PM","193686","187117","47273"
"6/30/2015, 11:59:00 PM","170935","185650","42710"
"5/31/2015, 11:59:00 PM","109887","196066","60962"
"4/30/2015, 11:59:00 PM","96935","194472","73191"
"3/31/2015, 11:59:00 PM","92070","197353","68354"
"2/28/2015, 11:59:00 PM","57818","180298","72917"
"1/31/2015, 11:59:00 PM","50687","196684","172208"
"12/31/2014, 11:59:00 PM","89767","197652","178231"
"11/30/2014, 11:59:00 PM","125046","191393","87336"
"10/31/2014, 11:59:00 PM","244357","205171","38968"
"9/30/2014, 11:59:00 PM","298726","180870","27469"
"8/31/2014, 11:59:00 PM","318724","182108","29021"
"7/31/2014, 11:59:00 PM","366648","181952","28199"
"6/30/2014, 11:59:00 PM","321722","180232","29294"
"5/31/2014, 11:59:00 PM","318944","196400","52657"
"4/30/2014, 11:59:00 PM","293880","196601","66072"
"3/31/2014, 11:59:00 PM","221738","202169","50102"
"2/28/2014, 11:59:00 PM","148111","187906","37052"
"1/31/2014, 11:59:00 PM","153182","203176","39972"
"12/31/2013, 11:59:00 PM","113432","196793","56125"
"11/30/2013, 11:59:00 PM","157860","202477","31667"
"10/31/2013, 11:59:00 PM","234182","210073","20990"
"9/30/2013, 11:59:00 PM","252781","189199","16153"
"8/31/2013, 11:59:00 PM","228768","196041","22085"
"7/31/2013, 11:59:00 PM","346549","204687","21264"
"6/30/2013, 11:59:00 PM","323915","200722","20077"
"5/31/2013, 11:59:00 PM","260631","213551","28564"
"4/30/2013, 11:59:00 PM","204001","205976","61692"
"3/31/2013, 11:59:00 PM","136803","207735","81404"
"2/28/2013, 11:59:00 PM","91375","196674","145286"
