"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","665880","1762441","4254541"
"11/30/2019, 11:59:00 PM","806640","1728714","2844574"
"10/31/2019, 11:59:00 PM","1344600","1814672","2182027"
"9/30/2019, 11:59:00 PM","1983960","1768214","1101508"
"8/31/2019, 11:59:00 PM","2735160","1848134","1039451"
"7/31/2019, 11:59:00 PM","2871836","1811383","1840714"
"6/30/2019, 11:59:00 PM","2854200","1634604","1939275"
"5/31/2019, 11:59:00 PM","2249120","1725786","3297224"
"4/30/2019, 11:59:00 PM","2229960","1720631","3212352"
"3/31/2019, 11:59:00 PM","1618900","1755924","3323689"
"2/28/2019, 11:59:00 PM","989760","1424704","4534709"
"1/31/2019, 11:59:00 PM","1020360","1458784","4750083"
"12/31/2018, 11:59:00 PM","1025017","1629459","4908875"
"11/30/2018, 11:59:00 PM","1238760","1753123","3643099"
"10/31/2018, 11:59:00 PM","2422080","1833157","3048084"
"9/30/2018, 11:59:00 PM","2781505","1746340","2766091"
"8/31/2018, 11:59:00 PM","3171504","1790865","2683957"
"7/31/2018, 11:59:00 PM","3469820","1781775","2401963"
"6/30/2018, 11:59:00 PM","3036554","1650047","2739625"
"5/31/2018, 11:59:00 PM","2701080","1760589","3586518"
"4/30/2018, 11:59:00 PM","2248080","562219.3","4037342"
"3/31/2018, 11:59:00 PM","1805640","1768231","4950855"
"2/28/2018, 11:59:00 PM","1818600","1389298","4719967"
"1/31/2018, 11:59:00 PM","1684320","1414093","5489735"
"12/31/2017, 11:59:00 PM","2141382","1499339","5709190"
"11/30/2017, 11:59:00 PM","1937584","1321123","4524242"
"10/31/2017, 11:59:00 PM","2778360","1716069","3592906"
"9/30/2017, 11:59:00 PM","3411457","1741901","2646540"
"8/31/2017, 11:59:00 PM","3773160","1838092","2456719"
"7/31/2017, 11:59:00 PM","3577379","1795531","2569882"
"6/30/2017, 11:59:00 PM","3435480","1717980","2568969"
"5/31/2017, 11:59:00 PM","3059973","1685600","3262545"
"4/30/2017, 11:59:00 PM","2264520","1590545","4036430"
"3/31/2017, 11:59:00 PM","2122560","1668509","4432498"
"2/28/2017, 11:59:00 PM","1538760","1397301","4486051"
"1/31/2017, 11:59:00 PM","1298640","1608659","5695537"
"12/31/2016, 11:59:00 PM","1278960","1744574","5556821"
"11/30/2016, 11:59:00 PM","1914648","1737457","4003030"
"10/31/2016, 11:59:00 PM","2594121","1839510","3449628"
"9/30/2016, 11:59:00 PM","3051161","1798083","2533378"
"8/31/2016, 11:59:00 PM","3063665","1818866","2141872"
"7/31/2016, 11:59:00 PM","3604445","1838532","2594522"
"6/30/2016, 11:59:00 PM","3375891","1845533","2644715"
"5/31/2016, 11:59:00 PM","2847826","1869127","3194100"
"4/30/2016, 11:59:00 PM","2312640","1634920","3224216"
"3/31/2016, 11:59:00 PM","2092902","1816330","3631235"
"2/29/2016, 11:59:00 PM","1874280","1473560","3880375"
"1/31/2016, 11:59:00 PM","1505880","1671054","4752821"
"12/31/2015, 11:59:00 PM","1474200","1830477","5037552"
"11/30/2015, 11:59:00 PM","1700982","1664534","4464439"
"10/31/2015, 11:59:00 PM","3144674","1893923","3527199"
"9/30/2015, 11:59:00 PM","3194132","1830251","2832710"
"8/31/2015, 11:59:00 PM","3409316","1912563","2334431"
"7/31/2015, 11:59:00 PM","3477311","1944234","2836361"
"6/30/2015, 11:59:00 PM","3334560","1875832","2856438"
"5/31/2015, 11:59:00 PM","2596536","1902516","4237934"
"4/30/2015, 11:59:00 PM","2312497","1817216","4289220"
"3/31/2015, 11:59:00 PM","2469967","1823672","4028216"
"2/28/2015, 11:59:00 PM","1901040","1639268","4583944"
"1/31/2015, 11:59:00 PM","1567732","1832237","5368826"
"12/31/2014, 11:59:00 PM","1745619","1827086","4004332"
"11/30/2014, 11:59:00 PM","1815720","1785837","3638536"
"10/31/2014, 11:59:00 PM","2657547","1838824","3298136"
"9/30/2014, 11:59:00 PM","2966760","1801404","8249034"
"8/31/2014, 11:59:00 PM","3181407","1867875","5879882"
"7/31/2014, 11:59:00 PM","3666360","1874085","11236844"
"6/30/2014, 11:59:00 PM","2627760","1719315","4582165"
"5/31/2014, 11:59:00 PM","2850912","1826124","3679603"
"4/30/2014, 11:59:00 PM","2461857","1211385.5","3694205"
"3/31/2014, 11:59:00 PM","2333741","1794214","4382305"
"2/28/2014, 11:59:00 PM","1877167","944754.8","4157806"
"1/31/2014, 11:59:00 PM","2087213","965822.75","5087745"
"12/31/2013, 11:59:00 PM","1238160","1815002","5842465"
"11/30/2013, 11:59:00 PM","1565400","1725367","10274963"
"10/31/2013, 11:59:00 PM","1857659","1893199","9399317"
"9/30/2013, 11:59:00 PM","2422769","1880721","7016069"
"8/31/2013, 11:59:00 PM","2962080","1920254","8939830"
"7/31/2013, 11:59:00 PM","3419299","1992034","12639510"
"6/30/2013, 11:59:00 PM","3140640","1927867","3272584"
"5/31/2013, 11:59:00 PM","2715760","1992653","6701222"
"4/30/2013, 11:59:00 PM","2348760","1929872","6713086"
"3/31/2013, 11:59:00 PM","2018623","1960954","4790237"
"2/28/2013, 11:59:00 PM","1527180","1783374","10121647"
