"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","6684","207881","354454"
"11/30/2019, 11:59:00 PM","28083","218270","151765"
"10/31/2019, 11:59:00 PM","77232","243037","9126"
"9/30/2019, 11:59:00 PM","151464","227686","7757"
"8/31/2019, 11:59:00 PM","201814","239013","12411"
"7/31/2019, 11:59:00 PM","178392","236813","13324"
"6/30/2019, 11:59:00 PM","165480","222849","5658"
"5/31/2019, 11:59:00 PM","74772","233280","27469"
"4/30/2019, 11:59:00 PM","73932","226850","179052"
"3/31/2019, 11:59:00 PM","10488","221507","265019"
"2/28/2019, 11:59:00 PM","5426","207042","367869"
"1/31/2019, 11:59:00 PM","4212","232220","343776"
"12/31/2018, 11:59:00 PM","2256","204543","341586"
"11/30/2018, 11:59:00 PM","33472","202800","234082"
"10/31/2018, 11:59:00 PM","97223","242116","168831"
"9/30/2018, 11:59:00 PM","120264","223780","147750"
"8/31/2018, 11:59:00 PM","158609","242890","155872"
"7/31/2018, 11:59:00 PM","190548","233172","120737"
"6/30/2018, 11:59:00 PM","140551","219469","112159"
"5/31/2018, 11:59:00 PM","96216","223096","196483"
"4/30/2018, 11:59:00 PM","45312","221307","241839"
"3/31/2018, 11:59:00 PM","16824","218985","361937"
"2/28/2018, 11:59:00 PM","17160","204778","351260"
"1/31/2018, 11:59:00 PM","1536","225242","425545"
"12/31/2017, 11:59:00 PM","2928","201151","494173"
"11/30/2017, 11:59:00 PM","8520","204475","325433"
"10/31/2017, 11:59:00 PM","82106","228431","266780"
"9/30/2017, 11:59:00 PM","158840","216740","236637"
"8/31/2017, 11:59:00 PM","211343","242724","161986"
"7/31/2017, 11:59:00 PM","256633","254991","244029"
"6/30/2017, 11:59:00 PM","222349","248085","283089"
"5/31/2017, 11:59:00 PM","128270","229091","336293"
"4/30/2017, 11:59:00 PM","34740","208086","307181"
"3/31/2017, 11:59:00 PM","27852","229353","364127"
"2/28/2017, 11:59:00 PM","2652","205418","379185"
"1/31/2017, 11:59:00 PM","228","232416","432937"
"12/31/2016, 11:59:00 PM","204","209804","430838"
"11/30/2016, 11:59:00 PM","20596","212546","301341"
"10/31/2016, 11:59:00 PM","50334","228856","271225"
"9/30/2016, 11:59:00 PM","130505","232092","248045"
"8/31/2016, 11:59:00 PM","154170","245034","210719"
"7/31/2016, 11:59:00 PM","157793","238319","189730"
"6/30/2016, 11:59:00 PM","161136","241749","170200"
"5/31/2016, 11:59:00 PM","148569","247689","181790"
"4/30/2016, 11:59:00 PM","97032","230619","228333"
"3/31/2016, 11:59:00 PM","43957","237988","325616"
"2/29/2016, 11:59:00 PM","41040","218685","316672"
"1/31/2016, 11:59:00 PM","1524","221810","391870"
"12/31/2015, 11:59:00 PM","2604","215081","460224"
"11/30/2015, 11:59:00 PM","10860","213983","289477"
"10/31/2015, 11:59:00 PM","196578","239578","126851"
"9/30/2015, 11:59:00 PM","226336","232987","100477"
"8/31/2015, 11:59:00 PM","243101","238605","107778"
"7/31/2015, 11:59:00 PM","272515","243801","114349"
"6/30/2015, 11:59:00 PM","261052","246833","119459"
"5/31/2015, 11:59:00 PM","119549","241768","193289"
"4/30/2015, 11:59:00 PM","108636","245343","212545"
"3/31/2015, 11:59:00 PM","101567","247435","228971"
"2/28/2015, 11:59:00 PM","32016","219214","286643"
"1/31/2015, 11:59:00 PM","6900","240888","421347"
"12/31/2014, 11:59:00 PM","0","231971","393057"
"11/30/2014, 11:59:00 PM","2760","226011","297416"
"10/31/2014, 11:59:00 PM","171348","254019","190186"
"9/30/2014, 11:59:00 PM","237288","242017","138259"
"8/31/2014, 11:59:00 PM","252276","251249","134857"
"7/31/2014, 11:59:00 PM","290676","249489",""
"6/30/2014, 11:59:00 PM","229884","242257",""
"5/31/2014, 11:59:00 PM","193457","247319",""
"4/30/2014, 11:59:00 PM","113479","166007.6",""
"3/31/2014, 11:59:00 PM","57336","232578",""
"2/28/2014, 11:59:00 PM","21972","218486",""
"1/31/2014, 11:59:00 PM","22224","248381",""
"12/31/2013, 11:59:00 PM","3564","224947",""
"11/30/2013, 11:59:00 PM","40860","232231",""
"10/31/2013, 11:59:00 PM","114849","243540",""
"9/30/2013, 11:59:00 PM","186060","239900",""
"8/31/2013, 11:59:00 PM","226314","251016",""
"7/31/2013, 11:59:00 PM","262187","257512",""
"6/30/2013, 11:59:00 PM","221261","246013",""
"5/31/2013, 11:59:00 PM","159127","255487",""
"4/30/2013, 11:59:00 PM","111622","250037",""
"3/31/2013, 11:59:00 PM","41760","251813",""
"2/28/2013, 11:59:00 PM","8954","234910",""
