"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","14394","60703","108782"
"11/30/2019, 11:59:00 PM","55015","58614","62787"
"10/31/2019, 11:59:00 PM","141042","63602","53752"
"9/30/2019, 11:59:00 PM","149144","53978","43714"
"8/31/2019, 11:59:00 PM","226691","51886","44626"
"7/31/2019, 11:59:00 PM","217635","52821","45447"
"6/30/2019, 11:59:00 PM","202478","55452","42801"
"5/31/2019, 11:59:00 PM","121373","60139","49098"
"4/30/2019, 11:59:00 PM","114689","58878","52840"
"3/31/2019, 11:59:00 PM","23101","60972","79396"
"2/28/2019, 11:59:00 PM","11793","59554","92355"
"1/31/2019, 11:59:00 PM","10778","65338","86697"
"12/31/2018, 11:59:00 PM","4507","57246","91808"
"11/30/2018, 11:59:00 PM","32397","58242","73191"
"10/31/2018, 11:59:00 PM","155212","63708","51744"
"9/30/2018, 11:59:00 PM","129748","55247","42436"
"8/31/2018, 11:59:00 PM","139633","58835","41250"
"7/31/2018, 11:59:00 PM","194417","57651","40611"
"6/30/2018, 11:59:00 PM","168801","61201","40428"
"5/31/2018, 11:59:00 PM","131839","62844","45265"
"4/30/2018, 11:59:00 PM","77977","59660","72460"
"3/31/2018, 11:59:00 PM","17267","64811","91534"
"2/28/2018, 11:59:00 PM","27446","57631","84872"
"1/31/2018, 11:59:00 PM","3312","62132","73099"
"12/31/2017, 11:59:00 PM","1280","58006","54819"
"11/30/2017, 11:59:00 PM","61","58106","44106"
"10/31/2017, 11:59:00 PM","1495","61820","42527"
"9/30/2017, 11:59:00 PM","1833","57981","39789"
"8/31/2017, 11:59:00 PM","1822","55786","44991"
"7/31/2017, 11:59:00 PM","2168","53795","50376"
"6/30/2017, 11:59:00 PM","2349","55563","54208"
"5/31/2017, 11:59:00 PM","2244","59795","60789"
"4/30/2017, 11:59:00 PM","","56551","86796"
"3/31/2017, 11:59:00 PM","691","57346","110261"
"2/28/2017, 11:59:00 PM","126","55129","122785"
"1/31/2017, 11:59:00 PM","5","61903","188445"
"12/31/2016, 11:59:00 PM","12","55690","191676"
"11/30/2016, 11:59:00 PM","","56233","83580"
"10/31/2016, 11:59:00 PM","","60332","59173"
"9/30/2016, 11:59:00 PM","","55112","48929"
"8/31/2016, 11:59:00 PM","","53676","44739"
"7/31/2016, 11:59:00 PM","","52810","44365"
"6/30/2016, 11:59:00 PM","","54909","46378"
"5/31/2016, 11:59:00 PM","","58078","50432"
"4/30/2016, 11:59:00 PM","","54550","52106"
"3/31/2016, 11:59:00 PM","","58433","43306"
"2/29/2016, 11:59:00 PM","","58804",""
"1/31/2016, 11:59:00 PM","","64485",""
"12/31/2015, 11:59:00 PM","","57974",""
"11/30/2015, 11:59:00 PM","","57501",""
"10/31/2015, 11:59:00 PM","","62070",""
"9/30/2015, 11:59:00 PM","","55933",""
"8/31/2015, 11:59:00 PM","","56502",""
"7/31/2015, 11:59:00 PM","","57478",""
"6/30/2015, 11:59:00 PM","","58520",""
"5/31/2015, 11:59:00 PM","","59450",""
"4/30/2015, 11:59:00 PM","","60069",""
"3/31/2015, 11:59:00 PM","","59423",""
"2/28/2015, 11:59:00 PM","","56178",""
"1/31/2015, 11:59:00 PM","","63091",""
"12/31/2014, 11:59:00 PM","","59369",""
"11/30/2014, 11:59:00 PM","","58900",""
"10/31/2014, 11:59:00 PM","","66397",""
"9/30/2014, 11:59:00 PM","","59579",""
"8/31/2014, 11:59:00 PM","","68819",""
"7/31/2014, 11:59:00 PM","","64972",""
"6/30/2014, 11:59:00 PM","","61105",""
"5/31/2014, 11:59:00 PM","","62803",""
"4/30/2014, 11:59:00 PM","","52391",""
"3/31/2014, 11:59:00 PM","","51329",""
"2/28/2014, 11:59:00 PM","","50529",""
"1/31/2014, 11:59:00 PM","","53278",""
"12/31/2013, 11:59:00 PM","","49626",""
"11/30/2013, 11:59:00 PM","","52320",""
"10/31/2013, 11:59:00 PM","","53813",""
"9/30/2013, 11:59:00 PM","","44023",""
"8/31/2013, 11:59:00 PM","","43319",""
"7/31/2013, 11:59:00 PM","","49554",""
"6/30/2013, 11:59:00 PM","","48101",""
"5/31/2013, 11:59:00 PM","","53323",""
"4/30/2013, 11:59:00 PM","","53361",""
"3/31/2013, 11:59:00 PM","","51101",""
"2/28/2013, 11:59:00 PM","","48673",""
