"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","40200","753663","0"
"11/30/2019, 11:59:00 PM","277692","737627","0"
"10/31/2019, 11:59:00 PM","673172","799251","0"
"9/30/2019, 11:59:00 PM","1224978","778738","0"
"8/31/2019, 11:59:00 PM","1810275","815439","0"
"7/31/2019, 11:59:00 PM","1608437","810422","305721"
"6/30/2019, 11:59:00 PM","1542534","778840","428009"
"5/31/2019, 11:59:00 PM","647656","808003","718216"
"4/30/2019, 11:59:00 PM","","806479","699052"
"3/31/2019, 11:59:00 PM","","814293","1182730"
"2/28/2019, 11:59:00 PM","50692","719507","1515829"
"1/31/2019, 11:59:00 PM","91641","793585","1399016"
"12/31/2018, 11:59:00 PM","44783","793792","1529342"
"11/30/2018, 11:59:00 PM","326499","806737","1099683"
"10/31/2018, 11:59:00 PM","850343","860404","633344"
"9/30/2018, 11:59:00 PM","1055837","811210","378729"
"8/31/2018, 11:59:00 PM","1275321","834527","457213"
"7/31/2018, 11:59:00 PM","1748878","831665","415233"
"6/30/2018, 11:59:00 PM","1300465","789213","460863"
"5/31/2018, 11:59:00 PM","804352","819180","631519"
"4/30/2018, 11:59:00 PM","487720","805259","842330"
"3/31/2018, 11:59:00 PM","333797","850410","1379851"
"2/28/2018, 11:59:00 PM","192770","736750","1255738"
"1/31/2018, 11:59:00 PM","67277","813762","1531343"
"12/31/2017, 11:59:00 PM","66156","796845","1649981"
"11/30/2017, 11:59:00 PM","159920","771303","1048577"
"10/31/2017, 11:59:00 PM","733001","807849","699964"
"9/30/2017, 11:59:00 PM","1416099","766083","470902"
"8/31/2017, 11:59:00 PM","1751281","813318","480940"
"7/31/2017, 11:59:00 PM","1664780","778072","448087"
"6/30/2017, 11:59:00 PM","1529881","768662","501930"
"5/31/2017, 11:59:00 PM","1049198","807446","638820"
"4/30/2017, 11:59:00 PM","431112","763978","820427"
"3/31/2017, 11:59:00 PM","342379","765909","988346"
"2/28/2017, 11:59:00 PM","93032","680568","1139837"
"1/31/2017, 11:59:00 PM","21845","770634","1829763"
"12/31/2016, 11:59:00 PM","46383","774452","1855316"
"11/30/2016, 11:59:00 PM","253545","755519","1044014"
"10/31/2016, 11:59:00 PM","557745","779789","668936"
"9/30/2016, 11:59:00 PM","1042486","744024","458125"
"8/31/2016, 11:59:00 PM","1200408","771184","441698"
"7/31/2016, 11:59:00 PM","1431340","783910","417971"
"6/30/2016, 11:59:00 PM","1597710","764653","446261"
"5/31/2016, 11:59:00 PM","811619","842914","649771"
"4/30/2016, 11:59:00 PM","474839","817734","902561"
"3/31/2016, 11:59:00 PM","344653","885735","1615302"
"2/29/2016, 11:59:00 PM","291774","836742","1676446"
"1/31/2016, 11:59:00 PM","113511","880692","1752192"
"12/31/2015, 11:59:00 PM","139223","867487","41980"
"11/30/2015, 11:59:00 PM","205046","885719","247315"
"10/31/2015, 11:59:00 PM","877141","881115","1168128"
"9/30/2015, 11:59:00 PM","976225","818481","1011161"
"8/31/2015, 11:59:00 PM","1130607","859800","967356"
"7/31/2015, 11:59:00 PM","1144472","880271","850543"
"6/30/2015, 11:59:00 PM","1000871","877809","794875"
"5/31/2015, 11:59:00 PM","493200","883161","1079606"
"4/30/2015, 11:59:00 PM","438432","852771","1163565"
"3/31/2015, 11:59:00 PM","391611","860036","1028500"
"2/28/2015, 11:59:00 PM","179340","855459","1330571"
"1/31/2015, 11:59:00 PM","111458","962380","2093504"
"12/31/2014, 11:59:00 PM","117295","1146231","2116163"
"11/30/2014, 11:59:00 PM","216229","1074558","1715644"
"10/31/2014, 11:59:00 PM","701931","1067506","863320"
"9/30/2014, 11:59:00 PM","845485","985810","559424"
"8/31/2014, 11:59:00 PM","936069","1041089","566725"
"7/31/2014, 11:59:00 PM","1060375","988470",""
"6/30/2014, 11:59:00 PM","846505","966591",""
"5/31/2014, 11:59:00 PM","755240","1028172",""
"4/30/2014, 11:59:00 PM","499743","952445",""
"3/31/2014, 11:59:00 PM","289788","985034",""
"2/28/2014, 11:59:00 PM","145672","791437.5",""
"1/31/2014, 11:59:00 PM","169227","1022961",""
"12/31/2013, 11:59:00 PM","162757","1017791",""
"11/30/2013, 11:59:00 PM","381761","1010554",""
"10/31/2013, 11:59:00 PM","881903","1048364",""
"9/30/2013, 11:59:00 PM","1486758","994274",""
"8/31/2013, 11:59:00 PM","1825669","1034762",""
"7/31/2013, 11:59:00 PM","2083873","1034647",""
"6/30/2013, 11:59:00 PM","1931491","996898",""
"5/31/2013, 11:59:00 PM","1361393","1059020",""
"4/30/2013, 11:59:00 PM","996309","1030824",""
"3/31/2013, 11:59:00 PM","511014","1072326",""
"2/28/2013, 11:59:00 PM","202244","990584",""
