"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","95782","758812","0"
"11/30/2019, 11:59:00 PM","341517","770372","183"
"10/31/2019, 11:59:00 PM","605208","768701","729167"
"9/30/2019, 11:59:00 PM","967399","676423","612993"
"8/31/2019, 11:59:00 PM","1025760","731468","540716"
"7/31/2019, 11:59:00 PM","625908","720902","548564"
"6/30/2019, 11:59:00 PM","1086035","699650","546739"
"5/31/2019, 11:59:00 PM","438559","728209","791315"
"4/30/2019, 11:59:00 PM","463735","712227","818876"
"3/31/2019, 11:59:00 PM","118764","736247","1080245"
"2/28/2019, 11:59:00 PM","12200","671201","1373372"
"1/31/2019, 11:59:00 PM","49176","745440","1415534"
"12/31/2018, 11:59:00 PM","63663","722216","1276819"
"11/30/2018, 11:59:00 PM","201749","720345","1014446"
"10/31/2018, 11:59:00 PM","363372","763125","752712"
"9/30/2018, 11:59:00 PM","390031","714721","774615"
"8/31/2018, 11:59:00 PM","507382","777619","760743"
"7/31/2018, 11:59:00 PM","642275","784128","683355"
"6/30/2018, 11:59:00 PM","523282","754255","755085"
"5/31/2018, 11:59:00 PM","345662","793375","888964"
"4/30/2018, 11:59:00 PM","222096","767458","1019796"
"3/31/2018, 11:59:00 PM","110604","782287","1235843"
"2/28/2018, 11:59:00 PM","86305","718676","1162926"
"1/31/2018, 11:59:00 PM","21924","780004","1313710"
"12/31/2017, 11:59:00 PM","20832","774937","1374487"
"11/30/2017, 11:59:00 PM","82905","759284","1077253"
"10/31/2017, 11:59:00 PM","276083","803361","806732"
"9/30/2017, 11:59:00 PM","532425","759258","703889"
"8/31/2017, 11:59:00 PM","979790","808557","707516"
"7/31/2017, 11:59:00 PM","503330","800090","523767"
"6/30/2017, 11:59:00 PM","1016678","787117","555396"
"5/31/2017, 11:59:00 PM","757309","817135","766424"
"4/30/2017, 11:59:00 PM","17736","755609","1013053"
"3/31/2017, 11:59:00 PM","329669","768219","1172191"
"2/28/2017, 11:59:00 PM","75866","689670","1105901"
"1/31/2017, 11:59:00 PM","5844","753905","1518408"
"12/31/2016, 11:59:00 PM","8172","728676","1462981"
"11/30/2016, 11:59:00 PM","201408","732723","1094735"
"10/31/2016, 11:59:00 PM","507840","769432","965110"
"9/30/2016, 11:59:00 PM","718918","709601",""
"8/31/2016, 11:59:00 PM","948779","754862",""
"7/31/2016, 11:59:00 PM","1036155","749288",""
"6/30/2016, 11:59:00 PM","1007399","740503",""
"5/31/2016, 11:59:00 PM","615394","771282",""
"4/30/2016, 11:59:00 PM","362460","743248",""
"3/31/2016, 11:59:00 PM","138666","797288",""
"2/29/2016, 11:59:00 PM","118500","717373",""
"1/31/2016, 11:59:00 PM","7992","727608",""
"12/31/2015, 11:59:00 PM","11724","712473",""
"11/30/2015, 11:59:00 PM","69490","718967",""
"10/31/2015, 11:59:00 PM","663247","758480",""
"9/30/2015, 11:59:00 PM","827766","715321",""
"8/31/2015, 11:59:00 PM","920225","739840",""
"7/31/2015, 11:59:00 PM","928358","723847",""
"6/30/2015, 11:59:00 PM","856356","725568",""
"5/31/2015, 11:59:00 PM","413158","754041",""
"4/30/2015, 11:59:00 PM","357012","742242",""
"3/31/2015, 11:59:00 PM","338653","775737",""
"2/28/2015, 11:59:00 PM","193242","708258",""
"1/31/2015, 11:59:00 PM","21451","763051",""
"12/31/2014, 11:59:00 PM","93424","26555.41",""
"11/30/2014, 11:59:00 PM","176269","177569.1",""
"10/31/2014, 11:59:00 PM","551754","323914.344",""
"9/30/2014, 11:59:00 PM","748621","474928.031",""
"8/31/2014, 11:59:00 PM","819665","621070.3",""
"7/31/2014, 11:59:00 PM","949121","772084",""
"6/30/2014, 11:59:00 PM","804334","730792",""
"5/31/2014, 11:59:00 PM","636194","",""
"4/30/2014, 11:59:00 PM","380370","752445",""
"3/31/2014, 11:59:00 PM","245055","765061",""
"2/28/2014, 11:59:00 PM","149503","685286",""
"1/31/2014, 11:59:00 PM","81246","1008464",""
"12/31/2013, 11:59:00 PM","3060","441735",""
"11/30/2013, 11:59:00 PM","127458","726202",""
"10/31/2013, 11:59:00 PM","451324","750770",""
"9/30/2013, 11:59:00 PM","710858","704299",""
"8/31/2013, 11:59:00 PM","805171","730775",""
"7/31/2013, 11:59:00 PM","938663","743500",""
"6/30/2013, 11:59:00 PM","912085","710311",""
"5/31/2013, 11:59:00 PM","679560","751322",""
"4/30/2013, 11:59:00 PM","534773","723673",""
"3/31/2013, 11:59:00 PM","262089","737481",""
"2/28/2013, 11:59:00 PM","57003","669272",""
