"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","2556","0"
"11/30/2019, 11:59:00 PM","3538","0"
"10/31/2019, 11:59:00 PM","3613","0"
"9/30/2019, 11:59:00 PM","4166","0"
"8/31/2019, 11:59:00 PM","5381","0"
"7/31/2019, 11:59:00 PM","5582","0"
"6/30/2019, 11:59:00 PM","6029","0"
"5/31/2019, 11:59:00 PM","3849","0"
"4/30/2019, 11:59:00 PM","5575","0"
"3/31/2019, 11:59:00 PM","6827","0"
"2/28/2019, 11:59:00 PM","9669","0"
"1/31/2019, 11:59:00 PM","7117","0"
"12/31/2018, 11:59:00 PM","7049","0"
"11/30/2018, 11:59:00 PM","5913","0"
"10/31/2018, 11:59:00 PM","5292","0"
"9/30/2018, 11:59:00 PM","5599","0"
"8/31/2018, 11:59:00 PM","6281","0"
"7/31/2018, 11:59:00 PM","7070","0"
"6/30/2018, 11:59:00 PM","4913","0"
"5/31/2018, 11:59:00 PM","7144","0"
"4/30/2018, 11:59:00 PM","7448","0"
"3/31/2018, 11:59:00 PM","6437","0"
"2/28/2018, 11:59:00 PM","5998","0"
"1/31/2018, 11:59:00 PM","5920","0"
"12/31/2017, 11:59:00 PM","3511","0"
"11/30/2017, 11:59:00 PM","1865","0"
"10/31/2017, 11:59:00 PM","4060","0"
"9/30/2017, 11:59:00 PM","5417","0"
"8/31/2017, 11:59:00 PM","6479","0"
"7/31/2017, 11:59:00 PM","5572","0"
"6/30/2017, 11:59:00 PM","3469","0"
"5/31/2017, 11:59:00 PM","2171","0"
"4/30/2017, 11:59:00 PM","1571","0"
"3/31/2017, 11:59:00 PM","4397","0"
"2/28/2017, 11:59:00 PM","6905","0"
"1/31/2017, 11:59:00 PM","7693","0"
"12/31/2016, 11:59:00 PM","5615","0"
"11/30/2016, 11:59:00 PM","2925","0"
"10/31/2016, 11:59:00 PM","3957","0"
"9/30/2016, 11:59:00 PM","5335","0"
"8/31/2016, 11:59:00 PM","4350","0"
"7/31/2016, 11:59:00 PM","2337","0"
"6/30/2016, 11:59:00 PM","3764","0"
"5/31/2016, 11:59:00 PM","3779","236.25"
"4/30/2016, 11:59:00 PM","2903","2285.75"
"3/31/2016, 11:59:00 PM","3406","6822.4"
"2/29/2016, 11:59:00 PM","3089","8337.35"
"1/31/2016, 11:59:00 PM","1597","10291.9473"
"12/31/2015, 11:59:00 PM","5131","18056.0645"
"11/30/2015, 11:59:00 PM","3808","6098.75"
"10/31/2015, 11:59:00 PM","6637","1314.05"
"9/30/2015, 11:59:00 PM","10947","2718.3"
"8/31/2015, 11:59:00 PM","11438","0"
"7/31/2015, 11:59:00 PM","10624","0"
"6/30/2015, 11:59:00 PM","9641","8.2"
"5/31/2015, 11:59:00 PM","5358","178"
"4/30/2015, 11:59:00 PM","8377","1512.9"
"3/31/2015, 11:59:00 PM","5896","1935.2"
"12/31/2014, 11:59:00 PM","5730","10567.75"
"11/30/2014, 11:59:00 PM","6282","5412"
"10/31/2014, 11:59:00 PM","4260","96.35"
"9/30/2014, 11:59:00 PM","14119",""
