"Date Time","Chilled Water","Electricity","Solar","Steam"
"12/31/2019, 11:59:00 PM","44003","171607","","125483"
"11/30/2019, 11:59:00 PM","94257","155017","","132471"
"10/31/2019, 11:59:00 PM","130928","141594","","69707"
"9/30/2019, 11:59:00 PM","187392","139699","","34353"
"8/31/2019, 11:59:00 PM","218078","134105","","21641"
"7/31/2019, 11:59:00 PM","207553","131216","","18220"
"6/30/2019, 11:59:00 PM","184086","120494","","13195"
"5/31/2019, 11:59:00 PM","53940","134522","","30450"
"4/30/2019, 11:59:00 PM","85305","141850","","38252"
"3/31/2019, 11:59:00 PM","59205","149648","","82856"
"2/28/2019, 11:59:00 PM","35076","159907","","120115"
"1/31/2019, 11:59:00 PM","46267","169463","","109966"
"12/31/2018, 11:59:00 PM","41980","178836","","108570"
"11/30/2018, 11:59:00 PM","71690","181048","","79637"
"10/31/2018, 11:59:00 PM","153123","167600","","42309"
"9/30/2018, 11:59:00 PM","170992","157035","","30000"
"8/31/2018, 11:59:00 PM","178126","137086","","41778"
"7/31/2018, 11:59:00 PM","214386","115126","","4582"
"6/30/2018, 11:59:00 PM","162095","105033","","6107"
"5/31/2018, 11:59:00 PM","128797","123260","","12889"
"4/30/2018, 11:59:00 PM","83038","129915","","42259"
"3/31/2018, 11:59:00 PM","57060","143382","","85768"
"2/28/2018, 11:59:00 PM","49372","127140","","91932"
"1/31/2018, 11:59:00 PM","40937","168186","","139815"
"12/31/2017, 11:59:00 PM","57334","159810","","121176"
"11/30/2017, 11:59:00 PM","73500","155355","","44687"
"10/31/2017, 11:59:00 PM","141083","154258","","19661"
"9/30/2017, 11:59:00 PM","237593","148485","","11290"
"8/31/2017, 11:59:00 PM","244044","131059","","10124"
"7/31/2017, 11:59:00 PM","217648","115499","","14482"
"6/30/2017, 11:59:00 PM","194821","116065","","6171"
"5/31/2017, 11:59:00 PM","151761","147147","","10745"
"4/30/2017, 11:59:00 PM","61172","152158","","37011"
"3/31/2017, 11:59:00 PM","39317","158172","","63541"
"2/28/2017, 11:59:00 PM","34490","144744","","91659"
"1/31/2017, 11:59:00 PM","29437","158151","","152578"
"12/31/2016, 11:59:00 PM","38202","173035","","134984"
"11/30/2016, 11:59:00 PM","72743","171702","","71653"
"10/31/2016, 11:59:00 PM","105699","173628","","43168"
"9/30/2016, 11:59:00 PM","162622","150382","","31477"
"8/31/2016, 11:59:00 PM","80751","138677","","16006"
"7/31/2016, 11:59:00 PM","76625","133383","","8480"
"6/30/2016, 11:59:00 PM","75062","128292","","7090"
"5/31/2016, 11:59:00 PM","89187","139628","","11517"
"4/30/2016, 11:59:00 PM","81003","134498","","30513"
"3/31/2016, 11:59:00 PM","51750","154850","","61952"
"2/29/2016, 11:59:00 PM","58228","146011","","68547"
"1/31/2016, 11:59:00 PM","38304","178278","","130502"
"12/31/2015, 11:59:00 PM","37410","176394","","128875"
"11/30/2015, 11:59:00 PM","45293","155224","",""
"10/31/2015, 11:59:00 PM","141548","159411","",""
"9/30/2015, 11:59:00 PM","166784","153576","",""
"8/31/2015, 11:59:00 PM","182826","158069","",""
"7/31/2015, 11:59:00 PM","176701","118870","",""
"6/30/2015, 11:59:00 PM","153331","118085","",""
"5/31/2015, 11:59:00 PM","80468","126986","",""
"4/30/2015, 11:59:00 PM","74527","133290","",""
"3/31/2015, 11:59:00 PM","66348","147779","",""
"2/28/2015, 11:59:00 PM","33197","128893","",""
"1/31/2015, 11:59:00 PM","29711","158062","",""
"12/31/2014, 11:59:00 PM","42755","166019","",""
"11/30/2014, 11:59:00 PM","50854","142516","",""
"10/31/2014, 11:59:00 PM","117531","154783","",""
"9/30/2014, 11:59:00 PM","153781","146071","",""
"8/31/2014, 11:59:00 PM","162745","133846","",""
"7/31/2014, 11:59:00 PM","169236","104655","",""
"6/30/2014, 11:59:00 PM","130016","87418","",""
"5/31/2014, 11:59:00 PM","110691","103394","",""
"4/30/2014, 11:59:00 PM","61347","96899","",""
"3/31/2014, 11:59:00 PM","46063","121070","",""
"2/28/2014, 11:59:00 PM","34093","104828.625","",""
"1/31/2014, 11:59:00 PM","34647","151277","",""
"12/31/2013, 11:59:00 PM","23770","138972","",""
"11/30/2013, 11:59:00 PM","47698","143369","",""
"10/31/2013, 11:59:00 PM","66004","127263","",""
"9/30/2013, 11:59:00 PM","109045","124874","",""
"8/31/2013, 11:59:00 PM","127956","115646","",""
"7/31/2013, 11:59:00 PM","126551","102616","",""
"6/30/2013, 11:59:00 PM","143904","97220","",""
"5/31/2013, 11:59:00 PM","122390","108592","",""
"4/30/2013, 11:59:00 PM","94326","101453","",""
"3/31/2013, 11:59:00 PM","62275","115268","",""
"2/28/2013, 11:59:00 PM","36104","111301","",""
