"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","246934","882207","1382698"
"11/30/2019, 11:59:00 PM","539829","908616","1183808"
"10/31/2019, 11:59:00 PM","1117432","965623","1061200"
"9/30/2019, 11:59:00 PM","1803957","997778","1085594"
"8/31/2019, 11:59:00 PM","2418231","1085112","1117504"
"7/31/2019, 11:59:00 PM","2686793","1092031","1100400"
"6/30/2019, 11:59:00 PM","4930036","1056860","1077667"
"5/31/2019, 11:59:00 PM","1759566","1080584","1129000"
"4/30/2019, 11:59:00 PM","1808114","1056328","1069096"
"3/31/2019, 11:59:00 PM","624598","1065540","1311687"
"2/28/2019, 11:59:00 PM","54247","961430","1565000"
"1/31/2019, 11:59:00 PM","245653","1057543","1408390"
"12/31/2018, 11:59:00 PM","115400","1027343","1523304"
"11/30/2018, 11:59:00 PM","380323","1026374","1273400"
"10/31/2018, 11:59:00 PM","1153586","1081621","1120000"
"9/30/2018, 11:59:00 PM","1417138","1037603","1075600"
"8/31/2018, 11:59:00 PM","1732240","1106672","1089420"
"7/31/2018, 11:59:00 PM","2347262","1105229","1109800"
"6/30/2018, 11:59:00 PM","1687660","1037480","1051600"
"5/31/2018, 11:59:00 PM","1011990","1077162","1062896"
"4/30/2018, 11:59:00 PM","578955","1039578","1106104"
"3/31/2018, 11:59:00 PM","332439","1087224","1376230"
"2/28/2018, 11:59:00 PM","280401","952310","1383400"
"1/31/2018, 11:59:00 PM","86500","1024033","1513651"
"12/31/2017, 11:59:00 PM","118776","1015111","1610696"
"11/30/2017, 11:59:00 PM","273033","995721","1103504"
"10/31/2017, 11:59:00 PM","1252599","1090468","993096"
"9/30/2017, 11:59:00 PM","2297115","1039152","954400"
"8/31/2017, 11:59:00 PM","2719323","1104720","1004800"
"7/31/2017, 11:59:00 PM","2688577","1092563","1046104"
"6/30/2017, 11:59:00 PM","1239658","1036443","1087800"
"5/31/2017, 11:59:00 PM","754653","1050063","1107000"
"4/30/2017, 11:59:00 PM","291664","986515","1103600"
"3/31/2017, 11:59:00 PM","241032","1018736","1231504"
"2/28/2017, 11:59:00 PM","51395","926646","1210767"
"1/31/2017, 11:59:00 PM","11976","1006936","1786600"
"12/31/2016, 11:59:00 PM","20432","970821","1794879"
"11/30/2016, 11:59:00 PM","348233","971819","1244904"
"10/31/2016, 11:59:00 PM","801451","1031035","1093200"
"9/30/2016, 11:59:00 PM","1640666","1008833","1095337"
"8/31/2016, 11:59:00 PM","1849351","1047069","1125104"
"7/31/2016, 11:59:00 PM","2262905","1037826","1121000"
"6/30/2016, 11:59:00 PM","2025637","1008510","1109400"
"5/31/2016, 11:59:00 PM","1350220","1050452","1135096"
"4/30/2016, 11:59:00 PM","865890","1001243","1124848"
"3/31/2016, 11:59:00 PM","389990","974248.8","1206149"
"2/29/2016, 11:59:00 PM","425677","860523.5","1311710"
"1/31/2016, 11:59:00 PM","47915","999432","1588638"
"12/31/2015, 11:59:00 PM","51592","962562","1774794"
"11/30/2015, 11:59:00 PM","185466","925299","1476384"
"10/31/2015, 11:59:00 PM","1396349","975977","1118848"
"9/30/2015, 11:59:00 PM","1826705","973113","1112739"
"8/31/2015, 11:59:00 PM","2208546","1025890","1162044"
"7/31/2015, 11:59:00 PM","2399235","1035355","1149162"
"6/30/2015, 11:59:00 PM","2124640","985674","1096786"
"5/31/2015, 11:59:00 PM","917595","998114","1167618"
"4/30/2015, 11:59:00 PM","802851","953639","1173093"
"3/31/2015, 11:59:00 PM","785261","988323","1180672"
"2/28/2015, 11:59:00 PM","280645","911203","1091875"
"1/31/2015, 11:59:00 PM","119161","969887","1612661"
"12/31/2014, 11:59:00 PM","113459","965301","1397900"
"11/30/2014, 11:59:00 PM","324132","940346","1174537"
"10/31/2014, 11:59:00 PM","1370802","1009953","982160"
"9/30/2014, 11:59:00 PM","1850428","970820","995444"
"8/31/2014, 11:59:00 PM","2178976","1025911","1077246"
"7/31/2014, 11:59:00 PM","2248320","1007891","1142170"
"6/30/2014, 11:59:00 PM","1439390","910226","939674"
"5/31/2014, 11:59:00 PM","746284","974372","1035193"
"4/30/2014, 11:59:00 PM","454872","674036","1150687"
"3/31/2014, 11:59:00 PM","256424","975563","1161537"
"2/28/2014, 11:59:00 PM","117569","888077","1215396"
"1/31/2014, 11:59:00 PM","142528","952984","1412198"
"12/31/2013, 11:59:00 PM","64597","913317","1690293"
"11/30/2013, 11:59:00 PM","365776","925904","1185366"
"10/31/2013, 11:59:00 PM","965208","940233","1105868"
"9/30/2013, 11:59:00 PM","1692480","932058","1004570"
"8/31/2013, 11:59:00 PM","2244636","963247","1051341"
"7/31/2013, 11:59:00 PM","2903081","995866","1008727"
"6/30/2013, 11:59:00 PM","2984066","930268","964314"
"5/31/2013, 11:59:00 PM","2551711","962795","1070270"
"4/30/2013, 11:59:00 PM","1922452","915334","1051796"
"3/31/2013, 11:59:00 PM","994417","930440","1159397"
"2/28/2013, 11:59:00 PM","336734","846752","1335894"
