"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","4847","97541","401544"
"11/30/2019, 11:59:00 PM","37244","103765","299242"
"10/31/2019, 11:59:00 PM","69680","117614","236637"
"9/30/2019, 11:59:00 PM","85366","95802","170474"
"8/31/2019, 11:59:00 PM","109303","96091","135156"
"7/31/2019, 11:59:00 PM","102748","94180","177774"
"6/30/2019, 11:59:00 PM","102643","101348","211632"
"5/31/2019, 11:59:00 PM","53693","122769","332734"
"4/30/2019, 11:59:00 PM","51602","121658","300337"
"3/31/2019, 11:59:00 PM","11814","112324","289568"
"2/28/2019, 11:59:00 PM","6996","109688","381864"
"1/31/2019, 11:59:00 PM","6788","114349","267301"
"12/31/2018, 11:59:00 PM","7304","102143","225777"
"11/30/2018, 11:59:00 PM","34249","102183","252151"
"10/31/2018, 11:59:00 PM","109000","126945","299059"
"9/30/2018, 11:59:00 PM","113627","100397","256988"
"8/31/2018, 11:59:00 PM","158221","109339","271316"
"7/31/2018, 11:59:00 PM","186212","107524","259452"
"6/30/2018, 11:59:00 PM","150866","111387","230797"
"5/31/2018, 11:59:00 PM","113100","123599","188634"
"4/30/2018, 11:59:00 PM","65411","119552","208255"
"3/31/2018, 11:59:00 PM","25308","120887","235451"
"2/28/2018, 11:59:00 PM","24737","114096","269400"
"1/31/2018, 11:59:00 PM","7598","123411","264471"
"12/31/2017, 11:59:00 PM","7529","110877","241156"
"11/30/2017, 11:59:00 PM","13702","118459","222583"
"10/31/2017, 11:59:00 PM","99537","125063","179782"
"9/30/2017, 11:59:00 PM","137487","108290","128220"
"8/31/2017, 11:59:00 PM","173356","116950","115334"
"7/31/2017, 11:59:00 PM","173138","111547","106774"
"6/30/2017, 11:59:00 PM","171692","118498","115535"
"5/31/2017, 11:59:00 PM","135964","127950","163082"
"4/30/2017, 11:59:00 PM","52984","123927","196665"
"3/31/2017, 11:59:00 PM","41460","127788","216195"
"2/28/2017, 11:59:00 PM","12168","116882","226325"
"1/31/2017, 11:59:00 PM","14768","121519","381467"
"12/31/2016, 11:59:00 PM","18301","102754","328810"
"11/30/2016, 11:59:00 PM","71198","119845","265840"
"10/31/2016, 11:59:00 PM","149554","126901","161621"
"9/30/2016, 11:59:00 PM","257930","108888","215465"
"8/31/2016, 11:59:00 PM","280378","106066","218659"
"7/31/2016, 11:59:00 PM","286537","100321","205431"
"6/30/2016, 11:59:00 PM","299156","107168","221667"
"5/31/2016, 11:59:00 PM","273968","123013","255528"
"4/30/2016, 11:59:00 PM","185168","114805","331091"
"3/31/2016, 11:59:00 PM","96160","115666","333829"
"2/29/2016, 11:59:00 PM","74034","113732","321692"
"1/31/2016, 11:59:00 PM","16625","116857","352994"
"12/31/2015, 11:59:00 PM","19213","98687","393878"
"11/30/2015, 11:59:00 PM","35714","110582","237276"
"10/31/2015, 11:59:00 PM","204353","118747","134974"
"9/30/2015, 11:59:00 PM","227547","96823","123110"
"8/31/2015, 11:59:00 PM","252606","92155","116083"
"7/31/2015, 11:59:00 PM","319271","101324","115353"
"6/30/2015, 11:59:00 PM","315019","106424","86606"
"5/31/2015, 11:59:00 PM","163216","119847","141636"
"4/30/2015, 11:59:00 PM","171158","123722","190825"
"3/31/2015, 11:59:00 PM","142571","123343","216286"
"2/28/2015, 11:59:00 PM","56436","123811","284731"
"1/31/2015, 11:59:00 PM","33271","130829","425545"
"12/31/2014, 11:59:00 PM","30817","124908","366953"
"11/30/2014, 11:59:00 PM","59353","125798","305555"
"10/31/2014, 11:59:00 PM","225843","132779","147567"
"9/30/2014, 11:59:00 PM","195236","111061","52368"
"8/31/2014, 11:59:00 PM","253791","119134","89566"
"7/31/2014, 11:59:00 PM","281292","119361","73087"
"6/30/2014, 11:59:00 PM","256116","123229","80217"
"5/31/2014, 11:59:00 PM","239508","138989","104219"
"4/30/2014, 11:59:00 PM","146976","136620","106806"
"3/31/2014, 11:59:00 PM","78902","129721","108118"
"2/28/2014, 11:59:00 PM","43821","110356.5","138920"
"1/31/2014, 11:59:00 PM","42317","132271","261740"
"12/31/2013, 11:59:00 PM","16723","126372","357969"
"11/30/2013, 11:59:00 PM","53880","130530","215921"
"10/31/2013, 11:59:00 PM","120475","140592","152758"
"9/30/2013, 11:59:00 PM","152576","117544","84031"
"8/31/2013, 11:59:00 PM","186999","123851","93166"
"7/31/2013, 11:59:00 PM","223417","125814","114706"
"6/30/2013, 11:59:00 PM","218003","128504","86343"
"5/31/2013, 11:59:00 PM","202445","138682","159573"
"4/30/2013, 11:59:00 PM","103896","133395","169394"
"3/31/2013, 11:59:00 PM","63607","130206","204486"
"2/28/2013, 11:59:00 PM","26264","119566","306487"
