"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","158577","589501","2134594"
"11/30/2019, 11:59:00 PM","319813","822067","1469044"
"10/31/2019, 11:59:00 PM","696802","902310","1085296"
"9/30/2019, 11:59:00 PM","39378.21","828202","762200"
"8/31/2019, 11:59:00 PM","1549211","871503","698102"
"7/31/2019, 11:59:00 PM","1417404","875953","716696"
"6/30/2019, 11:59:00 PM","1428450","856354","665704"
"5/31/2019, 11:59:00 PM","616756","909172","1037896"
"4/30/2019, 11:59:00 PM","589380","870585","944870"
"3/31/2019, 11:59:00 PM","224352","868006","1582000"
"2/28/2019, 11:59:00 PM","55665","798718","2079037"
"1/31/2019, 11:59:00 PM","63814","896581","1890589"
"12/31/2018, 11:59:00 PM","59819","860827","2035382"
"11/30/2018, 11:59:00 PM","126977","851714","1389200"
"10/31/2018, 11:59:00 PM","298267","892741","780304"
"9/30/2018, 11:59:00 PM","390883","802567","665118"
"8/31/2018, 11:59:00 PM","458264","827591","622600"
"7/31/2018, 11:59:00 PM","614234","860489","561096"
"6/30/2018, 11:59:00 PM","479272","819897","658000"
"5/31/2018, 11:59:00 PM","295782","879136","846755"
"4/30/2018, 11:59:00 PM","121830","842467","1003100"
"3/31/2018, 11:59:00 PM","74896","840741","1479231"
"2/28/2018, 11:59:00 PM","60091","760944","1450100"
"1/31/2018, 11:59:00 PM","28422","830169","1745361"
"12/31/2017, 11:59:00 PM","29239","820622","1857113"
"11/30/2017, 11:59:00 PM","40368","840712","1165500"
"10/31/2017, 11:59:00 PM","0","926339","743400"
"9/30/2017, 11:59:00 PM","216","860592","517700"
"8/31/2017, 11:59:00 PM","146471","893381","493080"
"7/31/2017, 11:59:00 PM","579348","879272","477500"
"6/30/2017, 11:59:00 PM","502381","858326","536200"
"5/31/2017, 11:59:00 PM","301389","904996","670400"
"4/30/2017, 11:59:00 PM","90812","915846","958700"
"3/31/2017, 11:59:00 PM","76612","921722","1122718"
"2/28/2017, 11:59:00 PM","29978","851924","1322600"
"1/31/2017, 11:59:00 PM","24775","920698","2134200"
"12/31/2016, 11:59:00 PM","26345","891995","2149182"
"11/30/2016, 11:59:00 PM","86145","913740","1201597"
"10/31/2016, 11:59:00 PM","47670","953217","740768"
"9/30/2016, 11:59:00 PM","323436","916504","576400"
"8/31/2016, 11:59:00 PM","389574","919674","580100"
"7/31/2016, 11:59:00 PM","402173","935581","541904"
"6/30/2016, 11:59:00 PM","441181","908268","515900"
"5/31/2016, 11:59:00 PM","302374","962972","668700"
"4/30/2016, 11:59:00 PM","208664","918596","803500"
"3/31/2016, 11:59:00 PM","131288","925952","1167606"
"2/29/2016, 11:59:00 PM","136681","889983","1210382"
"1/31/2016, 11:59:00 PM","54594","939382","1823355"
"12/31/2015, 11:59:00 PM","58608","903003","2038720"
"11/30/2015, 11:59:00 PM","91717","893673","1543179"
"10/31/2015, 11:59:00 PM","234177","982191","562600"
"9/30/2015, 11:59:00 PM","304067","907347","552718"
"8/31/2015, 11:59:00 PM","399257","924841","505200"
"7/31/2015, 11:59:00 PM","470272","938880","486300"
"6/30/2015, 11:59:00 PM","439427","919348","515900"
"5/31/2015, 11:59:00 PM","152425","953813","803300"
"4/30/2015, 11:59:00 PM","94969","935295","870100"
"3/31/2015, 11:59:00 PM","87915","942525","884278"
"2/28/2015, 11:59:00 PM","","878113",""
"1/31/2015, 11:59:00 PM","","973264",""
