"Date Time","Chilled Water","Electricity","Solar","Steam"
"12/31/2019, 11:59:00 PM","0","214287","1663.10938","44160"
"11/30/2019, 11:59:00 PM","0","242501","5706.78125","29670"
"10/31/2019, 11:59:00 PM","178270","268146","8502.797",""
"9/30/2019, 11:59:00 PM","340904","212684","9478.906",""
"8/31/2019, 11:59:00 PM","459473","194846","11095.3594",""
"7/31/2019, 11:59:00 PM","436489","183153","12567.2344",""
"6/30/2019, 11:59:00 PM","446541","199947","13025.7188",""
"5/31/2019, 11:59:00 PM","201066","244074","11722.8486",""
"4/30/2019, 11:59:00 PM","160536","242098","8916.844","120200"
"3/31/2019, 11:59:00 PM","0","240171","8568.844","299884"
"2/28/2019, 11:59:00 PM","0","243085","5601.53125","458600"
"1/31/2019, 11:59:00 PM","0","254815","4991.48438","391500"
"12/31/2018, 11:59:00 PM","0","212216","5006.09375","373500"
"11/30/2018, 11:59:00 PM","0","245753","4658.85938","228600"
"10/31/2018, 11:59:00 PM","374319","269115","8051.98438","91500"
"9/30/2018, 11:59:00 PM","532017","215802","30130.4121","49600"
"8/31/2018, 11:59:00 PM","648732","212162","36266.95","44300"
"7/31/2018, 11:59:00 PM","587738","164107","40975.7227","23800"
"6/30/2018, 11:59:00 PM","376333","200762","44576.3945","49500"
"5/31/2018, 11:59:00 PM","283893","247230","43211.22","95300"
"4/30/2018, 11:59:00 PM","43656","236261","35858.7344","178800"
"3/31/2018, 11:59:00 PM","0","240696","29028.4961","320800"
"2/28/2018, 11:59:00 PM","0","230453","26132.1348","371500"
"1/31/2018, 11:59:00 PM","0","257845","13063.002","426061"
"12/31/2017, 11:59:00 PM","0","223704","19514.88","446700"
"11/30/2017, 11:59:00 PM","0","246166","17299.7988","208700"
"10/31/2017, 11:59:00 PM","181538","260864","27841.707","96500"
"9/30/2017, 11:59:00 PM","406737","216597","29214.61","55800"
"8/31/2017, 11:59:00 PM","479036","207491","38300.34","42200"
"7/31/2017, 11:59:00 PM","462986","167741","44896.7969","19800"
"6/30/2017, 11:59:00 PM","477011","210534","44113.3633",""
"5/31/2017, 11:59:00 PM","369315","244449","44817.0977","66400"
"4/30/2017, 11:59:00 PM","107268","234220","35441.2266","78300"
"3/31/2017, 11:59:00 PM","0","233739","31539.2949","152400"
"2/28/2017, 11:59:00 PM","0","241518","","223300"
"1/31/2017, 11:59:00 PM","0","246841","","398900"
"12/31/2016, 11:59:00 PM","0","192123","","377200"
"11/30/2016, 11:59:00 PM","22402","255398","","179600"
"10/31/2016, 11:59:00 PM","174715","274270","","65500"
"9/30/2016, 11:59:00 PM","337295","220187","","40700"
"8/31/2016, 11:59:00 PM","365940","203942","","32500"
"7/31/2016, 11:59:00 PM","423785","183890","","29500"
"6/30/2016, 11:59:00 PM","390929","188779","","36900"
"5/31/2016, 11:59:00 PM","341410","248980","","80900"
"4/30/2016, 11:59:00 PM","82944","239615","","95700"
"3/31/2016, 11:59:00 PM","0","235585","","196615"
"2/29/2016, 11:59:00 PM","0","227758","","223587"
"1/31/2016, 11:59:00 PM","0","249496","","353278"
"12/31/2015, 11:59:00 PM","0","201567","","377470"
"11/30/2015, 11:59:00 PM","15645","256630","","306431"
"10/31/2015, 11:59:00 PM","326075","267443","","67127"
"9/30/2015, 11:59:00 PM","354100","213315","","40763"
"8/31/2015, 11:59:00 PM","409078","194648","","38228"
"7/31/2015, 11:59:00 PM","432750","174483","","29203"
"6/30/2015, 11:59:00 PM","414043","192763","","41371"
"5/31/2015, 11:59:00 PM","229474","245216","","81526"
"4/30/2015, 11:59:00 PM","141204","240159","","81627"
"3/31/2015, 11:59:00 PM","5018","242800","","142670"
"2/28/2015, 11:59:00 PM","0","247290","","121781"
"1/31/2015, 11:59:00 PM","0","273022","","371327"
"12/31/2014, 11:59:00 PM","0","250679","","251371"
"11/30/2014, 11:59:00 PM","41402","264037","","162747"
"10/31/2014, 11:59:00 PM","271656","272198","","67127"
"9/30/2014, 11:59:00 PM","324041","","","30927"
"8/31/2014, 11:59:00 PM","373549","","","29203"
"7/31/2014, 11:59:00 PM","434136","","","29102"
"6/30/2014, 11:59:00 PM","","","","38384"
"5/31/2014, 11:59:00 PM","","","","42701"
"4/30/2014, 11:59:00 PM","133856","","","100386"
"3/31/2014, 11:59:00 PM","0","","","134035"
"2/28/2014, 11:59:00 PM","0","","","209594"
"1/31/2014, 11:59:00 PM","0","","","300955"
"12/31/2013, 11:59:00 PM","0","","","342326"
"11/30/2013, 11:59:00 PM","","","","203485"
"10/31/2013, 11:59:00 PM","","","","81765"
"9/30/2013, 11:59:00 PM","272788","","","33158"
"8/31/2013, 11:59:00 PM","330607","","","20483"
"7/31/2013, 11:59:00 PM","389009","","","23626"
"6/30/2013, 11:59:00 PM","381004","","","41878"
"5/31/2013, 11:59:00 PM","292047","","","69560"
"4/30/2013, 11:59:00 PM","151965","","","88117"
"3/31/2013, 11:59:00 PM","0","","","144079"
"2/28/2013, 11:59:00 PM","0","","","289649"
