"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","0","121242","207160"
"11/30/2019, 11:59:00 PM","0","145930","48368"
"10/31/2019, 11:59:00 PM","87526","155388","125939"
"9/30/2019, 11:59:00 PM","168989","114548","111337"
"8/31/2019, 11:59:00 PM","239396","110987","98561"
"7/31/2019, 11:59:00 PM","214789","110249","72977"
"6/30/2019, 11:59:00 PM","220270","132944","127764"
"5/31/2019, 11:59:00 PM","93619","150300","168831"
"4/30/2019, 11:59:00 PM","66708","146942","226325"
"3/31/2019, 11:59:00 PM","0","146246","353176"
"2/28/2019, 11:59:00 PM","2137","140563","360477"
"1/31/2019, 11:59:00 PM","4752","143907","478202"
"12/31/2018, 11:59:00 PM","0","116763","408845"
"11/30/2018, 11:59:00 PM","13151","139330","340400"
"10/31/2018, 11:59:00 PM","77985","156496","123201"
"9/30/2018, 11:59:00 PM","94370","108978","35591"
"8/31/2018, 11:59:00 PM","109844","104191","37417"
"7/31/2018, 11:59:00 PM","214514","103990","38329"
"6/30/2018, 11:59:00 PM","139318","130626","65707"
"5/31/2018, 11:59:00 PM","75336","149845","125939"
"4/30/2018, 11:59:00 PM","912","137745","251878"
"3/31/2018, 11:59:00 PM","0","140468","378729"
"2/28/2018, 11:59:00 PM","0","136512","374166"
"1/31/2018, 11:59:00 PM","0","138264","495542"
"12/31/2017, 11:59:00 PM","0","119589","417234"
"11/30/2017, 11:59:00 PM","857","135681","284731"
"10/31/2017, 11:59:00 PM","111653","150303","80309"
"9/30/2017, 11:59:00 PM","195901","108075","30116"
"8/31/2017, 11:59:00 PM","238516","99676","38329"
"7/31/2017, 11:59:00 PM","266006","101517","40154"
"6/30/2017, 11:59:00 PM","267152","130600","41067"
"5/31/2017, 11:59:00 PM","176532","153389","52931"
"4/30/2017, 11:59:00 PM","6892","144038","73008"
"3/31/2017, 11:59:00 PM","71356","148139","212636"
"2/28/2017, 11:59:00 PM","83976","143227","262829"
"1/31/2017, 11:59:00 PM","112675","146656","476377"
"12/31/2016, 11:59:00 PM","116263","114292","414320"
"11/30/2016, 11:59:00 PM","92715","148112","240014"
"10/31/2016, 11:59:00 PM","45892","157260","93085"
"9/30/2016, 11:59:00 PM","102760","120347","136890"
"8/31/2016, 11:59:00 PM","111398","99836","37417"
"7/31/2016, 11:59:00 PM","142728","112988","45630"
"6/30/2016, 11:59:00 PM","75871","119951","52018"
"5/31/2016, 11:59:00 PM","54973","158928","74833"
"4/30/2016, 11:59:00 PM","26424","149130","108599"
"3/31/2016, 11:59:00 PM","96","143672","207160"
"2/29/2016, 11:59:00 PM","360","144082","251878"
"1/31/2016, 11:59:00 PM","84","157968","390593"
"12/31/2015, 11:59:00 PM","1838","116939","271955"
"11/30/2015, 11:59:00 PM","7245","151537","323973"
"10/31/2015, 11:59:00 PM","85219","154842","93998"
"9/30/2015, 11:59:00 PM","96553","108770","133240"
"8/31/2015, 11:59:00 PM","113462","98138","231800"
"7/31/2015, 11:59:00 PM","102338","99113","256441"
"6/30/2015, 11:59:00 PM","100327","109036","307546"
"5/31/2015, 11:59:00 PM","42043","140694","482765"
"4/30/2015, 11:59:00 PM","15474","137923","595015"
"3/31/2015, 11:59:00 PM","0","131096","248227"
"2/28/2015, 11:59:00 PM","0","129087","526570"
"1/31/2015, 11:59:00 PM","0","141324","159705"
"12/31/2014, 11:59:00 PM","0","123374","266479"
"11/30/2014, 11:59:00 PM","1297","133757","301158"
"10/31/2014, 11:59:00 PM","54923","143885","105862"
"9/30/2014, 11:59:00 PM","61346","85389","20077"
"8/31/2014, 11:59:00 PM","","91857",""
"7/31/2014, 11:59:00 PM","","106858",""
"6/30/2014, 11:59:00 PM","109008","118126","0"
"5/31/2014, 11:59:00 PM","93731","159737","913"
"4/30/2014, 11:59:00 PM","6675.8","145898","181607"
"3/31/2014, 11:59:00 PM","0","143067","145103"
"2/28/2014, 11:59:00 PM","0","141526","250052"
"1/31/2014, 11:59:00 PM","0","145591","281993"
"12/31/2013, 11:59:00 PM","0","119108","275605"
"11/30/2013, 11:59:00 PM","0","149163","177957"
"10/31/2013, 11:59:00 PM","21873","149883","66620"
"9/30/2013, 11:59:00 PM","49429","100185","36504"
"8/31/2013, 11:59:00 PM","56585","78742","41067"
"7/31/2013, 11:59:00 PM","63413","81887","44717"
"6/30/2013, 11:59:00 PM","109122","121148","57494"
"5/31/2013, 11:59:00 PM","89382","160097","93085"
"4/30/2013, 11:59:00 PM","43258","152793","107687"
"3/31/2013, 11:59:00 PM","0","146805","200772"
"2/28/2013, 11:59:00 PM","0","145734","299333"
