"Date Time","Chilled Water","Electricity","Solar","Steam"
"12/31/2019, 11:59:00 PM","6552","413969","1633.625","1149214"
"11/30/2019, 11:59:00 PM","52435","468334","5977.5","1126761"
"10/31/2019, 11:59:00 PM","107753","504200","9593.625","809845"
"9/30/2019, 11:59:00 PM","193460","397290","9397.9375","399773"
"8/31/2019, 11:59:00 PM","333665","429358","11119.1875","456326"
"7/31/2019, 11:59:00 PM","307114","431058","12809.8125","483671"
"6/30/2019, 11:59:00 PM","281921","417398","13503.8125","521316"
"5/31/2019, 11:59:00 PM","123668","460845","8189.4375","959847"
"4/30/2019, 11:59:00 PM","126645","445505","10978.3125","922592"
"3/31/2019, 11:59:00 PM","16860","421704","8994.75","1033926"
"2/28/2019, 11:59:00 PM","120","409810","5789.1875","1241690"
"1/31/2019, 11:59:00 PM","2232","443392","5024.375","1092748"
"12/31/2018, 11:59:00 PM","168","363758","4859.875","861555"
"11/30/2018, 11:59:00 PM","58857","432111","4502.4375","905319"
"10/31/2018, 11:59:00 PM","281014","476203","8100.4375","834880"
"9/30/2018, 11:59:00 PM","297860","364716","30326.9219","505515"
"8/31/2018, 11:59:00 PM","367873","341649","36774.96","434938"
"7/31/2018, 11:59:00 PM","543608","410747","40787.4727","546329"
"6/30/2018, 11:59:00 PM","400954","403970","44399.93","622827"
"5/31/2018, 11:59:00 PM","268164","477806","42830.8359","929416"
"4/30/2018, 11:59:00 PM","174684","465415","36395.1641","1076901"
"3/31/2018, 11:59:00 PM","89920","436776","29722.36","1206589"
"2/28/2018, 11:59:00 PM","81624","429628","26820.0254","1315115"
"1/31/2018, 11:59:00 PM","45480","471512","12430.3428","1480725"
"12/31/2017, 11:59:00 PM","33487","380871","17940.2969","1226281"
"11/30/2017, 11:59:00 PM","18660","436319","16543.2949","1046787"
"10/31/2017, 11:59:00 PM","190674","470156","27158.668","853925"
"9/30/2017, 11:59:00 PM","502533","420205","29195.2051","563979"
"8/31/2017, 11:59:00 PM","632014","411519","39254.6328","668430"
"7/31/2017, 11:59:00 PM","636266","430533","17014.5781","680370"
"6/30/2017, 11:59:00 PM","571477","432142","12753.63","683991"
"5/31/2017, 11:59:00 PM","391305","437952","49220.4453","804250"
"4/30/2017, 11:59:00 PM","126300","423116","39117.7422","1010054"
"3/31/2017, 11:59:00 PM","90072","414946","34696.86","1056978"
"2/28/2017, 11:59:00 PM","10860","413546","","1148126"
"1/31/2017, 11:59:00 PM","96","416012","","1342320"
"12/31/2016, 11:59:00 PM","324","320998","","1070298"
"11/30/2016, 11:59:00 PM","67812","422069","","978124"
"10/31/2016, 11:59:00 PM","158532","458311","","827832"
"9/30/2016, 11:59:00 PM","331675","416050","","588290"
"8/31/2016, 11:59:00 PM","444029","414048","","483523"
"7/31/2016, 11:59:00 PM","513216","399818","","442418"
"6/30/2016, 11:59:00 PM","429505","384395","","410353"
"5/31/2016, 11:59:00 PM","279216","434370","","688240"
"4/30/2016, 11:59:00 PM","177408","426979","","835084"
"3/31/2016, 11:59:00 PM","50244","417608","","962020"
"2/29/2016, 11:59:00 PM","43068","409811","","1103001"
"1/31/2016, 11:59:00 PM","1092","434485","","1409512"
"12/31/2015, 11:59:00 PM","780","354107","","1077423"
"11/30/2015, 11:59:00 PM","10584","416656","","973611"
"10/31/2015, 11:59:00 PM","223752","494258","","623815"
"9/30/2015, 11:59:00 PM","286323","377323","","278286"
"8/31/2015, 11:59:00 PM","362046","339208","","146672"
"7/31/2015, 11:59:00 PM","451918","402890","","251399"
"6/30/2015, 11:59:00 PM","418373","390406","","369404"
"5/31/2015, 11:59:00 PM","193105","432533","","626027"
"4/30/2015, 11:59:00 PM","196816","425703","","830814"
"3/31/2015, 11:59:00 PM","164748","415750","","701965"
"2/28/2015, 11:59:00 PM","","409346","","859202"
"1/31/2015, 11:59:00 PM","","434993","","1234932"
"12/31/2014, 11:59:00 PM","","","","1060859"
"11/30/2014, 11:59:00 PM","","","","1054938"
"10/31/2014, 11:59:00 PM","","","","818511"
"9/30/2014, 11:59:00 PM","","","","276951"
"8/31/2014, 11:59:00 PM","","","","296490"
"7/31/2014, 11:59:00 PM","","","","523469"
"6/30/2014, 11:59:00 PM","","","","554454"
"5/31/2014, 11:59:00 PM","","","","767366"
"4/30/2014, 11:59:00 PM","","","","899962"
"3/31/2014, 11:59:00 PM","","","","716579"
"2/28/2014, 11:59:00 PM","","","","824411"
"1/31/2014, 11:59:00 PM","","","","1062449"
"12/31/2013, 11:59:00 PM","","","","930414"
"11/30/2013, 11:59:00 PM","","","","719797"
"10/31/2013, 11:59:00 PM","","","","593416"
"9/30/2013, 11:59:00 PM","","","","221697"
"8/31/2013, 11:59:00 PM","","","","197609"
"7/31/2013, 11:59:00 PM","","","","299703"
"6/30/2013, 11:59:00 PM","","","","357592"
"5/31/2013, 11:59:00 PM","","","","571164"
"4/30/2013, 11:59:00 PM","","","","645981"
"3/31/2013, 11:59:00 PM","","","","764786"
"2/28/2013, 11:59:00 PM","","","","1015028"
