"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","14364","735982","3249586"
"11/30/2019, 11:59:00 PM","226632","915767","1107714"
"10/31/2019, 11:59:00 PM","896124","758740","281081"
"9/30/2019, 11:59:00 PM","1442364","793856","198125"
"8/31/2019, 11:59:00 PM","1786944","855491","157971"
"7/31/2019, 11:59:00 PM","1814868","863877","153773"
"6/30/2019, 11:59:00 PM","2010408","931292","311470"
"5/31/2019, 11:59:00 PM","1036800","929852","645117"
"4/30/2019, 11:59:00 PM","1018296","892613","733730"
"3/31/2019, 11:59:00 PM","13937.6846","839461","1091105"
"2/28/2019, 11:59:00 PM","12552","799186","1477591"
"1/31/2019, 11:59:00 PM","77868","865638","1419184"
"12/31/2018, 11:59:00 PM","19188","757375","1185559"
"11/30/2018, 11:59:00 PM","308652","720478","979950"
"10/31/2018, 11:59:00 PM","917292","906254","608248"
"9/30/2018, 11:59:00 PM","1122546","752394","465974"
"8/31/2018, 11:59:00 PM","1260546","872046","426823"
"7/31/2018, 11:59:00 PM","2321952","963904","405651"
"6/30/2018, 11:59:00 PM","1920594","940067","443980"
"5/31/2018, 11:59:00 PM","1368024","965773","606879"
"4/30/2018, 11:59:00 PM","704826","903443","843060"
"3/31/2018, 11:59:00 PM","260280","915610","714748"
"2/28/2018, 11:59:00 PM","273096","847943","511969"
"1/31/2018, 11:59:00 PM","91692","905388","688830"
"12/31/2017, 11:59:00 PM","113100","767297","669027"
"11/30/2017, 11:59:00 PM","200460","849397","527026"
"10/31/2017, 11:59:00 PM","1068612","961543","404738"
"9/30/2017, 11:59:00 PM","1412694","838165","315395"
"8/31/2017, 11:59:00 PM","1828071","968148","309098"
"7/31/2017, 11:59:00 PM","1927872","984246","301797"
"6/30/2017, 11:59:00 PM","1893381","1106614","457486"
"5/31/2017, 11:59:00 PM","1367001","1133412","641397"
"4/30/2017, 11:59:00 PM","574641","1044236","1025806"
"3/31/2017, 11:59:00 PM","507807","1106942","1276848"
"2/28/2017, 11:59:00 PM","111702","918954","1388251"
"1/31/2017, 11:59:00 PM","44856","902419","1825931"
"12/31/2016, 11:59:00 PM","66672","824366","1804664"
"11/30/2016, 11:59:00 PM","426090","855716","1030192"
"10/31/2016, 11:59:00 PM","872382","971697","647304"
"9/30/2016, 11:59:00 PM","1687500","918074","473777"
"8/31/2016, 11:59:00 PM","1953357","971669","443615"
"7/31/2016, 11:59:00 PM","2204781","952617","416583"
"6/30/2016, 11:59:00 PM","2178684","989289","414892"
"5/31/2016, 11:59:00 PM","1461153","1003551","541139"
"4/30/2016, 11:59:00 PM","306702","950535","657009"
"3/31/2016, 11:59:00 PM","63492","975620","1029914"
"2/29/2016, 11:59:00 PM","60420","920312","993613"
"1/31/2016, 11:59:00 PM","2688","930132","1416454"
"12/31/2015, 11:59:00 PM","2988","872517","1532341"
"11/30/2015, 11:59:00 PM","17652","","1298986"
"8/31/2014, 11:59:00 PM","0","148120",""
"7/31/2014, 11:59:00 PM","0","155836",""
"6/30/2014, 11:59:00 PM","0","149125",""
"5/31/2014, 11:59:00 PM","0","161904",""
"4/30/2014, 11:59:00 PM","0","105725.3",""
"3/31/2014, 11:59:00 PM","0","159104",""
"2/28/2014, 11:59:00 PM","26964","156861",""
"1/31/2014, 11:59:00 PM","40644","182054",""
"12/31/2013, 11:59:00 PM","9540","167941",""
"11/30/2013, 11:59:00 PM","73176","170123",""
"10/31/2013, 11:59:00 PM","207816","184310",""
"9/30/2013, 11:59:00 PM","338340","165137",""
"8/31/2013, 11:59:00 PM","396312","170018",""
"7/31/2013, 11:59:00 PM","466536","175818",""
"6/30/2013, 11:59:00 PM","460536","178014",""
"5/31/2013, 11:59:00 PM","335280","185179",""
"4/30/2013, 11:59:00 PM","252356","181210",""
"3/31/2013, 11:59:00 PM","127240","179491",""
"2/28/2013, 11:59:00 PM","38196","165137",""
