"Date Time","Electricity","Natural Gas"
"12/31/2019, 11:59:00 PM","116533","144784.5"
"11/30/2019, 11:59:00 PM","131672","90585.71"
"10/31/2019, 11:59:00 PM","158879","68654.25"
"9/30/2019, 11:59:00 PM","137756","81128.25"
"8/31/2019, 11:59:00 PM","139792","71305.5"
"7/31/2019, 11:59:00 PM","139687","88094.82"
"6/30/2019, 11:59:00 PM","126711","68465.25"
"5/31/2019, 11:59:00 PM","110321","86518.2344"
"4/30/2019, 11:59:00 PM","107086","82467"
"3/31/2019, 11:59:00 PM","108820","103760.141"
"2/28/2019, 11:59:00 PM","106187","125860.1"
"1/31/2019, 11:59:00 PM","99371","138651.938"
"12/31/2018, 11:59:00 PM","101738","127470"
"11/30/2018, 11:59:00 PM","112347","100033.5"
"10/31/2018, 11:59:00 PM","127309","79311.75"
"9/30/2018, 11:59:00 PM","119541","79374.75"
"8/31/2018, 11:59:00 PM","128727","100374.758"
"7/31/2018, 11:59:00 PM","189208","105976.5"
"6/30/2018, 11:59:00 PM","167611","96864.9141"
"5/31/2018, 11:59:00 PM","152500","109856.25"
"4/30/2018, 11:59:00 PM","142986","142629.078"
"3/31/2018, 11:59:00 PM","139912","182201.813"
"2/28/2018, 11:59:00 PM","128369","156735.578"
"1/31/2018, 11:59:00 PM","100571","170052.75"
"12/31/2017, 11:59:00 PM","128082","165291.609"
"11/30/2017, 11:59:00 PM","92467","149257.5"
"10/31/2017, 11:59:00 PM","134735","114447.219"
"9/30/2017, 11:59:00 PM","124747","89248.44"
"8/31/2017, 11:59:00 PM","139739","92458.92"
"7/31/2017, 11:59:00 PM","128892","90370.84"
"6/30/2017, 11:59:00 PM","122903","81674.25"
"5/31/2017, 11:59:00 PM","121521","97446.82"
"4/30/2017, 11:59:00 PM","113471","133587.469"
"3/31/2017, 11:59:00 PM","109028","159446.5"
"2/28/2017, 11:59:00 PM","93407","177011.656"
"1/31/2017, 11:59:00 PM","117085","218185.7"
"12/31/2016, 11:59:00 PM","143071","228616.656"
"11/30/2016, 11:59:00 PM","108328","182689.5"
"10/31/2016, 11:59:00 PM","121561","159033"
"9/30/2016, 11:59:00 PM","134389",""
