"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","10260","214618","855015"
"11/30/2019, 11:59:00 PM","107839","217177","416054"
"10/31/2019, 11:59:00 PM","288382","225216","622302"
"9/30/2019, 11:59:00 PM","522330","208610","324338"
"8/31/2019, 11:59:00 PM","742226","216819","315303"
"7/31/2019, 11:59:00 PM","686166","222319","292032"
"6/30/2019, 11:59:00 PM","673998","214429","329449"
"5/31/2019, 11:59:00 PM","252463","224170","421986"
"4/30/2019, 11:59:00 PM","244909","219233","0"
"3/31/2019, 11:59:00 PM","53487","224962","200955"
"2/28/2019, 11:59:00 PM","5091","206199","1208921"
"1/31/2019, 11:59:00 PM","17290","223657","1128704"
"12/31/2018, 11:59:00 PM","6735","214557","20398392"
"11/30/2018, 11:59:00 PM","110753","212767","93748"
"10/31/2018, 11:59:00 PM","359161","222474","62563"
"9/30/2018, 11:59:00 PM","489925","207746","57866"
"8/31/2018, 11:59:00 PM","581533","215857","54857"
"7/31/2018, 11:59:00 PM","815345","218885",""
"6/30/2018, 11:59:00 PM","","215696",""
"5/31/2018, 11:59:00 PM","","228914",""
"4/30/2018, 11:59:00 PM","","220335",""
"3/31/2018, 11:59:00 PM","","227427",""
"2/28/2018, 11:59:00 PM","","209089",""
"1/31/2018, 11:59:00 PM","","227794",""
"12/31/2017, 11:59:00 PM","","223590",""
"11/30/2017, 11:59:00 PM","","221853",""
"10/31/2017, 11:59:00 PM","","231752",""
"9/30/2017, 11:59:00 PM","","221058",""
"8/31/2017, 11:59:00 PM","","226228",""
"7/31/2017, 11:59:00 PM","","225197",""
"6/30/2017, 11:59:00 PM","","221754",""
"5/31/2017, 11:59:00 PM","","231187",""
"4/30/2017, 11:59:00 PM","","221673",""
"3/31/2017, 11:59:00 PM","","232988",""
"2/28/2017, 11:59:00 PM","","214161",""
"1/31/2017, 11:59:00 PM","","232593",""
"12/31/2016, 11:59:00 PM","","226564",""
"11/30/2016, 11:59:00 PM","","225388",""
"10/31/2016, 11:59:00 PM","","232545",""
"9/30/2016, 11:59:00 PM","","219441",""
"8/31/2016, 11:59:00 PM","","223709",""
"7/31/2016, 11:59:00 PM","","225984",""
"6/30/2016, 11:59:00 PM","","220028",""
"5/31/2016, 11:59:00 PM","","226084",""
"4/30/2016, 11:59:00 PM","","219250",""
"3/31/2016, 11:59:00 PM","","228834",""
"2/29/2016, 11:59:00 PM","","216914",""
"1/31/2016, 11:59:00 PM","","227354",""
"12/31/2015, 11:59:00 PM","","221425",""
"11/30/2015, 11:59:00 PM","","237765",""
"10/31/2015, 11:59:00 PM","","248165",""
"9/30/2015, 11:59:00 PM","","236564",""
"8/31/2015, 11:59:00 PM","","246835",""
"7/31/2015, 11:59:00 PM","","250841",""
"6/30/2015, 11:59:00 PM","","242545",""
"5/31/2015, 11:59:00 PM","","242040",""
"4/30/2015, 11:59:00 PM","","237614",""
"3/31/2015, 11:59:00 PM","","240758",""
"2/28/2015, 11:59:00 PM","","225333",""
"1/31/2015, 11:59:00 PM","","248741",""
"12/31/2014, 11:59:00 PM","","245240",""
"11/30/2014, 11:59:00 PM","","237930",""
"10/31/2014, 11:59:00 PM","","249925",""
"9/30/2014, 11:59:00 PM","","237625",""
"8/31/2014, 11:59:00 PM","","254733",""
"7/31/2014, 11:59:00 PM","","247182",""
"6/30/2014, 11:59:00 PM","","231144",""
"5/31/2014, 11:59:00 PM","","251632",""
"4/30/2014, 11:59:00 PM","","242371",""
"3/31/2014, 11:59:00 PM","","245892",""
"2/28/2014, 11:59:00 PM","","213607",""
"1/31/2014, 11:59:00 PM","","231491",""
"12/31/2013, 11:59:00 PM","","229307",""
"11/30/2013, 11:59:00 PM","","231502",""
"10/31/2013, 11:59:00 PM","","239570",""
"9/30/2013, 11:59:00 PM","","201588",""
"8/31/2013, 11:59:00 PM","","208651",""
"7/31/2013, 11:59:00 PM","","212056",""
"6/30/2013, 11:59:00 PM","","208021",""
"5/31/2013, 11:59:00 PM","","217683",""
"4/30/2013, 11:59:00 PM","","207289",""
"3/31/2013, 11:59:00 PM","","212867",""
"2/28/2013, 11:59:00 PM","","196746",""
