"Date Time","Chilled Water","Electricity","Solar","Steam"
"12/31/2019, 11:59:00 PM","35560","357631","1359.5","763615"
"11/30/2019, 11:59:00 PM","107607","391918","4941.0625","698150"
"10/31/2019, 11:59:00 PM","326190","434734","7392","450872"
"9/30/2019, 11:59:00 PM","505741","357066","7144.4375","20544"
"8/31/2019, 11:59:00 PM","603482","242900","8606.8125","16413"
"7/31/2019, 11:59:00 PM","670886","283943","9836.5","291689"
"6/30/2019, 11:59:00 PM","678368","328059","10278.9375","388750"
"5/31/2019, 11:59:00 PM","262780","405739","9140.5","473100"
"4/30/2019, 11:59:00 PM","241049","381402","8379.375","450753"
"3/31/2019, 11:59:00 PM","147837","334261","6862","756036"
"2/28/2019, 11:59:00 PM","30085","332484","4433.4375","716011"
"1/31/2019, 11:59:00 PM","36931","334710","3919.875","701064"
"12/31/2018, 11:59:00 PM","33941","252740","3854.6875","578357"
"11/30/2018, 11:59:00 PM","184535","337546","3545.0625","586059"
"10/31/2018, 11:59:00 PM","455966","382940","6308","395091"
"9/30/2018, 11:59:00 PM","487583","325170","23487.7813","280935"
"8/31/2018, 11:59:00 PM","518466","278997","28626.2539","243328"
"7/31/2018, 11:59:00 PM","639606","261253","32821.31","196125"
"6/30/2018, 11:59:00 PM","338826","272660","36160.375","244626"
"5/31/2018, 11:59:00 PM","186308","339837","35263.66","324838"
"4/30/2018, 11:59:00 PM","102308","341468","29407.6016","449465"
"3/31/2018, 11:59:00 PM","27349","326337","23797.8477","587002"
"2/28/2018, 11:59:00 PM","16793","319748","21237.9941","602787"
"1/31/2018, 11:59:00 PM","7478","344364","10070.9443","678387"
"12/31/2017, 11:59:00 PM","6284","290607","14842.84","662264"
"11/30/2017, 11:59:00 PM","10068","334546","13384.4229","440431"
"10/31/2017, 11:59:00 PM","42182","369091","20778.8672","3708570"
"9/30/2017, 11:59:00 PM","63145","275891","22049.41","17291"
"8/31/2017, 11:59:00 PM","73288","252607","29432.3379","12994"
"7/31/2017, 11:59:00 PM","84272","266571","35469.98","13842"
"6/30/2017, 11:59:00 PM","86200","305497","35361.6641","21242"
"5/31/2017, 11:59:00 PM","60940","352229","36158.1367","34952"
"4/30/2017, 11:59:00 PM","28010","320024","28596.1855","49312"
"3/31/2017, 11:59:00 PM","30247","310881","25510.08","58545"
"2/28/2017, 11:59:00 PM","12991","314622","","72426"
"1/31/2017, 11:59:00 PM","7602","324816","","102299"
"12/31/2016, 11:59:00 PM","8652","253529","","87676"
"11/30/2016, 11:59:00 PM","27523","330332","","63124"
"10/31/2016, 11:59:00 PM","50891","361380","","42711"
"9/30/2016, 11:59:00 PM","71061","265745","","21317"
"8/31/2016, 11:59:00 PM","1056","152162","","16059"
"7/31/2016, 11:59:00 PM","0","124129","","13319"
"6/30/2016, 11:59:00 PM","23076","218031","","16898"
"5/31/2016, 11:59:00 PM","56656","357316","","36295"
"4/30/2016, 11:59:00 PM","49032","356944","","43789"
"3/31/2016, 11:59:00 PM","55036","355328","","57664"
"2/29/2016, 11:59:00 PM","52697","357142","","65202"
"1/31/2016, 11:59:00 PM","45387","383054","","94979"
"12/31/2015, 11:59:00 PM","41931","306567","","1041368"
"11/30/2015, 11:59:00 PM","37869","364817","","733274"
"10/31/2015, 11:59:00 PM","59778","387623","","199859"
"9/30/2015, 11:59:00 PM","75771","351638","","148480"
"8/31/2015, 11:59:00 PM","86863","315371","","134335"
"7/31/2015, 11:59:00 PM","87992","274090","","108964"
"6/30/2015, 11:59:00 PM","80028","304808","","1271799"
"5/31/2015, 11:59:00 PM","62116","391123","","617525"
"4/30/2015, 11:59:00 PM","60991","389900","","730080"
"3/31/2015, 11:59:00 PM","58129","373573","","695036"
"2/28/2015, 11:59:00 PM","41880","371286","","845706"
"1/31/2015, 11:59:00 PM","30877","404456","","1157998"
"12/31/2014, 11:59:00 PM","14092","369533","","951203"
"11/30/2014, 11:59:00 PM","0","387700","","628051"
"10/31/2014, 11:59:00 PM","12847","404904","","311653"
"9/30/2014, 11:59:00 PM","30642","352306","","223299"
"8/31/2014, 11:59:00 PM","","327356","","164151"
"7/31/2014, 11:59:00 PM","","294335","","165946"
"6/30/2014, 11:59:00 PM","0","310142","","163938"
"5/31/2014, 11:59:00 PM","0","378689","","164788"
"4/30/2014, 11:59:00 PM","0","316918","","254311"
"3/31/2014, 11:59:00 PM","0","382089","","324772"
"2/28/2014, 11:59:00 PM","0","369823","","460355"
"1/31/2014, 11:59:00 PM","0","383674","","559703"
"12/31/2013, 11:59:00 PM","0","294145","","764814"
"11/30/2013, 11:59:00 PM","12","379266","","424845"
"10/31/2013, 11:59:00 PM","0","366557","","221799"
"9/30/2013, 11:59:00 PM","58861","340501","","164373"
"8/31/2013, 11:59:00 PM","134926","313526","","163656"
"7/31/2013, 11:59:00 PM","141027","275234","","165240"
"6/30/2013, 11:59:00 PM","319234","303713","","164439"
"5/31/2013, 11:59:00 PM","411252","366626","","168043"
"4/30/2013, 11:59:00 PM","344782","359810","","217973"
"3/31/2013, 11:59:00 PM","186069","350812","","354226"
"2/28/2013, 11:59:00 PM","101643","347520","","566400"
