"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","1980","46891","183798"
"11/30/2019, 11:59:00 PM","33615","45774","141270"
"10/31/2019, 11:59:00 PM","87036","48900","97184"
"9/30/2019, 11:59:00 PM","155707","46181","61053"
"8/31/2019, 11:59:00 PM","238764","50376","55760"
"7/31/2019, 11:59:00 PM","220703","49572","44626"
"6/30/2019, 11:59:00 PM","213974","47255","32854"
"5/31/2019, 11:59:00 PM","83568","47342","81495"
"4/30/2019, 11:59:00 PM","80016","46465","77480"
"3/31/2019, 11:59:00 PM","16200","45384","128312"
"2/28/2019, 11:59:00 PM","312","40799","183524"
"1/31/2019, 11:59:00 PM","3981","45677","197487"
"12/31/2018, 11:59:00 PM","1224","42758","182246"
"11/30/2018, 11:59:00 PM","27959","39790","124935"
"10/31/2018, 11:59:00 PM","97811","42858","0"
"9/30/2018, 11:59:00 PM","127700","40740","0"
"8/31/2018, 11:59:00 PM","167526","43206","0"
"7/31/2018, 11:59:00 PM","231507","43016","91"
"6/30/2018, 11:59:00 PM","167496","40671","0"
"5/31/2018, 11:59:00 PM","99188","42229","91"
"4/30/2018, 11:59:00 PM","55345","42033","1916"
"3/31/2018, 11:59:00 PM","18576","41428","5567"
"2/28/2018, 11:59:00 PM","6459","36557","6479"
"1/31/2018, 11:59:00 PM","876","39625","2373"
"12/31/2017, 11:59:00 PM","1176","38816","3285"
"11/30/2017, 11:59:00 PM","3776","39205","7757"
"10/31/2017, 11:59:00 PM","29498","47491","32762"
"9/30/2017, 11:59:00 PM","59205","39430","60049"
"8/31/2017, 11:59:00 PM","101547","57788","62513"
"7/31/2017, 11:59:00 PM","107075","63874","57768"
"6/30/2017, 11:59:00 PM","","63324","57494"
"5/31/2017, 11:59:00 PM","","63875","74742"
"4/30/2017, 11:59:00 PM","","58831","67167"
"3/31/2017, 11:59:00 PM","19116","61914","108234"
"2/28/2017, 11:59:00 PM","3468","50612","120281"
"1/31/2017, 11:59:00 PM","228","62041","199403"
"12/31/2016, 11:59:00 PM","2580","60967","156876"
"11/30/2016, 11:59:00 PM","19009","59496","99473"
"10/31/2016, 11:59:00 PM","42910","62130","91443"
"9/30/2016, 11:59:00 PM","75914","61589","82864"
"8/31/2016, 11:59:00 PM","90733","64876","84598"
"7/31/2016, 11:59:00 PM","100353","63201","108873"
"6/30/2016, 11:59:00 PM","90711","61426","69723"
"5/31/2016, 11:59:00 PM","90805","62448","104036"
"4/30/2016, 11:59:00 PM","69392","60471","155690"
"3/31/2016, 11:59:00 PM","25974","61384","260456"
"2/29/2016, 11:59:00 PM","21804","57832","251395"
"1/31/2016, 11:59:00 PM","1760","58864","272776"
"12/31/2015, 11:59:00 PM","1810","41948","175402"
"11/30/2015, 11:59:00 PM","6997","39145","133240"
"10/31/2015, 11:59:00 PM","70148","39960","87336"
"9/30/2015, 11:59:00 PM","94074","38469","100021"
"8/31/2015, 11:59:00 PM","118600","40475","56307"
"7/31/2015, 11:59:00 PM","132225","41329","65305"
"6/30/2015, 11:59:00 PM","117630","39362","75655"
"5/31/2015, 11:59:00 PM","49332","38698","74012"
"4/30/2015, 11:59:00 PM","40051","38171","77754"
"3/31/2015, 11:59:00 PM","35700","37918","82408"
"2/28/2015, 11:59:00 PM","11280","34718","158245"
"1/31/2015, 11:59:00 PM","4788","39271","338075"
"12/31/2014, 11:59:00 PM","5544","39438","150853"
"11/30/2014, 11:59:00 PM","21456","40028","12868"
"10/31/2014, 11:59:00 PM","102097","43073","103489"
"9/30/2014, 11:59:00 PM","151958","40184","72369"
"8/31/2014, 11:59:00 PM","189343","42111","59228"
"7/31/2014, 11:59:00 PM","226236","43235","60049"
"6/30/2014, 11:59:00 PM","143892","36475","52931"
"5/31/2014, 11:59:00 PM","124207","40893","59045"
"4/30/2014, 11:59:00 PM","71463","39524","81130"
"3/31/2014, 11:59:00 PM","37536","42889","126395"
"2/28/2014, 11:59:00 PM","14976","39901","170656"
"1/31/2014, 11:59:00 PM","17221","41799","194384"
"12/31/2013, 11:59:00 PM","8105","40328","250965"
"11/30/2013, 11:59:00 PM","42018","49710","155781"
"10/31/2013, 11:59:00 PM","99158","49710","161986"
"9/30/2013, 11:59:00 PM","178919","48536","35591"
"8/31/2013, 11:59:00 PM","219510","47663","91260"
"7/31/2013, 11:59:00 PM","240849","46431","104036"
"6/30/2013, 11:59:00 PM","224142","43577","109603"
"5/31/2013, 11:59:00 PM","155486","45547","128312"
"4/30/2013, 11:59:00 PM","116101","45171","143369"
"3/31/2013, 11:59:00 PM","62131","45299","233991"
"2/28/2013, 11:59:00 PM","25631","41035","261734"
