"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","155760","1038667","1691869"
"11/30/2019, 11:59:00 PM","483600","1036139","1176711"
"10/31/2019, 11:59:00 PM","1021560","1169978","831152"
"9/30/2019, 11:59:00 PM","1769633","1132668","491200"
"8/31/2019, 11:59:00 PM","2522040","1275856","405616"
"7/31/2019, 11:59:00 PM","2248200","1292336","459194"
"6/30/2019, 11:59:00 PM","2241840","1221735","505920"
"5/31/2019, 11:59:00 PM","982320","1141505","882965"
"4/30/2019, 11:59:00 PM","936600","1113581","793723"
"3/31/2019, 11:59:00 PM","369840","1134227","1390587"
"2/28/2019, 11:59:00 PM","186360","1074773","1953163"
"1/31/2019, 11:59:00 PM","310560","1191870","1755529"
"12/31/2018, 11:59:00 PM","203040","1177256","1811962"
"11/30/2018, 11:59:00 PM","507360","1150134","1271829"
"10/31/2018, 11:59:00 PM","1295304","1218463","778980"
"9/30/2018, 11:59:00 PM","1709520","1167614","709584"
"8/31/2018, 11:59:00 PM","2071704","1283212","702672"
"7/31/2018, 11:59:00 PM","2859480","1341107","613363"
"6/30/2018, 11:59:00 PM","2224680","1259513","737620"
"5/31/2018, 11:59:00 PM","1147680","1342093","950619"
"4/30/2018, 11:59:00 PM","590280","1310976","1271159"
"3/31/2018, 11:59:00 PM","286560","1374026","1809108"
"2/28/2018, 11:59:00 PM","217320","1294141","1784211"
"1/31/2018, 11:59:00 PM","43080","1369474","2195318"
"12/31/2017, 11:59:00 PM","45566","1358119","2325151"
"11/30/2017, 11:59:00 PM","137880","1318492","1481282"
"10/31/2017, 11:59:00 PM","1149120","1395924","985156"
"9/30/2017, 11:59:00 PM","2373693","1337559","683577"
"8/31/2017, 11:59:00 PM","2812440","1393509","658640"
"7/31/2017, 11:59:00 PM","6034784","1421760","720056"
"6/30/2017, 11:59:00 PM","251557","1361313","742400"
"5/31/2017, 11:59:00 PM","1075400","1419010","940573"
"4/30/2017, 11:59:00 PM","407160","1348149","1231015"
"3/31/2017, 11:59:00 PM","298776","1417700","1326939"
"2/28/2017, 11:59:00 PM","30551","1263846","1653283"
"1/31/2017, 11:59:00 PM","8799","1430184","2772318"
"12/31/2016, 11:59:00 PM","17683","1397896","2757923"
"11/30/2016, 11:59:00 PM","369620","1346484","1509410"
"10/31/2016, 11:59:00 PM","725158","1383651","865251"
"9/30/2016, 11:59:00 PM","1633482","1331929","549235"
"8/31/2016, 11:59:00 PM","1905708","1401459","601916"
"7/31/2016, 11:59:00 PM","2226358","1396832","553584"
"6/30/2016, 11:59:00 PM","2156941","1364466","627027"
"5/31/2016, 11:59:00 PM","1404393","1437025","916349"
"4/30/2016, 11:59:00 PM","850571","1401793","1045402"
"3/31/2016, 11:59:00 PM","340602","1476775","1514546"
"2/29/2016, 11:59:00 PM","355192","1389721","1624490"
"1/31/2016, 11:59:00 PM","49854","1431866","2466512"
"12/31/2015, 11:59:00 PM","50204","1427922","2812677"
"11/30/2015, 11:59:00 PM","241477","1341448","2169246"
"10/31/2015, 11:59:00 PM","1677988","1374592","759379"
"9/30/2015, 11:59:00 PM","2134486","1338678","659013"
"8/31/2015, 11:59:00 PM","2552032","1392905","630444"
"7/31/2015, 11:59:00 PM","2684586","1397379","605888"
"6/30/2015, 11:59:00 PM","2443538","1348951","681027"
"5/31/2015, 11:59:00 PM","1099193","1400998","1111449"
"4/30/2015, 11:59:00 PM","990420","1363018","1183648"
"3/31/2015, 11:59:00 PM","888869","1374587","1146262"
"2/28/2015, 11:59:00 PM","329000","1261996","1422055"
"1/31/2015, 11:59:00 PM","0","1443712","2393568"
"12/31/2014, 11:59:00 PM","0","1399359","2001853"
"11/30/2014, 11:59:00 PM","0","1351452","1563051"
"10/31/2014, 11:59:00 PM","760568","1420267","795290"
"9/30/2014, 11:59:00 PM","738440","1332456","658350"
"8/31/2014, 11:59:00 PM","1168","1391387","696026"
"7/31/2014, 11:59:00 PM","","1400186",""
"6/30/2014, 11:59:00 PM","","1260551",""
"5/31/2014, 11:59:00 PM","","1347185",""
"4/30/2014, 11:59:00 PM","","1351609",""
"3/31/2014, 11:59:00 PM","","1366968",""
"2/28/2014, 11:59:00 PM","","1259209",""
"1/31/2014, 11:59:00 PM","","1359324",""
"12/31/2013, 11:59:00 PM","","1344995",""
"11/30/2013, 11:59:00 PM","","1334706",""
"10/31/2013, 11:59:00 PM","","1346736",""
"9/30/2013, 11:59:00 PM","","1347055",""
"8/31/2013, 11:59:00 PM","","1391916",""
"7/31/2013, 11:59:00 PM","","1406000",""
"6/30/2013, 11:59:00 PM","","1329305",""
"5/31/2013, 11:59:00 PM","","1360005",""
"4/30/2013, 11:59:00 PM","","1299286",""
"3/31/2013, 11:59:00 PM","","1327368",""
"2/28/2013, 11:59:00 PM","","1247987",""
