"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","269040","775664","707813"
"11/30/2019, 11:59:00 PM","472800","742608","510235"
"10/31/2019, 11:59:00 PM","699000","780932","381923"
"9/30/2019, 11:59:00 PM","1091520","763810","244303"
"8/31/2019, 11:59:00 PM","1535160","801342","212545"
"7/31/2019, 11:59:00 PM","1389240","805003","181790"
"6/30/2019, 11:59:00 PM","1307604","776875","206795"
"5/31/2019, 11:59:00 PM","703680","809442","370242"
"4/30/2019, 11:59:00 PM","689400","778289","352446"
"3/31/2019, 11:59:00 PM","428160","784190","570101"
"2/28/2019, 11:59:00 PM","327480","705260","665833"
"1/31/2019, 11:59:00 PM","405960","778847","632057"
"12/31/2018, 11:59:00 PM","396600","769358","681347"
"11/30/2018, 11:59:00 PM","646597","755427","517444"
"10/31/2018, 11:59:00 PM","1094784","786799","409684"
"9/30/2018, 11:59:00 PM","1233120","769345","391688"
"8/31/2018, 11:59:00 PM","1518840","810933","302892"
"7/31/2018, 11:59:00 PM","1849920","814594","181151"
"6/30/2018, 11:59:00 PM","1414421","796639","210081"
"5/31/2018, 11:59:00 PM","955080","812322","280442"
"4/30/2018, 11:59:00 PM","681360","773231","461137"
"3/31/2018, 11:59:00 PM","517680","801390","584914"
"2/28/2018, 11:59:00 PM","413760","718472","533506"
"1/31/2018, 11:59:00 PM","369480","795763","559789"
"12/31/2017, 11:59:00 PM","355351","803256","691179"
"11/30/2017, 11:59:00 PM","452160","771651","552671"
"10/31/2017, 11:59:00 PM","821640","789987","354040"
"9/30/2017, 11:59:00 PM","1369080","764663","242204"
"8/31/2017, 11:59:00 PM","1647840","804256","134791"
"7/31/2017, 11:59:00 PM","1558440","793542","913"
"6/30/2017, 11:59:00 PM","1464120","787049","3650"
"5/31/2017, 11:59:00 PM","1020960","812643","5111"
"4/30/2017, 11:59:00 PM","412200","553478","1186"
"3/31/2017, 11:59:00 PM","532800","518037","11225"
"2/28/2017, 11:59:00 PM","363720","469716","19256"
"1/31/2017, 11:59:00 PM","323040","504548","49372"
"12/31/2016, 11:59:00 PM","340440","504320","39424"
"11/30/2016, 11:59:00 PM","524808","501184","51197"
"10/31/2016, 11:59:00 PM","768240","527137","54208"
"9/30/2016, 11:59:00 PM","1004760","515559","17248"
"8/31/2016, 11:59:00 PM","1276440","531756","9217"
"7/31/2016, 11:59:00 PM","1400405","533102","8852"
"6/30/2016, 11:59:00 PM","1301400","522234","9674"
"5/31/2016, 11:59:00 PM","967800","531770","16974"
"4/30/2016, 11:59:00 PM","710880","507658","20260"
"3/31/2016, 11:59:00 PM","453360","519052","25827"
"2/29/2016, 11:59:00 PM","456960","483663","35865"
"1/31/2016, 11:59:00 PM","324240","745039","83320"
"12/31/2015, 11:59:00 PM","364800","772647","74559"
"11/30/2015, 11:59:00 PM","516000","706242","91077"
"10/31/2015, 11:59:00 PM","1183200","818326","57038"
"9/30/2015, 11:59:00 PM","1361880","792353","65981"
"8/31/2015, 11:59:00 PM","1738062","836876","69905"
"7/31/2015, 11:59:00 PM","1925557","849875","75837"
"6/30/2015, 11:59:00 PM","1615320","804492","53661"
"5/31/2015, 11:59:00 PM","806880","799825","38877"
"4/30/2015, 11:59:00 PM","680400","768886","54391"
"3/31/2015, 11:59:00 PM","668160","777711","38603"
"2/28/2015, 11:59:00 PM","122880","705301","26830"
"1/31/2015, 11:59:00 PM","2640","","34588"
"12/31/2014, 11:59:00 PM","161520","","31941"
