"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","25676","186124","455291"
"11/30/2019, 11:59:00 PM","89240","186114","339396"
"10/31/2019, 11:59:00 PM","196262","217175","284366"
"9/30/2019, 11:59:00 PM","161551","212123","192650"
"8/31/2019, 11:59:00 PM","199976","233927","152587"
"7/31/2019, 11:59:00 PM","149580","218511","160618"
"6/30/2019, 11:59:00 PM","139383","207342","177957"
"5/31/2019, 11:59:00 PM","74915","223697","266205"
"4/30/2019, 11:59:00 PM","80704","223250","240288"
"3/31/2019, 11:59:00 PM","35794","208834","382379"
"2/28/2019, 11:59:00 PM","15809","178347","479663"
"1/31/2019, 11:59:00 PM","18429","194149","428374"
"12/31/2018, 11:59:00 PM","15186","175197","404099"
"11/30/2018, 11:59:00 PM","47714","188957","291028"
"10/31/2018, 11:59:00 PM","93916","223884","205426"
"9/30/2018, 11:59:00 PM","105555","205156","152860"
"8/31/2018, 11:59:00 PM","152952","230224","186718"
"7/31/2018, 11:59:00 PM","149622","213394","133148"
"6/30/2018, 11:59:00 PM","108251","187581","142913"
"5/31/2018, 11:59:00 PM","75868","208694","196574"
"4/30/2018, 11:59:00 PM","50178","187571","257828"
"3/31/2018, 11:59:00 PM","34300","182943","381376"
"2/28/2018, 11:59:00 PM","29680","162426","371519"
"1/31/2018, 11:59:00 PM","19536","162873","406746"
"12/31/2017, 11:59:00 PM","21000","160187","439508"
"11/30/2017, 11:59:00 PM","25216","170743","296869"
"10/31/2017, 11:59:00 PM","87249","205201","205426"
"9/30/2017, 11:59:00 PM","139813","203278","128312"
"8/31/2017, 11:59:00 PM","146750","203238","92264"
"7/31/2017, 11:59:00 PM","144704","204490","106865"
"6/30/2017, 11:59:00 PM","131924","196718","133696"
"5/31/2017, 11:59:00 PM","96815","201970","172846"
"4/30/2017, 11:59:00 PM","45354","191774","286191"
"3/31/2017, 11:59:00 PM","42910","199888","369437"
"2/28/2017, 11:59:00 PM","19439","176140","415050"
"1/31/2017, 11:59:00 PM","18224","189185","670047"
"12/31/2016, 11:59:00 PM","17876","186761","588353"
"11/30/2016, 11:59:00 PM","48100","191473","349800"
"10/31/2016, 11:59:00 PM","66144","196836","204057"
"9/30/2016, 11:59:00 PM","140581","204130","128038"
"8/31/2016, 11:59:00 PM","139106","207848","127855"
"7/31/2016, 11:59:00 PM","150773","184163","113984"
"6/30/2016, 11:59:00 PM","154143","181699","109968"
"5/31/2016, 11:59:00 PM","104214","200744","161895"
"4/30/2016, 11:59:00 PM","71810","193725","212636"
"3/31/2016, 11:59:00 PM","39724","189666","325251"
"2/29/2016, 11:59:00 PM","38526","180143","346788"
"1/31/2016, 11:59:00 PM","18209","181457","515534"
"12/31/2015, 11:59:00 PM","18966","168508","615184"
"11/30/2015, 11:59:00 PM","27337","174855","465426"
"10/31/2015, 11:59:00 PM","141426","210257","160344"
"9/30/2015, 11:59:00 PM","184676","242356","152313"
"8/31/2015, 11:59:00 PM","169969","223395","126486"
"7/31/2015, 11:59:00 PM","180442","183323","147932"
"6/30/2015, 11:59:00 PM","166831","193117","186627"
"5/31/2015, 11:59:00 PM","93872","211203","256714"
"4/30/2015, 11:59:00 PM","86709","201294","274784"
"3/31/2015, 11:59:00 PM","82528","208969","268852"
"2/28/2015, 11:59:00 PM","33432","","251148"
"1/31/2015, 11:59:00 PM","24468","182211","257079"
"12/31/2014, 11:59:00 PM","22073","142738","226599"
"11/30/2014, 11:59:00 PM","45993","183188","318954"
"10/31/2014, 11:59:00 PM","102495","204938","190916"
"9/30/2014, 11:59:00 PM","121765","192064","138533"
"8/31/2014, 11:59:00 PM","159053","227439","141179"
"7/31/2014, 11:59:00 PM","177636","211646","127855"
"6/30/2014, 11:59:00 PM","135596","202364","152039"
"5/31/2014, 11:59:00 PM","112479","221678","174945"
"4/30/2014, 11:59:00 PM","63507","203264","238280"
"3/31/2014, 11:59:00 PM","40978","192243","296047"
"2/28/2014, 11:59:00 PM","25182","176834","363854"
"1/31/2014, 11:59:00 PM","28960","189881","429196"
"12/31/2013, 11:59:00 PM","25728","","449337"
"11/30/2013, 11:59:00 PM","39876","","302363"
"10/31/2013, 11:59:00 PM","58205","185070","184893"
"9/30/2013, 11:59:00 PM","88298","178950","92446"
"8/31/2013, 11:59:00 PM","105049","191224","98104"
"7/31/2013, 11:59:00 PM","115867","174419","89709"
"6/30/2013, 11:59:00 PM","133938","178992","98835"
"5/31/2013, 11:59:00 PM","104155","211029","124935"
"4/30/2013, 11:59:00 PM","79735","197399","179326"
"3/31/2013, 11:59:00 PM","48708","195356","279621"
"2/28/2013, 11:59:00 PM","24396","168705","423264"
