"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","158923","165430","63152"
"11/30/2019, 11:59:00 PM","173423","156387","42253"
"10/31/2019, 11:59:00 PM","224486","164826","22450"
"9/30/2019, 11:59:00 PM","252490","163367","16244"
"8/31/2019, 11:59:00 PM","144989","180591","12685"
"7/31/2019, 11:59:00 PM","132364","176492","9491"
"6/30/2019, 11:59:00 PM","125599","172391","7575"
"5/31/2019, 11:59:00 PM","57048","172832","12138"
"4/30/2019, 11:59:00 PM","13157","159695","10586"
"3/31/2019, 11:59:00 PM","16284","163282","40337"
"2/28/2019, 11:59:00 PM","300","152592","69996"
"1/31/2019, 11:59:00 PM","10802","164636","91260"
"12/31/2018, 11:59:00 PM","9208","163138","100386"
"11/30/2018, 11:59:00 PM","36212","177009","54573"
"10/31/2018, 11:59:00 PM","46874","185191","28929"
"9/30/2018, 11:59:00 PM","58483","180424","25188"
"8/31/2018, 11:59:00 PM","72273","192513","26283"
"7/31/2018, 11:59:00 PM","73062","192784","25188"
"6/30/2018, 11:59:00 PM","74039","194767","41158"
"5/31/2018, 11:59:00 PM","57463","204300","46999"
"4/30/2018, 11:59:00 PM","45010","210714","56946"
"3/31/2018, 11:59:00 PM","41216","220943","86423"
"2/28/2018, 11:59:00 PM","36306","201438","83868"
"1/31/2018, 11:59:00 PM","36125","216838","97283"
"12/31/2017, 11:59:00 PM","28298","217866","92114"
"11/30/2017, 11:59:00 PM","2052","211383","49463"
"10/31/2017, 11:59:00 PM","0","222549","44991"
"9/30/2017, 11:59:00 PM","0","213966","26465"
"8/31/2017, 11:59:00 PM","30429","223307","23819"
"7/31/2017, 11:59:00 PM","81437","215890","24731"
"6/30/2017, 11:59:00 PM","74979","211066","24093"
"5/31/2017, 11:59:00 PM","54086","216302","36595"
"4/30/2017, 11:59:00 PM","43642","205869","51836"
"3/31/2017, 11:59:00 PM","48807","214928","61874"
"2/28/2017, 11:59:00 PM","48611","206358","60870"
"1/31/2017, 11:59:00 PM","56604","231945","105588"
"12/31/2016, 11:59:00 PM","57252","226851","103489"
"11/30/2016, 11:59:00 PM","54742","231656","56672"
"10/31/2016, 11:59:00 PM","58304","240005","40246"
"9/30/2016, 11:59:00 PM","67569","232266","27013"
"8/31/2016, 11:59:00 PM","75362","232025","23271"
"7/31/2016, 11:59:00 PM","81726","232023","16792"
"6/30/2016, 11:59:00 PM","76045","222374","22176"
"5/31/2016, 11:59:00 PM","54075","237539","26283"
"4/30/2016, 11:59:00 PM","54607","236110","33036"
"3/31/2016, 11:59:00 PM","55121","250581","44352"
"2/29/2016, 11:59:00 PM","50996","232166","50467"
"1/31/2016, 11:59:00 PM","52563","247566","49828"
"12/31/2015, 11:59:00 PM","53247","244839","53843"
"11/30/2015, 11:59:00 PM","45178","217168","41797"
"10/31/2015, 11:59:00 PM","59040","243330","19347"
"9/30/2015, 11:59:00 PM","68964","253051","16792"
"8/31/2015, 11:59:00 PM","80448","275837","14237"
"7/31/2015, 11:59:00 PM","89968","290871","14602"
"6/30/2015, 11:59:00 PM","85496","293944","11499"
"5/31/2015, 11:59:00 PM","66806","300226","17339"
"4/30/2015, 11:59:00 PM","","285756",""
"3/31/2015, 11:59:00 PM","","299751",""
"2/28/2015, 11:59:00 PM","","265850",""
"1/31/2015, 11:59:00 PM","","288551",""
"12/31/2014, 11:59:00 PM","","280986",""
"11/30/2014, 11:59:00 PM","","275479",""
"10/31/2014, 11:59:00 PM","","289928",""
"9/30/2014, 11:59:00 PM","","285982",""
"8/31/2014, 11:59:00 PM","","305121",""
"7/31/2014, 11:59:00 PM","","309999",""
"6/30/2014, 11:59:00 PM","","258566",""
"5/31/2014, 11:59:00 PM","","304827",""
"4/30/2014, 11:59:00 PM","","289075",""
"3/31/2014, 11:59:00 PM","","309938",""
"2/28/2014, 11:59:00 PM","","289553",""
"1/31/2014, 11:59:00 PM","","311585",""
"12/31/2013, 11:59:00 PM","","310353",""
"11/30/2013, 11:59:00 PM","","317154",""
"10/31/2013, 11:59:00 PM","","320520",""
"9/30/2013, 11:59:00 PM","","318197",""
"8/31/2013, 11:59:00 PM","","335457",""
"7/31/2013, 11:59:00 PM","","321231",""
"6/30/2013, 11:59:00 PM","","301409",""
"5/31/2013, 11:59:00 PM","","321357",""
"4/30/2013, 11:59:00 PM","","325434",""
"3/31/2013, 11:59:00 PM","","318836",""
"2/28/2013, 11:59:00 PM","","277800",""
