"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","9756","277655","543545"
"11/30/2019, 11:59:00 PM","99192","290049","400084"
"10/31/2019, 11:59:00 PM","237648","326891","301888"
"9/30/2019, 11:59:00 PM","192336","250936","225777"
"8/31/2019, 11:59:00 PM","246744","238079","231618"
"7/31/2019, 11:59:00 PM","303239","271148","194566"
"6/30/2019, 11:59:00 PM","314074","33476","223770"
"5/31/2019, 11:59:00 PM","301005","50508","424542"
"4/30/2019, 11:59:00 PM","283164","50269","400449"
"3/31/2019, 11:59:00 PM","70116","48181","509592"
"2/28/2019, 11:59:00 PM","11916","47334","592818"
"1/31/2019, 11:59:00 PM","41496","49825","562468"
"12/31/2018, 11:59:00 PM","11676","45147","562463"
"11/30/2018, 11:59:00 PM","123574","47583","487945"
"10/31/2018, 11:59:00 PM","398568","54990","294583"
"9/30/2018, 11:59:00 PM","274670","43598","240597"
"8/31/2018, 11:59:00 PM","397725","47673","253887"
"7/31/2018, 11:59:00 PM","581160","45399","260325"
"6/30/2018, 11:59:00 PM","439005","332592","261860"
"5/31/2018, 11:59:00 PM","334085","356192","323293"
"4/30/2018, 11:59:00 PM","233196","332859","367072"
"3/31/2018, 11:59:00 PM","85014","311125","468615"
"2/28/2018, 11:59:00 PM","81468","288945","424170"
"1/31/2018, 11:59:00 PM","43092","307113","501233"
"12/31/2017, 11:59:00 PM","29112","293004","506714"
"11/30/2017, 11:59:00 PM","116457","309226","376029"
"10/31/2017, 11:59:00 PM","270756","357535","243310"
"9/30/2017, 11:59:00 PM","362026","312893","214223"
"8/31/2017, 11:59:00 PM","430500","324787","211275"
"7/31/2017, 11:59:00 PM","421662","324317","218265"
"6/30/2017, 11:59:00 PM","439002","336582","222620"
"5/31/2017, 11:59:00 PM","382152","351184","284391"
"4/30/2017, 11:59:00 PM","190896","321498","356905"
"3/31/2017, 11:59:00 PM","154090","325162","415157"
"2/28/2017, 11:59:00 PM","78916","298186","433114"
"1/31/2017, 11:59:00 PM","9621","298797","583710"
"12/31/2016, 11:59:00 PM","11524","243978","553834"
"11/30/2016, 11:59:00 PM","106181","294250","362452"
"10/31/2016, 11:59:00 PM","265488","342275","317579"
"9/30/2016, 11:59:00 PM","","334531","274253"
"8/31/2016, 11:59:00 PM","","337628","275848"
"7/31/2016, 11:59:00 PM","","327404","264548"
"6/30/2016, 11:59:00 PM","","325301","279249"
"5/31/2016, 11:59:00 PM","","355661",""
"4/30/2016, 11:59:00 PM","","336651",""
"3/31/2016, 11:59:00 PM","","328581",""
"2/29/2016, 11:59:00 PM","","301601",""
"12/31/2015, 11:59:00 PM","","21331",""
"11/30/2015, 11:59:00 PM","","24793",""
"10/31/2015, 11:59:00 PM","","27130",""
"9/30/2015, 11:59:00 PM","","22203",""
"8/31/2015, 11:59:00 PM","","22146",""
"7/31/2015, 11:59:00 PM","","23358",""
"6/30/2015, 11:59:00 PM","","23223",""
"5/31/2015, 11:59:00 PM","","26205",""
"4/30/2015, 11:59:00 PM","","27120",""
"3/31/2015, 11:59:00 PM","","26342",""
"2/28/2015, 11:59:00 PM","","25703",""
"1/31/2015, 11:59:00 PM","","25880",""
"12/31/2014, 11:59:00 PM","","23246",""
"11/30/2014, 11:59:00 PM","","25651",""
"10/31/2014, 11:59:00 PM","","28100",""
"9/30/2014, 11:59:00 PM","","17351",""
"8/31/2014, 11:59:00 PM","","20217",""
"7/31/2014, 11:59:00 PM","","19729",""
"6/30/2014, 11:59:00 PM","","19386",""
"5/31/2014, 11:59:00 PM","","24568",""
"4/30/2014, 11:59:00 PM","","22935",""
"3/31/2014, 11:59:00 PM","","23532",""
"2/28/2014, 11:59:00 PM","","22723",""
"1/31/2014, 11:59:00 PM","","23259",""
"12/31/2013, 11:59:00 PM","","17334",""
"11/30/2013, 11:59:00 PM","","22362",""
"10/31/2013, 11:59:00 PM","","25316",""
"9/30/2013, 11:59:00 PM","","17151",""
"8/31/2013, 11:59:00 PM","","17024",""
"7/31/2013, 11:59:00 PM","","16930",""
"6/30/2013, 11:59:00 PM","","15879",""
"5/31/2013, 11:59:00 PM","","19490",""
"4/30/2013, 11:59:00 PM","","19532",""
"3/31/2013, 11:59:00 PM","","18021",""
"2/28/2013, 11:59:00 PM","","17784",""
