"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","265338","328180","555435"
"11/30/2019, 11:59:00 PM","327497","324777","435719"
"10/31/2019, 11:59:00 PM","408715","350154","302193"
"9/30/2019, 11:59:00 PM","594616","336933","225152"
"8/31/2019, 11:59:00 PM","754389","343792","203396"
"7/31/2019, 11:59:00 PM","779780","333930","231896"
"6/30/2019, 11:59:00 PM","713581","330578","233507"
"5/31/2019, 11:59:00 PM","388114","328752","297415"
"4/30/2019, 11:59:00 PM","347203","324142","295001"
"3/31/2019, 11:59:00 PM","187172","337789","399163"
"2/28/2019, 11:59:00 PM","121181","304965","506597"
"1/31/2019, 11:59:00 PM","163270","301025","454741"
"12/31/2018, 11:59:00 PM","133628","318589","450546"
"11/30/2018, 11:59:00 PM","201129","336546","353933"
"10/31/2018, 11:59:00 PM","329547","373636","97860"
"9/30/2018, 11:59:00 PM","390505","346568","16904"
"8/31/2018, 11:59:00 PM","493365","362952","12156"
"7/31/2018, 11:59:00 PM","624358","368812","3116"
"6/30/2018, 11:59:00 PM","558769","344252","23460"
"5/31/2018, 11:59:00 PM","427850","356089","139334"
"4/30/2018, 11:59:00 PM","262537","336011","211544"
"3/31/2018, 11:59:00 PM","168202","347325","323818"
"2/28/2018, 11:59:00 PM","135955","317088","311746"
"1/31/2018, 11:59:00 PM","104296","348306","379630"
"12/31/2017, 11:59:00 PM","101617","343356","444791"
"11/30/2017, 11:59:00 PM","187476","402179","347280"
"10/31/2017, 11:59:00 PM","279443","298045","111416"
"9/30/2017, 11:59:00 PM","589108","350120","19888"
"8/31/2017, 11:59:00 PM","693047","369870","9979808"
"7/31/2017, 11:59:00 PM","704216","363447","5017872"
"6/30/2017, 11:59:00 PM","654171","358999","55936"
"5/31/2017, 11:59:00 PM","545365","359375","186300"
"4/30/2017, 11:59:00 PM","277004","334175","250616"
"3/31/2017, 11:59:00 PM","362532","343586","436877"
"2/28/2017, 11:59:00 PM","245915","305422","456721"
"1/31/2017, 11:59:00 PM","180545","337382","571874"
"12/31/2016, 11:59:00 PM","185725","332583","588990"
"11/30/2016, 11:59:00 PM","278391","327322","381458"
"10/31/2016, 11:59:00 PM","378235","345294","314386"
"9/30/2016, 11:59:00 PM","591986","348987","273639"
"8/31/2016, 11:59:00 PM","694867","353337","296144"
"7/31/2016, 11:59:00 PM","730064","353287","299828"
"6/30/2016, 11:59:00 PM","755889","343234","276301"
"5/31/2016, 11:59:00 PM","596313","343408","298458"
"4/30/2016, 11:59:00 PM","405643","330637","312616"
"3/31/2016, 11:59:00 PM","344929","342350","411411"
"2/29/2016, 11:59:00 PM","299521","316066","415944"
"1/31/2016, 11:59:00 PM","245881","327444","532446"
"12/31/2015, 11:59:00 PM","240894","328878","582778"
"11/30/2015, 11:59:00 PM","268914","325909","484410"
"10/31/2015, 11:59:00 PM","573240","352134","316974"
"9/30/2015, 11:59:00 PM","687010","338523","292606"
"8/31/2015, 11:59:00 PM","779282","342020","301533"
"7/31/2015, 11:59:00 PM","773664","339679","391524"
"6/30/2015, 11:59:00 PM","670577","333304","629219"
"5/31/2015, 11:59:00 PM","226776","335339","359258"
"4/30/2015, 11:59:00 PM","255739","325863","399318"
"3/31/2015, 11:59:00 PM","249885","337479","392000"
"2/28/2015, 11:59:00 PM","157062","305550","427568"
"1/31/2015, 11:59:00 PM","165878","337174","538345"
"12/31/2014, 11:59:00 PM","206799","330319","502749"
"10/31/2013, 11:59:00 PM","362800","288995","350801"
"9/30/2013, 11:59:00 PM","541005","311270","296374"
"8/31/2013, 11:59:00 PM","625275","321405","298948"
"7/31/2013, 11:59:00 PM","866545","384724","340890"
"6/30/2013, 11:59:00 PM","508657","272202","241693"
"5/31/2013, 11:59:00 PM","662270","402831","396256"
"4/30/2013, 11:59:00 PM","271778","231050","238900"
"3/31/2013, 11:59:00 PM","208048","315406","274009"
"2/28/2013, 11:59:00 PM","78954","293871","332527"
