"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","159309","222845","1194365"
"11/30/2019, 11:59:00 PM","183059","223404","875120"
"10/31/2019, 11:59:00 PM","254448","239836","642607"
"9/30/2019, 11:59:00 PM","375798","227610","333428"
"8/31/2019, 11:59:00 PM","480377","242913","314482"
"7/31/2019, 11:59:00 PM","465701","243996","321582"
"6/30/2019, 11:59:00 PM","503288","241078","381001"
"5/31/2019, 11:59:00 PM","244477","245378","555271"
"4/30/2019, 11:59:00 PM","253360","245407","625548"
"3/31/2019, 11:59:00 PM","72972","242576","875065"
"2/28/2019, 11:59:00 PM","4832","228001","1044909"
"1/31/2019, 11:59:00 PM","31596","251115","1024375"
"12/31/2018, 11:59:00 PM","37468","237862","1071091"
"11/30/2018, 11:59:00 PM","116138","234270","805315"
"10/31/2018, 11:59:00 PM","293211","253911","534829"
"9/30/2018, 11:59:00 PM","352084","230074","379605"
"8/31/2018, 11:59:00 PM","414803","252680","27354940"
"7/31/2018, 11:59:00 PM","528737","253085","53040"
"6/30/2018, 11:59:00 PM","448630","244825","62112"
"5/31/2018, 11:59:00 PM","298897","260265","187996"
"4/30/2018, 11:59:00 PM","165002","246231","267374"
"3/31/2018, 11:59:00 PM","75479","246808","365515"
"2/28/2018, 11:59:00 PM","54371","225781","455406"
"1/31/2018, 11:59:00 PM","47404","247582","323025"
"12/31/2017, 11:59:00 PM","138324","247745","442035"
"11/30/2017, 11:59:00 PM","287582","247506","371358"
"10/31/2017, 11:59:00 PM","388754","251771","141876"
"9/30/2017, 11:59:00 PM","537527","242646","64074"
"8/31/2017, 11:59:00 PM","617985","266574","69616"
"7/31/2017, 11:59:00 PM","323779","265098","321485"
"6/30/2017, 11:59:00 PM","35172","196074","399514"
"5/31/2017, 11:59:00 PM","67885","157194","112350"
"4/30/2017, 11:59:00 PM","181521","245061","69631"
"3/31/2017, 11:59:00 PM","236881","252172","84146"
"2/28/2017, 11:59:00 PM","368713","234680","117174"
"1/31/2017, 11:59:00 PM","464946","249164","108208"
"12/31/2016, 11:59:00 PM","482673","236744","107257"
"11/30/2016, 11:59:00 PM","368952","251322","70298"
"10/31/2016, 11:59:00 PM","188680","",""
"9/30/2016, 11:59:00 PM","190693","",""
"8/31/2016, 11:59:00 PM","36673","267041","50439"
"7/31/2016, 11:59:00 PM","35989","264734","43075"
"6/30/2016, 11:59:00 PM","43620","253424",""
"5/31/2016, 11:59:00 PM","53212","264570",""
"4/30/2016, 11:59:00 PM","189637","258182",""
"3/31/2016, 11:59:00 PM","403236","262466",""
"2/29/2016, 11:59:00 PM","374092","242003",""
"1/31/2016, 11:59:00 PM","445212","256490",""
"12/31/2015, 11:59:00 PM","448247","241032",""
"11/30/2015, 11:59:00 PM","371747","247727",""
"10/31/2015, 11:59:00 PM","41351","262781",""
"9/30/2015, 11:59:00 PM","7465","241008",""
"8/31/2015, 11:59:00 PM","207516","267716",""
"7/31/2015, 11:59:00 PM","212790","271555",""
"6/30/2015, 11:59:00 PM","205407","251377",""
"5/31/2015, 11:59:00 PM","174965","248331",""
"4/30/2015, 11:59:00 PM","219522","247079",""
"3/31/2015, 11:59:00 PM","213341","250735",""
"2/28/2015, 11:59:00 PM","299147","240759",""
"1/31/2015, 11:59:00 PM","450770","273535",""
"12/31/2014, 11:59:00 PM","387246","267548",""
"11/30/2014, 11:59:00 PM","314439","251473",""
"10/31/2014, 11:59:00 PM","189212","258554",""
"9/30/2014, 11:59:00 PM","194361","233539",""
"8/31/2014, 11:59:00 PM","201645","250542",""
"7/31/2014, 11:59:00 PM","214919","253058",""
"6/30/2014, 11:59:00 PM","200073","243133",""
"5/31/2014, 11:59:00 PM","184966","262969",""
"4/30/2014, 11:59:00 PM","221135","260992",""
"3/31/2014, 11:59:00 PM","255759","267484",""
"2/28/2014, 11:59:00 PM","337751","248240",""
"1/31/2014, 11:59:00 PM","397995","265832",""
"12/31/2013, 11:59:00 PM","522372","258792",""
"11/30/2013, 11:59:00 PM","316218","256161",""
"10/31/2013, 11:59:00 PM","198103","250951",""
"9/30/2013, 11:59:00 PM","188292","240976",""
"8/31/2013, 11:59:00 PM","197986","253082",""
"7/31/2013, 11:59:00 PM","209700","256379",""
"6/30/2013, 11:59:00 PM","203778","249806",""
"5/31/2013, 11:59:00 PM","183664","263405",""
"4/30/2013, 11:59:00 PM","203185","257032",""
"3/31/2013, 11:59:00 PM","273574","263511",""
"2/28/2013, 11:59:00 PM","402056","251545",""
