"Date Time","Chilled Water","Electricity"
"12/31/2019, 11:59:00 PM","34354","102906"
"11/30/2019, 11:59:00 PM","50078","112152"
"10/31/2019, 11:59:00 PM","70093","104946"
"9/30/2019, 11:59:00 PM","103223","100786"
"8/31/2019, 11:59:00 PM","111711","107548"
"7/31/2019, 11:59:00 PM","75078","99612"
"6/30/2019, 11:59:00 PM","89047","92257"
"5/31/2019, 11:59:00 PM","61437","94966"
"4/30/2019, 11:59:00 PM","57549","95541"
"3/31/2019, 11:59:00 PM","42697","98994"
"2/28/2019, 11:59:00 PM","33921","102200"
"1/31/2019, 11:59:00 PM","38592","115448"
"12/31/2018, 11:59:00 PM","47852","108652"
"11/30/2018, 11:59:00 PM","82143","101062"
"10/31/2018, 11:59:00 PM","127188","94925"
"9/30/2018, 11:59:00 PM","167930","87318"
"8/31/2018, 11:59:00 PM","214037","92136"
"7/31/2018, 11:59:00 PM","229200","85038"
"6/30/2018, 11:59:00 PM","171911","75912"
"5/31/2018, 11:59:00 PM","149732","77732"
"4/30/2018, 11:59:00 PM","66017","90873"
"3/31/2018, 11:59:00 PM","41283","103208"
"2/28/2018, 11:59:00 PM","38197","96675"
"1/31/2018, 11:59:00 PM","31679","118260"
"12/31/2017, 11:59:00 PM","73969","109708"
"11/30/2017, 11:59:00 PM","113585","111585"
"10/31/2017, 11:59:00 PM","152747","102133"
"9/30/2017, 11:59:00 PM","225861","91959"
"8/31/2017, 11:59:00 PM","247047","83119"
"7/31/2017, 11:59:00 PM","245480","76829"
"6/30/2017, 11:59:00 PM","196540","77000"
"5/31/2017, 11:59:00 PM","147114","80321"
"4/30/2017, 11:59:00 PM","85053","82884"
"3/31/2017, 11:59:00 PM","92798","103928"
"2/28/2017, 11:59:00 PM","67689","107633"
"1/31/2017, 11:59:00 PM","56518","119141"
"12/31/2016, 11:59:00 PM","56903","106600"
"11/30/2016, 11:59:00 PM","108600","112982"
"10/31/2016, 11:59:00 PM","130803","97210"
"9/30/2016, 11:59:00 PM","148730","85912"
"8/31/2016, 11:59:00 PM","151592","78705"
"7/31/2016, 11:59:00 PM","158771","73791"
"6/30/2016, 11:59:00 PM","155190","74088"
"5/31/2016, 11:59:00 PM","103005","86568"
"4/30/2016, 11:59:00 PM","79534","89074"
"3/31/2016, 11:59:00 PM","69884","102400"
"2/29/2016, 11:59:00 PM","63260","99600"
"1/31/2016, 11:59:00 PM","56923","113967"
"12/31/2015, 11:59:00 PM","53936","98317"
"11/30/2015, 11:59:00 PM","60236","99598"
"10/31/2015, 11:59:00 PM","98963","91511"
"9/30/2015, 11:59:00 PM","104268","82965"
"8/31/2015, 11:59:00 PM","120740","74060"
"7/31/2015, 11:59:00 PM","133005","77806"
"6/30/2015, 11:59:00 PM","119328","77079"
"5/31/2015, 11:59:00 PM","87135","81188"
"4/30/2015, 11:59:00 PM","77672","86158"
"3/31/2015, 11:59:00 PM","77497","102580"
"2/28/2015, 11:59:00 PM","59898","103030"
"1/31/2015, 11:59:00 PM","52323","117169"
"12/31/2014, 11:59:00 PM","56201","116659"
"11/30/2014, 11:59:00 PM","2508.07617","4677.52539"
"10/31/2014, 11:59:00 PM","10110.9033","15988.9746"
"9/30/2014, 11:59:00 PM","17956.2617","27661.2617"
"8/31/2014, 11:59:00 PM","25548.5449","38957.0234"
"7/31/2014, 11:59:00 PM","33393.9023","50629.31"
"6/30/2014, 11:59:00 PM","41239.26","62301.5938"
"5/31/2014, 11:59:00 PM","48831.543","73597.35"
"4/30/2014, 11:59:00 PM","56676.9023","85269.64"
"3/31/2014, 11:59:00 PM","64269.1875","96565.4"
"2/28/2014, 11:59:00 PM","72104","108222"
"1/31/2014, 11:59:00 PM","76871","114120"
"12/31/2013, 11:59:00 PM","64508","100318"
"11/30/2013, 11:59:00 PM","73967","106690"
"10/31/2013, 11:59:00 PM","100040","94277"
"9/30/2013, 11:59:00 PM","141073","72792"
"8/31/2013, 11:59:00 PM","163860","70871"
"7/31/2013, 11:59:00 PM","183789","74658"
"6/30/2013, 11:59:00 PM","187443","72764"
"5/31/2013, 11:59:00 PM","150001","81386"
"4/30/2013, 11:59:00 PM","62146","85594"
"3/31/2013, 11:59:00 PM","79881","99902"
"2/28/2013, 11:59:00 PM","96302","100645"
