"Date Time","Chilled Water","Electricity","Steam"
"12/31/2019, 11:59:00 PM","5948","102595","19073"
"11/30/2019, 11:59:00 PM","38117","130241","21264"
"10/31/2019, 11:59:00 PM","61935","144648","55486"
"9/30/2019, 11:59:00 PM","69889","104182","13141"
"8/31/2019, 11:59:00 PM","82657","114709","6388"
"7/31/2019, 11:59:00 PM","85951","117723","2099"
"6/30/2019, 11:59:00 PM","98605","112414","25096"
"5/31/2019, 11:59:00 PM","73928","134695","124661"
"4/30/2019, 11:59:00 PM","69172","130361","128129"
"3/31/2019, 11:59:00 PM","42434","119033","177957"
"2/28/2019, 11:59:00 PM","24979","125182","207525"
"1/31/2019, 11:59:00 PM","5366","129131","210993"
"12/31/2018, 11:59:00 PM","402","102966","164542"
"11/30/2018, 11:59:00 PM","8942","113101","131232"
"10/31/2018, 11:59:00 PM","27033","142234","69175"
"9/30/2018, 11:59:00 PM","28813","100370","51197"
"8/31/2018, 11:59:00 PM","38023","93223","43431"
"7/31/2018, 11:59:00 PM","39761","102190","3533"
"6/30/2018, 11:59:00 PM","33337","115804","5408"
"5/31/2018, 11:59:00 PM","23638","137283","10070"
"4/30/2018, 11:59:00 PM","15868","134565","11626"
"3/31/2018, 11:59:00 PM","5698","128267","15063"
"2/28/2018, 11:59:00 PM","5968","128581","14935"
"1/31/2018, 11:59:00 PM","425","131942","16916"
"12/31/2017, 11:59:00 PM","1336","109660","16931"
"11/30/2017, 11:59:00 PM","95","132373","13632"
"10/31/2017, 11:59:00 PM","317","143495","7365"
"9/30/2017, 11:59:00 PM","470","102471","3435"
"8/31/2017, 11:59:00 PM","476","96250","3228"
"7/31/2017, 11:59:00 PM","512","97717","3891"
"6/30/2017, 11:59:00 PM","462","107356","5075"
"5/31/2017, 11:59:00 PM","377","130436","8452"
"4/30/2017, 11:59:00 PM","138","119572","12546"
"3/31/2017, 11:59:00 PM","109","117331","14881"
"2/28/2017, 11:59:00 PM","16","115716","15690"
"1/31/2017, 11:59:00 PM","0","118101","19907"
"12/31/2016, 11:59:00 PM","0","91837","19068"
"11/30/2016, 11:59:00 PM","","108560",""
"10/31/2016, 11:59:00 PM","","120987",""
"9/30/2016, 11:59:00 PM","","106030",""
"8/31/2016, 11:59:00 PM","","105682",""
"7/31/2016, 11:59:00 PM","","106848",""
"6/30/2016, 11:59:00 PM","","102677",""
"5/31/2016, 11:59:00 PM","","128408",""
"4/30/2016, 11:59:00 PM","","120610",""
"3/31/2016, 11:59:00 PM","","113805",""
"2/29/2016, 11:59:00 PM","","115982",""
"1/31/2016, 11:59:00 PM","","114462",""
"12/31/2015, 11:59:00 PM","","95715",""
"11/30/2015, 11:59:00 PM","","113255",""
"10/31/2015, 11:59:00 PM","","132327",""
"9/30/2015, 11:59:00 PM","","84428",""
"8/31/2015, 11:59:00 PM","","75707",""
"7/31/2015, 11:59:00 PM","","63336",""
"6/30/2015, 11:59:00 PM","","79938",""
"5/31/2015, 11:59:00 PM","","111216",""
"4/30/2015, 11:59:00 PM","","120840",""
"3/31/2015, 11:59:00 PM","","110086",""
"2/28/2015, 11:59:00 PM","","106024",""
"1/31/2015, 11:59:00 PM","","112708",""
"12/31/2014, 11:59:00 PM","","106022",""
"11/30/2014, 11:59:00 PM","","104274",""
"10/31/2014, 11:59:00 PM","","120198",""
"9/30/2014, 11:59:00 PM","","81960",""
"8/31/2014, 11:59:00 PM","","98555",""
"7/31/2014, 11:59:00 PM","","71942",""
"6/30/2014, 11:59:00 PM","","81365",""
"5/31/2014, 11:59:00 PM","","115989",""
"4/30/2014, 11:59:00 PM","","118171",""
"3/31/2014, 11:59:00 PM","","103990",""
"2/28/2014, 11:59:00 PM","","109549",""
"1/31/2014, 11:59:00 PM","","107173",""
"12/31/2013, 11:59:00 PM","","84215",""
"11/30/2013, 11:59:00 PM","","104436",""
"10/31/2013, 11:59:00 PM","","120030",""
"9/30/2013, 11:59:00 PM","","99318",""
"8/31/2013, 11:59:00 PM","","120123",""
"7/31/2013, 11:59:00 PM","","130105",""
"6/30/2013, 11:59:00 PM","","129133",""
"5/31/2013, 11:59:00 PM","","178873",""
"4/30/2013, 11:59:00 PM","","183141",""
"3/31/2013, 11:59:00 PM","","161562",""
"2/28/2013, 11:59:00 PM","","151254",""
