Building,Maintained Gross Sq. Ft.
Vet Med Equine Athletic Performance Lab,10414
Hutchison Child Development Center,10625
The Barn,11194
VMTH Surgical,13913
Quad Parking Structure,14671
Giedt Hall,15540
Housing Administration,16257
Pavilion Parking Structure,18197
Watershed Science Facility,18391
Advanced Transportation Infrastructure Research Center,18955
VMTH Ward,19711
Music Building,20204
Roessler Hall,22467
Transportation and Parking Services,22563
Maddy Lab,27248
Center for Comparative Medicine,28975
Physical Sciences & Engineering Library,32011
Jungerman Hall,32699
"RMI Brewery, Winery, and Food Pilot Facility",32792
Hopkins Services Complex,34733
Center for Companion Animal Health,36753
Segundo Services Center,37567
Gallagher Hall,39486
Walker Hall,44415
Student Community Center,44484
Segundo Dining Commons,46712
Western Human Nutrition Research Center (WHNRC),49941
