Building,Maintained Gross Sq. Ft.
Veterinary Medicine 2,50156
Conference Center,53369
Sproul Hall,53875
Olson Hall,54607
Voorhies Hall,55279
Wright Hall,55666
Valley Hall,56596
Freeborn Hall,56939
Art Building,57665
Cruess Hall,58020
Hoagland Hall,58765
Tercero Dining Commons,59253
Thurman Laboratory,60444
Kerr Hall,64452
Mathematical Sciences Building,65691
Ghausi Hall,66462
Student Health & Wellness Center,77491
Storer Hall,90500
Hart Hall,91542
Earth and Physical Sciences Building,92350
Hunt Hall,92555
Mrak Hall,99151
